Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Dashboard,Chrome 73.0.3683.86,,2019-03-25 15:27:58,2019-03-25 15:38:35,10m - 36.386s,FAILED
,,,,,,
Test Cases/Dashboard TestCases/TC0104,Chrome 73.0.3683.86,Test subscribers link,2019-03-25 15:27:59,2019-03-25 15:28:00,1.609s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:27:59,2019-03-25 15:28:00,1.426s,FAILED
,,,,,,
Test Cases/Dashboard TestCases/TC11070,Chrome 73.0.3683.86,Test Sequences link,2019-03-25 15:28:00,2019-03-25 15:28:01,0.882s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:28:00,2019-03-25 15:28:01,0.793s,FAILED
,,,,,,
Test Cases/Dashboard TestCases/TC11069,Chrome 73.0.3683.86,Test Connected Pages link,2019-03-25 15:28:01,2019-03-25 15:28:02,0.797s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:28:01,2019-03-25 15:28:02,0.726s,FAILED
,,,,,,
Test Cases/Dashboard TestCases/TC11068,Chrome 73.0.3683.86,Test Done button,2019-03-25 15:28:02,2019-03-25 15:28:03,0.866s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:28:02,2019-03-25 15:28:03,0.799s,FAILED
,,,,,,
Test Cases/Dashboard TestCases/TC11065,Chrome 73.0.3683.86,Test Total Pages link,2019-03-25 15:28:03,2019-03-25 15:28:04,0.879s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:28:03,2019-03-25 15:28:04,0.826s,FAILED
,,,,,,
Test Cases/Dashboard TestCases/TC11064,Chrome 73.0.3683.86,Test video link,2019-03-25 15:28:04,2019-03-25 15:28:05,0.873s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:28:04,2019-03-25 15:28:05,0.820s,FAILED
,,,,,,
Test Cases/Dashboard TestCases/TC11063,Chrome 73.0.3683.86,Test documentation link,2019-03-25 15:28:05,2019-03-25 15:38:35,10m - 30.019s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:28:05,2019-03-25 15:28:32,27.592s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:28:32,2019-03-25 15:28:34,2.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Dashboard (1) (1)""))",Chrome 73.0.3683.86,,2019-03-25 15:28:34,2019-03-25 15:28:34,0.161s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/a_documentation""))",Chrome 73.0.3683.86,,2019-03-25 15:28:34,2019-03-25 15:28:35,0.079s,PASSED
"switchToWindowTitle(""Dashboard – The Marketing Newsletter"")",Chrome 73.0.3683.86,,2019-03-25 15:28:35,2019-03-25 15:38:35,10m - 0.113s,FAILED
