Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Discover Tabs,Chrome 73.0.3683.75,,2019-04-19 15:12:53,2019-04-19 15:16:39,3m - 45.798s,PASSED
,,,,,,
Test Cases/Discover Tabs/TC1077,Chrome 73.0.3683.75,,2019-04-19 15:12:53,2019-04-19 15:13:34,40.532s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Login-KiboEngage""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-19 15:12:54,2019-04-19 15:13:33,38.982s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Growth Tools""))",Chrome 73.0.3683.75,,2019-04-19 15:13:33,2019-04-19 15:13:33,0.124s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-19 15:13:33,2019-04-19 15:13:34,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Messenger Code""))",Chrome 73.0.3683.75,,2019-04-19 15:13:34,2019-04-19 15:13:34,0.120s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-19 15:13:34,2019-04-19 15:13:34,0.127s,PASSED
,,,,,,
Test Cases/Discover Tabs/TC1078,Chrome 73.0.3683.75,,2019-04-19 15:13:34,2019-04-19 15:14:18,44.084s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Login-KiboEngage""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-19 15:13:34,2019-04-19 15:14:17,42.687s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Growth Tools""))",Chrome 73.0.3683.75,,2019-04-19 15:14:17,2019-04-19 15:14:17,0.099s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-19 15:14:17,2019-04-19 15:14:18,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Messenger Code""))",Chrome 73.0.3683.75,,2019-04-19 15:14:18,2019-04-19 15:14:18,0.105s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-19 15:14:18,2019-04-19 15:14:18,0.094s,PASSED
,,,,,,
Test Cases/Discover Tabs/TC1079,Chrome 73.0.3683.75,,2019-04-19 15:14:18,2019-04-19 15:15:03,45.098s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Login-KiboEngage""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-19 15:14:18,2019-04-19 15:15:02,43.686s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Growth Tools""))",Chrome 73.0.3683.75,,2019-04-19 15:15:02,2019-04-19 15:15:02,0.105s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-19 15:15:02,2019-04-19 15:15:03,1.001s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Messenger Code""))",Chrome 73.0.3683.75,,2019-04-19 15:15:03,2019-04-19 15:15:03,0.112s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-19 15:15:03,2019-04-19 15:15:03,0.112s,PASSED
,,,,,,
Test Cases/Discover Tabs/TC1080,Chrome 73.0.3683.75,,2019-04-19 15:15:03,2019-04-19 15:15:46,42.728s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Login-KiboEngage""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-19 15:15:03,2019-04-19 15:15:45,41.334s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Growth Tools""))",Chrome 73.0.3683.75,,2019-04-19 15:15:45,2019-04-19 15:15:45,0.108s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-19 15:15:45,2019-04-19 15:15:46,1.007s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Messenger Code""))",Chrome 73.0.3683.75,,2019-04-19 15:15:46,2019-04-19 15:15:46,0.103s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-19 15:15:46,2019-04-19 15:15:46,0.095s,PASSED
,,,,,,
Test Cases/Discover Tabs/TC1081,Chrome 73.0.3683.75,,2019-04-19 15:15:46,2019-04-19 15:16:39,53.099s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Login-KiboEngage""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-19 15:15:46,2019-04-19 15:16:38,51.694s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Growth Tools""))",Chrome 73.0.3683.75,,2019-04-19 15:16:38,2019-04-19 15:16:38,0.084s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-19 15:16:38,2019-04-19 15:16:39,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Messenger Code""))",Chrome 73.0.3683.75,,2019-04-19 15:16:39,2019-04-19 15:16:39,0.113s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-19 15:16:39,2019-04-19 15:16:39,0.114s,PASSED
