Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
InviteSubscribers,Chrome 73.0.3683.103,,,2019-04-20 17:41:18,2019-04-20 17:42:26,1m - 7.930s,FAILED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.103,,,2019-04-20 17:41:19,2019-04-20 17:42:14,54.769s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-20 17:41:19,2019-04-20 17:41:22,2.101s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-20 17:41:22,2019-04-20 17:41:22,0.151s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-20 17:41:22,2019-04-20 17:41:32,10.076s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 17:41:32,2019-04-20 17:41:32,0.571s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-20 17:41:32,2019-04-20 17:41:34,1.572s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 17:41:34,2019-04-20 17:41:34,0.537s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-20 17:41:34,2019-04-20 17:41:35,0.291s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.103,,,2019-04-20 17:41:35,2019-04-20 17:41:35,0.230s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.103,,,2019-04-20 17:41:35,2019-04-20 17:42:10,34.852s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.103,,,2019-04-20 17:42:10,2019-04-20 17:42:10,0.335s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-20 17:42:10,2019-04-20 17:42:13,3.100s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-20 17:42:13,2019-04-20 17:42:13,0.183s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-20 17:42:13,2019-04-20 17:42:14,0.199s,PASSED
,,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.103,,,2019-04-20 17:42:14,2019-04-20 17:42:15,1.798s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.103,,,2019-04-20 17:42:14,2019-04-20 17:42:14,0.364s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-20 17:42:14,2019-04-20 17:42:15,1.007s,PASSED
,,,,,,,
Test Cases/Invite subscribers/TC0681,Chrome 73.0.3683.103,Test share page,,2019-04-20 17:42:15,2019-04-20 17:42:20,4.398s,PASSED
"callTestCase(findTestCase(""Subscriber TestCases/TC0678""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 17:42:16,2019-04-20 17:42:19,3.393s,PASSED
"click(findTestObject(""Page_KiboPush  Invite Subscribers/span_Share Page""))",Chrome 73.0.3683.103,,,2019-04-20 17:42:19,2019-04-20 17:42:20,0.785s,PASSED
,,,,,,,
Test Cases/Invite subscribers/TC0682,Chrome 73.0.3683.103,Test copy link,,2019-04-20 17:42:20,2019-04-20 17:42:25,5.116s,FAILED
"callTestCase(findTestCase(""Subscriber TestCases/TC0678""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 17:42:20,2019-04-20 17:42:25,4.875s,FAILED
