Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KiboLite,Chrome 73.0.3683.103,,,2019-04-21 04:34:00,2019-04-21 04:35:18,1m - 18.454s,PASSED
,,,,,,,
Test Cases/KiboLite/login,Chrome 73.0.3683.103,,,2019-04-21 04:34:00,2019-04-21 04:34:42,42.076s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-21 04:34:01,2019-04-21 04:34:05,4.166s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-21 04:34:05,2019-04-21 04:34:05,0.147s,PASSED
"navigateToUrl(""https://kibolite.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-21 04:34:05,2019-04-21 04:34:14,8.726s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=http://kibolite.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 04:34:14,2019-04-21 04:34:15,0.681s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 04:34:15,2019-04-21 04:34:16,1.140s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 04:34:16,2019-04-21 04:34:17,0.923s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-21 04:34:17,2019-04-21 04:34:17,0.578s,PASSED
"click(findTestObject(""Page_CloudKibo/button_Sign In (4) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 04:34:17,2019-04-21 04:34:18,0.277s,PASSED
"click(findTestObject(""Page_ Dashboard/h3_Dashboard (1)""))",Chrome 73.0.3683.103,,,2019-04-21 04:34:18,2019-04-21 04:34:39,21.055s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-21 04:34:39,2019-04-21 04:34:42,3.172s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 04:34:42,2019-04-21 04:34:42,0.326s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 04:34:42,2019-04-21 04:34:42,0.290s,PASSED
,,,,,,,
Test Cases/KiboLite/TC11077,Chrome 73.0.3683.103,Test Sign in to KiboLite,,2019-04-21 04:34:43,2019-04-21 04:34:46,3.797s,PASSED
"click(findTestObject(""Page_KiboPush  Subscribers/span_Subscribers (5)""))",Chrome 73.0.3683.103,,,2019-04-21 04:34:43,2019-04-21 04:34:44,0.595s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 04:34:44,2019-04-21 04:34:45,1.008s,PASSED
"click(findTestObject(""Page_ Dashboard/span_Broadcast""))",Chrome 73.0.3683.103,,,2019-04-21 04:34:45,2019-04-21 04:34:45,0.502s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 04:34:45,2019-04-21 04:34:46,1.020s,PASSED
,,,,,,,
Test Cases/KiboLite/TC11079,Chrome 73.0.3683.103,,,2019-04-21 04:34:46,2019-04-21 04:35:02,15.251s,PASSED
delay(2),Chrome 73.0.3683.103,,,2019-04-21 04:34:47,2019-04-21 04:34:49,2.003s,PASSED
"click(findTestObject(""Page_KiboPush  Subscribers/span_Subscribers (5)""))",Chrome 73.0.3683.103,,,2019-04-21 04:34:49,2019-04-21 04:34:49,0.221s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 04:34:49,2019-04-21 04:34:50,1.003s,PASSED
"click(findTestObject(""Page_ Dashboard/span_Broadcast""))",Chrome 73.0.3683.103,,,2019-04-21 04:34:50,2019-04-21 04:34:50,0.273s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 04:34:50,2019-04-21 04:34:51,1.013s,PASSED
"csv = getProjectDir() + ""/sampleFile.csv""",Chrome 73.0.3683.103,,,2019-04-21 04:34:51,2019-04-21 04:34:51,0.002s,PASSED
"uploadFile(findTestObject(""Object Repository/Page_ Business Gateway/h4_sampleFilecsv""), csv)",Chrome 73.0.3683.103,,,2019-04-21 04:34:51,2019-04-21 04:34:52,0.292s,PASSED
delay(10),Chrome 73.0.3683.103,,,2019-04-21 04:34:52,2019-04-21 04:35:02,10.006s,PASSED
,,,,,,,
Test Cases/KiboLite/TC11081,Chrome 73.0.3683.103,,,2019-04-21 04:35:02,2019-04-21 04:35:17,15.632s,PASSED
"callTestCase(findTestCase(""KiboLite/TC11079""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 04:35:02,2019-04-21 04:35:17,14.955s,PASSED
"click(findTestObject(""Object Repository/Page_ Business Gateway/input_names_names""))",Chrome 73.0.3683.103,,,2019-04-21 04:35:17,2019-04-21 04:35:17,0.255s,PASSED
"click(findTestObject(""Object Repository/Page_ Business Gateway/input_phone_numbers_phone_numbers""))",Chrome 73.0.3683.103,,,2019-04-21 04:35:17,2019-04-21 04:35:17,0.235s,PASSED
