Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Landing Pages,Chrome 73.0.3683.103,,,2019-04-20 20:42:19,2019-04-20 20:43:24,1m - 4.894s,FAILED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.103,,,2019-04-20 20:42:20,2019-04-20 20:43:18,58.107s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-20 20:42:21,2019-04-20 20:42:28,7.415s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-20 20:42:28,2019-04-20 20:42:29,0.229s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-20 20:42:29,2019-04-20 20:42:45,16.328s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 20:42:45,2019-04-20 20:42:46,0.622s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-20 20:42:46,2019-04-20 20:42:46,0.895s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 20:42:46,2019-04-20 20:42:47,0.434s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-20 20:42:47,2019-04-20 20:42:47,0.303s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.103,,,2019-04-20 20:42:47,2019-04-20 20:42:47,0.157s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.103,,,2019-04-20 20:42:47,2019-04-20 20:43:14,27.030s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.103,,,2019-04-20 20:43:14,2019-04-20 20:43:15,0.357s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-20 20:43:15,2019-04-20 20:43:18,3.063s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-20 20:43:18,2019-04-20 20:43:18,0.219s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-20 20:43:18,2019-04-20 20:43:18,0.205s,PASSED
,,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.103,,,2019-04-20 20:43:18,2019-04-20 20:43:20,1.677s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.103,,,2019-04-20 20:43:19,2019-04-20 20:43:19,0.247s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-20 20:43:19,2019-04-20 20:43:20,1.004s,PASSED
,,,,,,,
Test Cases/Landing Pages/TC11270,Chrome 73.0.3683.103,,,2019-04-20 20:43:20,2019-04-20 20:43:23,3.002s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Landing Pages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 20:43:20,2019-04-20 20:43:23,2.776s,FAILED
