Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Message Us,Chrome 73.0.3683.103,,,2019-04-21 04:07:22,2019-04-21 04:08:22,59.597s,PASSED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.103,,,2019-04-21 04:07:23,2019-04-21 04:08:11,48.495s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-21 04:07:23,2019-04-21 04:07:27,3.659s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-21 04:07:27,2019-04-21 04:07:27,0.169s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-21 04:07:27,2019-04-21 04:07:34,7.291s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 04:07:34,2019-04-21 04:07:35,0.818s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 04:07:35,2019-04-21 04:07:36,0.980s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 04:07:36,2019-04-21 04:07:37,0.435s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-21 04:07:37,2019-04-21 04:07:37,0.259s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.103,,,2019-04-21 04:07:37,2019-04-21 04:07:37,0.222s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.103,,,2019-04-21 04:07:37,2019-04-21 04:08:06,28.935s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.103,,,2019-04-21 04:08:06,2019-04-21 04:08:07,1.340s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-21 04:08:07,2019-04-21 04:08:11,3.076s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-21 04:08:11,2019-04-21 04:08:11,0.208s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-21 04:08:11,2019-04-21 04:08:11,0.307s,PASSED
,,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.103,,,2019-04-21 04:08:11,2019-04-21 04:08:13,1.550s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.103,,,2019-04-21 04:08:11,2019-04-21 04:08:12,0.269s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 04:08:12,2019-04-21 04:08:13,1.006s,PASSED
,,,,,,,
Test Cases/Message Us/TC11016,Chrome 73.0.3683.103,,,2019-04-21 04:08:13,2019-04-21 04:08:14,1.495s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 04:08:13,2019-04-21 04:08:14,1.375s,PASSED
,,,,,,,
Test Cases/Message Us/TC11021,Chrome 73.0.3683.103,,,2019-04-21 04:08:14,2019-04-21 04:08:16,1.543s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 04:08:14,2019-04-21 04:08:16,1.286s,PASSED
,,,,,,,
Test Cases/Message Us/TC11017,Chrome 73.0.3683.103,,,2019-04-21 04:08:16,2019-04-21 04:08:17,1.540s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 04:08:16,2019-04-21 04:08:17,1.215s,PASSED
,,,,,,,
Test Cases/Message Us/TC11018,Chrome 73.0.3683.103,,,2019-04-21 04:08:17,2019-04-21 04:08:19,1.329s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 04:08:17,2019-04-21 04:08:19,1.204s,PASSED
,,,,,,,
Test Cases/Message Us/TC11019,Chrome 73.0.3683.103,,,2019-04-21 04:08:19,2019-04-21 04:08:20,1.283s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 04:08:19,2019-04-21 04:08:20,1.166s,PASSED
,,,,,,,
Test Cases/Message Us/TC11020,Chrome 73.0.3683.103,,,2019-04-21 04:08:20,2019-04-21 04:08:21,1.533s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 04:08:20,2019-04-21 04:08:21,1.314s,PASSED
