Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Messenger Code,Chrome 73.0.3683.103,,,2019-04-20 18:04:09,2019-04-20 18:05:21,1m - 11.694s,PASSED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.103,,,2019-04-20 18:04:09,2019-04-20 18:05:01,51.869s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-20 18:04:10,2019-04-20 18:04:19,9.017s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-20 18:04:19,2019-04-20 18:04:19,0.140s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-20 18:04:19,2019-04-20 18:04:26,7.202s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 18:04:26,2019-04-20 18:04:27,0.534s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-20 18:04:27,2019-04-20 18:04:28,1.171s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 18:04:28,2019-04-20 18:04:29,0.528s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-20 18:04:29,2019-04-20 18:04:29,0.366s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.103,,,2019-04-20 18:04:29,2019-04-20 18:04:29,0.149s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.103,,,2019-04-20 18:04:29,2019-04-20 18:04:58,28.568s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.103,,,2019-04-20 18:04:58,2019-04-20 18:04:58,0.227s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-20 18:04:58,2019-04-20 18:05:01,3.066s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-20 18:05:01,2019-04-20 18:05:01,0.200s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-20 18:05:01,2019-04-20 18:05:01,0.116s,PASSED
,,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.103,,,2019-04-20 18:05:01,2019-04-20 18:05:03,1.703s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.103,,,2019-04-20 18:05:02,2019-04-20 18:05:02,0.375s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-20 18:05:02,2019-04-20 18:05:03,1.006s,PASSED
,,,,,,,
Test Cases/MessengerCode/TC1073,Chrome 73.0.3683.103,,,2019-04-20 18:05:03,2019-04-20 18:05:06,3.283s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Code""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 18:05:03,2019-04-20 18:05:06,2.709s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.103,,,2019-04-20 18:05:06,2019-04-20 18:05:06,0.416s,PASSED
,,,,,,,
Test Cases/MessengerCode/TC1074,Chrome 73.0.3683.103,,,2019-04-20 18:05:06,2019-04-20 18:05:09,2.747s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Code""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 18:05:07,2019-04-20 18:05:09,2.295s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_video tutorial""))",Chrome 73.0.3683.103,,,2019-04-20 18:05:09,2019-04-20 18:05:09,0.226s,PASSED
,,,,,,,
Test Cases/MessengerCode/TC1075,Chrome 73.0.3683.103,,,2019-04-20 18:05:09,2019-04-20 18:05:12,3.124s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Code""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 18:05:09,2019-04-20 18:05:12,2.612s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.103,,,2019-04-20 18:05:12,2019-04-20 18:05:12,0.273s,PASSED
,,,,,,,
Test Cases/MessengerCode/TC1076,Chrome 73.0.3683.103,,,2019-04-20 18:05:12,2019-04-20 18:05:17,4.333s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Code""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 18:05:13,2019-04-20 18:05:16,3.567s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.103,,,2019-04-20 18:05:16,2019-04-20 18:05:17,0.458s,PASSED
