Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Messenger Ref URL,Chrome 73.0.3683.103,,,2019-04-21 07:27:04,2019-04-21 07:28:17,1m - 13.408s,PASSED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.103,,,2019-04-21 07:27:04,2019-04-21 07:27:47,43.315s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-21 07:27:04,2019-04-21 07:27:07,2.208s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-21 07:27:07,2019-04-21 07:27:07,0.164s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-21 07:27:07,2019-04-21 07:27:15,7.932s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 07:27:15,2019-04-21 07:27:15,0.541s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 07:27:15,2019-04-21 07:27:16,0.988s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 07:27:16,2019-04-21 07:27:17,0.365s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-21 07:27:17,2019-04-21 07:27:17,0.281s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.103,,,2019-04-21 07:27:17,2019-04-21 07:27:17,0.153s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.103,,,2019-04-21 07:27:17,2019-04-21 07:27:44,26.645s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.103,,,2019-04-21 07:27:44,2019-04-21 07:27:44,0.149s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-21 07:27:44,2019-04-21 07:27:47,3.042s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-21 07:27:47,2019-04-21 07:27:47,0.185s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-21 07:27:47,2019-04-21 07:27:47,0.148s,PASSED
,,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.103,,,2019-04-21 07:27:47,2019-04-21 07:27:49,1.536s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.103,,,2019-04-21 07:27:48,2019-04-21 07:27:48,0.201s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 07:27:48,2019-04-21 07:27:49,1.006s,PASSED
,,,,,,,
Test Cases/Messenger Ref URL/TC11223,Chrome 73.0.3683.103,,,2019-04-21 07:27:49,2019-04-21 07:27:52,2.708s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:27:49,2019-04-21 07:27:52,2.555s,PASSED
,,,,,,,
Test Cases/Messenger Ref URL/TC11224,Chrome 73.0.3683.103,,,2019-04-21 07:27:52,2019-04-21 07:27:54,2.710s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:27:52,2019-04-21 07:27:54,2.463s,PASSED
,,,,,,,
Test Cases/Messenger Ref URL/TC11225,Chrome 73.0.3683.103,,,2019-04-21 07:27:54,2019-04-21 07:27:57,2.455s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:27:54,2019-04-21 07:27:57,2.313s,PASSED
,,,,,,,
Test Cases/Messenger Ref URL/TC11229,Chrome 73.0.3683.103,,,2019-04-21 07:27:57,2019-04-21 07:27:59,2.599s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:27:57,2019-04-21 07:27:59,2.448s,PASSED
,,,,,,,
Test Cases/Messenger Ref URL/TC11230,Chrome 73.0.3683.103,,,2019-04-21 07:27:59,2019-04-21 07:28:02,2.580s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:27:59,2019-04-21 07:28:02,2.417s,PASSED
,,,,,,,
Test Cases/Messenger Ref URL/TC11231,Chrome 73.0.3683.103,,,2019-04-21 07:28:02,2019-04-21 07:28:04,2.513s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:28:02,2019-04-21 07:28:04,2.397s,PASSED
,,,,,,,
Test Cases/Messenger Ref URL/TC11232,Chrome 73.0.3683.103,,,2019-04-21 07:28:04,2019-04-21 07:28:07,2.596s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:28:05,2019-04-21 07:28:07,2.449s,PASSED
,,,,,,,
Test Cases/Messenger Ref URL/TC11233,Chrome 73.0.3683.103,,,2019-04-21 07:28:07,2019-04-21 07:28:09,2.393s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:28:07,2019-04-21 07:28:09,2.300s,PASSED
,,,,,,,
Test Cases/Messenger Ref URL/TC11235,Chrome 73.0.3683.103,,,2019-04-21 07:28:09,2019-04-21 07:28:12,2.581s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:28:10,2019-04-21 07:28:12,2.427s,PASSED
,,,,,,,
Test Cases/Messenger Ref URL/TC11236,Chrome 73.0.3683.103,,,2019-04-21 07:28:12,2019-04-21 07:28:14,2.388s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:28:12,2019-04-21 07:28:14,2.288s,PASSED
,,,,,,,
Test Cases/Messenger Ref URL/TC11237,Chrome 73.0.3683.103,,,2019-04-21 07:28:14,2019-04-21 07:28:17,2.425s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-21 07:28:15,2019-04-21 07:28:17,2.324s,PASSED
