Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Messenger Ref URL,Chrome 73.0.3683.75,,2019-04-22 15:38:40,2019-04-22 15:39:58,1m - 18.730s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-22 15:38:40,2019-04-22 15:39:31,51.366s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-22 15:38:40,2019-04-22 15:38:41,1.328s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-22 15:38:41,2019-04-22 15:38:41,0.123s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-22 15:38:41,2019-04-22 15:38:50,8.072s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-22 15:38:50,2019-04-22 15:38:50,0.485s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-22 15:38:50,2019-04-22 15:38:51,0.878s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-22 15:38:51,2019-04-22 15:38:51,0.200s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-22 15:38:51,2019-04-22 15:38:51,0.165s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-22 15:38:51,2019-04-22 15:38:51,0.100s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-22 15:38:51,2019-04-22 15:39:28,36.348s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-22 15:39:28,2019-04-22 15:39:28,0.119s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-22 15:39:28,2019-04-22 15:39:31,3.077s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-22 15:39:31,2019-04-22 15:39:31,0.143s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-22 15:39:31,2019-04-22 15:39:31,0.112s,PASSED
,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.75,,2019-04-22 15:39:31,2019-04-22 15:39:33,1.349s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.75,,2019-04-22 15:39:31,2019-04-22 15:39:32,0.139s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-22 15:39:32,2019-04-22 15:39:33,1.002s,PASSED
,,,,,,
Test Cases/Messenger Ref URL/TC11223,Chrome 73.0.3683.75,,2019-04-22 15:39:33,2019-04-22 15:39:35,2.419s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Ref URL""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:39:33,2019-04-22 15:39:35,2.341s,PASSED
,,,,,,
