Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMS Kiboengage,Chrome 73.0.3683.103,,,2019-04-21 06:22:40,2019-04-21 06:27:35,4m - 55.433s,PASSED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.103,,,2019-04-21 06:22:40,2019-04-21 06:23:39,59.140s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-21 06:22:41,2019-04-21 06:22:54,13.567s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-21 06:22:54,2019-04-21 06:22:54,0.140s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-21 06:22:55,2019-04-21 06:23:04,9.124s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 06:23:04,2019-04-21 06:23:04,0.573s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:04,2019-04-21 06:23:05,1.174s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 06:23:05,2019-04-21 06:23:06,0.290s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-21 06:23:06,2019-04-21 06:23:06,0.243s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:06,2019-04-21 06:23:06,0.159s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.103,,,2019-04-21 06:23:06,2019-04-21 06:23:36,29.602s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:36,2019-04-21 06:23:36,0.369s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-21 06:23:36,2019-04-21 06:23:39,3.046s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:39,2019-04-21 06:23:39,0.193s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:39,2019-04-21 06:23:39,0.184s,PASSED
,,,,,,,
Test Cases/SMS/SMSPlatform,Chrome 73.0.3683.103,,,2019-04-21 06:23:39,2019-04-21 06:23:41,1.702s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (1)""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:40,2019-04-21 06:23:40,0.144s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_SMS (1)""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:40,2019-04-21 06:23:40,0.183s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 06:23:40,2019-04-21 06:23:41,1.003s,PASSED
,,,,,,,
Test Cases/SMS/contacts/TC11149,Chrome 73.0.3683.103,,,2019-04-21 06:23:41,2019-04-21 06:23:44,2.618s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:41,2019-04-21 06:23:42,0.257s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 06:23:42,2019-04-21 06:23:43,1.003s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Subscribers (1)""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:43,2019-04-21 06:23:43,0.230s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 06:23:43,2019-04-21 06:23:44,1.004s,PASSED
,,,,,,,
Test Cases/SMS/contacts/TC11150,Chrome 73.0.3683.103,,,2019-04-21 06:23:44,2019-04-21 06:23:48,4.029s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:44,2019-04-21 06:23:44,0.306s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 06:23:44,2019-04-21 06:23:45,1.004s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Subscribers (1)""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:45,2019-04-21 06:23:46,0.211s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 06:23:46,2019-04-21 06:23:47,1.003s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Subscribers/h3_Subscribers""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:47,2019-04-21 06:23:47,0.105s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 06:23:47,2019-04-21 06:23:48,1.006s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.103,,,2019-04-21 06:23:48,2019-04-21 06:23:48,0.034s,PASSED
"Table = driver.findElement(By.xpath(""//*[@id=""ajax_data""]/table/tbody""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:48,2019-04-21 06:23:48,0.047s,PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:48,2019-04-21 06:23:48,0.028s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.103,,,2019-04-21 06:23:48,2019-04-21 06:23:48,0.020s,PASSED
,,,,,,,
Test Cases/SMS/contacts/TC11151,Chrome 73.0.3683.103,,,2019-04-21 06:23:48,2019-04-21 06:23:51,2.977s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:48,2019-04-21 06:23:48,0.324s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 06:23:48,2019-04-21 06:23:49,1.003s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Subscribers (1)""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:49,2019-04-21 06:23:50,0.316s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 06:23:50,2019-04-21 06:23:51,1.015s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Subscribers/a_next""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:51,2019-04-21 06:23:51,0.134s,PASSED
,,,,,,,
Test Cases/SMS/contacts/TC11152,Chrome 73.0.3683.103,,,2019-04-21 06:23:51,2019-04-21 06:23:54,2.739s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:51,2019-04-21 06:23:51,0.256s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 06:23:51,2019-04-21 06:23:52,1.004s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Subscribers (1)""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:52,2019-04-21 06:23:52,0.189s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-21 06:23:52,2019-04-21 06:23:53,1.003s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Subscribers/a_previous""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:53,2019-04-21 06:23:54,0.113s,PASSED
,,,,,,,
Test Cases/SMS/contacts/TC11153,Chrome 73.0.3683.103,,,2019-04-21 06:23:54,2019-04-21 06:23:57,2.986s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.103,,,2019-04-21 06:23:54,2019-04-21 06:23:54,0.303s,PASSED
