Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SMS Kiboengage,Chrome 73.0.3683.75,,2019-04-22 15:30:03,2019-04-22 15:33:59,3m - 55.706s,ERROR
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-22 15:30:03,2019-04-22 15:30:36,32.933s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-22 15:30:03,2019-04-22 15:30:05,1.243s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-22 15:30:05,2019-04-22 15:30:05,0.134s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-22 15:30:05,2019-04-22 15:30:17,11.981s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-22 15:30:17,2019-04-22 15:30:17,0.451s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-22 15:30:17,2019-04-22 15:30:18,0.771s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-22 15:30:18,2019-04-22 15:30:18,0.165s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-22 15:30:18,2019-04-22 15:30:18,0.186s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-22 15:30:18,2019-04-22 15:30:18,0.084s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-22 15:30:18,2019-04-22 15:30:33,14.298s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-22 15:30:33,2019-04-22 15:30:33,0.095s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-22 15:30:33,2019-04-22 15:30:36,3.023s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-22 15:30:36,2019-04-22 15:30:36,0.112s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-22 15:30:36,2019-04-22 15:30:36,0.078s,PASSED
,,,,,,
Test Cases/SMS/SMSPlatform,Chrome 73.0.3683.75,,2019-04-22 15:30:36,2019-04-22 15:30:37,1.348s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (1)""))",Chrome 73.0.3683.75,,2019-04-22 15:30:36,2019-04-22 15:30:36,0.081s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_SMS (1)""))",Chrome 73.0.3683.75,,2019-04-22 15:30:36,2019-04-22 15:30:36,0.112s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-22 15:30:36,2019-04-22 15:30:37,1.007s,PASSED
,,,,,,
Test Cases/SMS/contacts/TC11149,Chrome 73.0.3683.75,,2019-04-22 15:30:37,2019-04-22 15:30:40,2.352s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.75,,2019-04-22 15:30:38,2019-04-22 15:30:38,0.116s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-22 15:30:38,2019-04-22 15:30:39,1.004s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Subscribers (1)""))",Chrome 73.0.3683.75,,2019-04-22 15:30:39,2019-04-22 15:30:39,0.102s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-22 15:30:39,2019-04-22 15:30:40,1.001s,PASSED
,,,,,,
Test Cases/SMS/contacts/TC11150,Chrome 73.0.3683.75,,2019-04-22 15:30:40,2019-04-22 15:30:43,3.468s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.75,,2019-04-22 15:30:40,2019-04-22 15:30:40,0.107s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-22 15:30:40,2019-04-22 15:30:41,1.002s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Subscribers (1)""))",Chrome 73.0.3683.75,,2019-04-22 15:30:41,2019-04-22 15:30:41,0.080s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-22 15:30:41,2019-04-22 15:30:42,1.003s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Subscribers/h3_Subscribers""))",Chrome 73.0.3683.75,,2019-04-22 15:30:42,2019-04-22 15:30:42,0.072s,PASSED
