Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
greetingText,Chrome 73.0.3683.103,,,2019-04-20 21:35:14,2019-04-20 21:37:51,2m - 36.474s,FAILED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.103,,,2019-04-20 21:35:15,2019-04-20 21:37:31,2m - 16.178s,FAILED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-20 21:35:16,2019-04-20 21:35:30,14.213s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-20 21:35:30,2019-04-20 21:35:30,0.370s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-20 21:35:30,2019-04-20 21:35:41,11.116s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 21:35:41,2019-04-20 21:35:42,0.572s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-20 21:35:42,2019-04-20 21:35:43,1.244s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 21:35:43,2019-04-20 21:35:44,0.542s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-20 21:35:44,2019-04-20 21:35:44,0.390s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.103,,,2019-04-20 21:35:44,2019-04-20 21:35:45,0.370s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.103,,,2019-04-20 21:35:45,2019-04-20 21:37:00,1m - 15.221s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.103,,,2019-04-20 21:37:00,2019-04-20 21:37:31,31.419s,FAILED
,,,,,,,
Test Cases/Welcome messages/open Manage Pages,Chrome 73.0.3683.103,,,2019-04-20 21:37:31,2019-04-20 21:37:46,15.157s,FAILED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Manage Pages""))",Chrome 73.0.3683.103,,,2019-04-20 21:37:32,2019-04-20 21:37:46,14.761s,FAILED
,,,,,,,
Test Cases/Greeting text/TC1027,Chrome 73.0.3683.103,Greeting text video tutorial,,2019-04-20 21:37:46,2019-04-20 21:37:48,1.126s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 21:37:47,2019-04-20 21:37:48,0.733s,FAILED
,,,,,,,
Test Cases/Greeting text/TC1028,Chrome 73.0.3683.103,Default greeting text,,2019-04-20 21:37:48,2019-04-20 21:37:48,0.291s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 21:37:48,2019-04-20 21:37:48,0.105s,FAILED
,,,,,,,
Test Cases/Greeting text/TC1029,Chrome 73.0.3683.103,Change greeting text,,2019-04-20 21:37:48,2019-04-20 21:37:48,0.286s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 21:37:48,2019-04-20 21:37:48,0.093s,FAILED
,,,,,,,
Test Cases/Greeting text/TC1030,Chrome 73.0.3683.103,Change greeting text (empty text),,2019-04-20 21:37:48,2019-04-20 21:37:49,0.399s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 21:37:49,2019-04-20 21:37:49,0.111s,FAILED
,,,,,,,
Test Cases/Greeting text/TC1032,Chrome 73.0.3683.103,Add user name,,2019-04-20 21:37:49,2019-04-20 21:37:49,0.510s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 21:37:49,2019-04-20 21:37:49,0.114s,FAILED
,,,,,,,
Test Cases/Greeting text/TC1033,Chrome 73.0.3683.103,View greeting text,,2019-04-20 21:37:49,2019-04-20 21:37:50,0.524s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 21:37:50,2019-04-20 21:37:50,0.158s,FAILED
