Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
greetingText,Chrome 73.0.3683.75,,2019-04-22 15:36:59,2019-04-22 15:38:38,1m - 38.389s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-22 15:37:00,2019-04-22 15:38:08,1m - 7.864s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-22 15:37:00,2019-04-22 15:37:01,1.504s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-22 15:37:01,2019-04-22 15:37:02,0.136s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-22 15:37:02,2019-04-22 15:37:13,11.125s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-22 15:37:13,2019-04-22 15:37:13,0.539s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-22 15:37:13,2019-04-22 15:37:14,0.842s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-22 15:37:14,2019-04-22 15:37:14,0.221s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-22 15:37:14,2019-04-22 15:37:14,0.189s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-22 15:37:14,2019-04-22 15:37:15,0.138s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-22 15:37:15,2019-04-22 15:38:04,49.589s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-22 15:38:04,2019-04-22 15:38:04,0.099s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-22 15:38:04,2019-04-22 15:38:07,3.023s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-22 15:38:07,2019-04-22 15:38:07,0.140s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-22 15:38:07,2019-04-22 15:38:08,0.096s,PASSED
,,,,,,
Test Cases/Welcome messages/open Manage Pages,Chrome 73.0.3683.75,,2019-04-22 15:38:08,2019-04-22 15:38:09,1.267s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Manage Pages""))",Chrome 73.0.3683.75,,2019-04-22 15:38:08,2019-04-22 15:38:08,0.143s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-22 15:38:08,2019-04-22 15:38:09,1.002s,PASSED
,,,,,,
Test Cases/Greeting text/TC1027,Chrome 73.0.3683.75,Greeting text video tutorial,2019-04-22 15:38:09,2019-04-22 15:38:14,5.594s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:38:09,2019-04-22 15:38:11,2.371s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Greeting Message/a_video tutorial""))",Chrome 73.0.3683.75,,2019-04-22 15:38:11,2019-04-22 15:38:11,0.121s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-22 15:38:11,2019-04-22 15:38:14,3.002s,PASSED
,,,,,,
Test Cases/Greeting text/TC1028,Chrome 73.0.3683.75,Default greeting text,2019-04-22 15:38:14,2019-04-22 15:38:19,4.663s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:38:15,2019-04-22 15:38:17,2.402s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-22 15:38:17,2019-04-22 15:38:19,2.001s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-04-22 15:38:19,2019-04-22 15:38:19,0.007s,PASSED
"textArea = driver.findElement(By.xpath(""//*[@id=""exampleTextarea""]""))",Chrome 73.0.3683.75,,2019-04-22 15:38:19,2019-04-22 15:38:19,0.042s,PASSED
"verifyNotEqual(textArea.getText(), """")",Chrome 73.0.3683.75,,2019-04-22 15:38:19,2019-04-22 15:38:19,0.031s,PASSED
,,,,,,
Test Cases/Greeting text/TC1029,Chrome 73.0.3683.75,Change greeting text,2019-04-22 15:38:19,2019-04-22 15:38:25,5.711s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:38:19,2019-04-22 15:38:21,2.236s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-22 15:38:21,2019-04-22 15:38:23,2.001s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-04-22 15:38:23,2019-04-22 15:38:23,0.001s,PASSED
"textArea = driver.findElement(By.xpath(""//*[@id=""exampleTextarea""]""))",Chrome 73.0.3683.75,,2019-04-22 15:38:23,2019-04-22 15:38:23,0.014s,PASSED
"textArea.sendKeys(""Hello"")",Chrome 73.0.3683.75,,2019-04-22 15:38:23,2019-04-22 15:38:24,0.108s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  api_settings/button_Save (3)""))",Chrome 73.0.3683.75,,2019-04-22 15:38:24,2019-04-22 15:38:24,0.107s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  api_settings/div_Greeting message saved suc""))",Chrome 73.0.3683.75,,2019-04-22 15:38:24,2019-04-22 15:38:25,1.125s,PASSED
,,,,,,
Test Cases/Greeting text/TC1030,Chrome 73.0.3683.75,Change greeting text (empty text),2019-04-22 15:38:25,2019-04-22 15:38:29,4.547s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:38:25,2019-04-22 15:38:27,2.375s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-22 15:38:27,2019-04-22 15:38:29,2.004s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-04-22 15:38:29,2019-04-22 15:38:29,0.001s,PASSED
"textArea = driver.findElement(By.xpath(""//*[@id=""exampleTextarea""]""))",Chrome 73.0.3683.75,,2019-04-22 15:38:29,2019-04-22 15:38:29,0.014s,PASSED
textArea.clear(),Chrome 73.0.3683.75,,2019-04-22 15:38:29,2019-04-22 15:38:29,0.031s,PASSED
,,,,,,
Test Cases/Greeting text/TC1032,Chrome 73.0.3683.75,Add user name,2019-04-22 15:38:29,2019-04-22 15:38:35,5.817s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:38:29,2019-04-22 15:38:32,2.321s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-22 15:38:32,2019-04-22 15:38:34,2.003s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-04-22 15:38:34,2019-04-22 15:38:34,0.000s,PASSED
"textArea = driver.findElement(By.xpath(""//*[@id=""exampleTextarea""]""))",Chrome 73.0.3683.75,,2019-04-22 15:38:34,2019-04-22 15:38:34,0.018s,PASSED
"textArea.sendKeys(""arveen"")",Chrome 73.0.3683.75,,2019-04-22 15:38:34,2019-04-22 15:38:34,0.149s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  api_settings/button_Save (3)""))",Chrome 73.0.3683.75,,2019-04-22 15:38:34,2019-04-22 15:38:34,0.116s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  api_settings/div_Greeting message saved suc""))",Chrome 73.0.3683.75,,2019-04-22 15:38:34,2019-04-22 15:38:35,1.114s,PASSED
,,,,,,
Test Cases/Greeting text/TC1033,Chrome 73.0.3683.75,View greeting text,2019-04-22 15:38:35,2019-04-22 15:38:38,2.647s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:38:35,2019-04-22 15:38:38,2.340s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Greeting Message/a_See how it looks""))",Chrome 73.0.3683.75,,2019-04-22 15:38:38,2019-04-22 15:38:38,0.100s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Greeting Message/h3_Greeting Message Preview""))",Chrome 73.0.3683.75,,2019-04-22 15:38:38,2019-04-22 15:38:38,0.094s,PASSED
