Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
inviteUsingPhoneNumber,Chrome 73.0.3683.75,,2019-04-19 17:18:46,2019-04-19 17:19:31,44.715s,FAILED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-19 17:18:46,2019-04-19 17:19:27,40.807s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-19 17:18:47,2019-04-19 17:18:48,1.139s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-19 17:18:48,2019-04-19 17:18:48,0.129s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-19 17:18:48,2019-04-19 17:18:59,11.578s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-19 17:18:59,2019-04-19 17:19:00,0.480s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-19 17:19:00,2019-04-19 17:19:01,0.806s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-19 17:19:01,2019-04-19 17:19:01,0.170s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-19 17:19:01,2019-04-19 17:19:01,0.138s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-19 17:19:01,2019-04-19 17:19:01,0.075s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-19 17:19:01,2019-04-19 17:19:24,22.786s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-19 17:19:24,2019-04-19 17:19:24,0.079s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-19 17:19:24,2019-04-19 17:19:27,3.012s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-19 17:19:27,2019-04-19 17:19:27,0.119s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-19 17:19:27,2019-04-19 17:19:27,0.078s,PASSED
,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.75,,2019-04-19 17:19:27,2019-04-19 17:19:28,1.189s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.75,,2019-04-19 17:19:27,2019-04-19 17:19:27,0.095s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-19 17:19:27,2019-04-19 17:19:28,1.002s,PASSED
,,,,,,
Test Cases/Invite Using Phone Number/TC0929,Chrome 73.0.3683.75,Test view segmented list button,2019-04-19 17:19:28,2019-04-19 17:19:30,1.479s,FAILED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Growth Tools""))",Chrome 73.0.3683.75,,2019-04-19 17:19:28,2019-04-19 17:19:29,0.055s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-19 17:19:29,2019-04-19 17:19:30,1.002s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-19 17:19:30,2019-04-19 17:19:30,0.356s,FAILED
,,,,,,
Test Cases/Invite Using Phone Number/TC0930,Chrome 73.0.3683.75,View segmented lists,2019-04-19 17:19:30,2019-04-19 17:19:30,0.515s,FAILED
"callTestCase(findTestCase(""Invite Using Phone Number/TC0928-viewCustomers""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-19 17:19:30,2019-04-19 17:19:30,0.391s,FAILED
,,,,,,
Test Cases/Invite Using Phone Number/TC0938,Chrome 73.0.3683.75,Test back button,2019-04-19 17:19:30,2019-04-19 17:19:31,0.482s,FAILED
"callTestCase(findTestCase(""Invite Using Phone Number/TC0930""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-19 17:19:30,2019-04-19 17:19:31,0.403s,FAILED
