Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
inviteUsingPhoneNumber,Chrome 73.0.3683.103,,,2019-04-21 07:22:54,2019-04-21 07:24:49,1m - 55.628s,PASSED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.103,,,2019-04-21 07:22:54,2019-04-21 07:23:36,41.829s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-21 07:22:54,2019-04-21 07:22:57,2.290s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-21 07:22:57,2019-04-21 07:22:57,0.152s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-21 07:22:57,2019-04-21 07:23:07,10.083s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 07:23:07,2019-04-21 07:23:07,0.515s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-21 07:23:07,2019-04-21 07:23:08,0.972s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-21 07:23:08,2019-04-21 07:23:09,0.326s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-21 07:23:09,2019-04-21 07:23:09,0.236s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.103,,,2019-04-21 07:23:09,2019-04-21 07:23:09,0.180s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.103,,,2019-04-21 07:23:09,2019-04-21 07:23:32,23.114s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.103,,,2019-04-21 07:23:32,2019-04-21 07:23:32,0.134s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-21 07:23:32,2019-04-21 07:23:36,3.062s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-21 07:23:36,2019-04-21 07:23:36,0.140s,PASSED
