Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
welcomeMessages,Chrome 73.0.3683.103,,,2019-04-20 18:51:27,2019-04-20 18:53:08,1m - 41.714s,PASSED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.103,,,2019-04-20 18:51:27,2019-04-20 18:52:41,1m - 13.473s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-20 18:51:28,2019-04-20 18:51:48,20.162s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,,2019-04-20 18:51:48,2019-04-20 18:51:48,0.143s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.103,,,2019-04-20 18:51:48,2019-04-20 18:51:59,11.139s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 18:51:59,2019-04-20 18:52:00,0.577s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.103,,,2019-04-20 18:52:00,2019-04-20 18:52:01,1.765s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.103,,,2019-04-20 18:52:01,2019-04-20 18:52:02,0.506s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.103,,,2019-04-20 18:52:02,2019-04-20 18:52:03,0.715s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.103,,,2019-04-20 18:52:03,2019-04-20 18:52:03,0.210s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.103,,,2019-04-20 18:52:03,2019-04-20 18:52:33,29.747s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.103,,,2019-04-20 18:52:33,2019-04-20 18:52:36,3.138s,PASSED
delay(3),Chrome 73.0.3683.103,,,2019-04-20 18:52:36,2019-04-20 18:52:39,3.216s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-20 18:52:39,2019-04-20 18:52:40,1.173s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.103,,,2019-04-20 18:52:40,2019-04-20 18:52:40,0.246s,PASSED
,,,,,,,
Test Cases/Welcome messages/open Manage Pages,Chrome 73.0.3683.103,,,2019-04-20 18:52:41,2019-04-20 18:52:42,1.830s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Manage Pages""))",Chrome 73.0.3683.103,,,2019-04-20 18:52:41,2019-04-20 18:52:41,0.457s,PASSED
delay(1),Chrome 73.0.3683.103,,,2019-04-20 18:52:41,2019-04-20 18:52:42,1.003s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1034,Chrome 73.0.3683.103,Welcome message documentation link,,2019-04-20 18:52:43,2019-04-20 18:52:49,6.780s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 18:52:43,2019-04-20 18:52:49,5.831s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1035,Chrome 73.0.3683.103,Welcome message video tutorial,,2019-04-20 18:52:49,2019-04-20 18:52:52,2.906s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 18:52:50,2019-04-20 18:52:52,2.589s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1036,Chrome 73.0.3683.103,Welcome messages list,,2019-04-20 18:52:52,2019-04-20 18:52:55,2.936s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 18:52:53,2019-04-20 18:52:55,2.609s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1037,Chrome 73.0.3683.103,View welcome message,,2019-04-20 18:52:55,2019-04-20 18:52:58,2.586s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 18:52:55,2019-04-20 18:52:58,2.431s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1038,Chrome 73.0.3683.103,Edit Welcome message,,2019-04-20 18:52:58,2019-04-20 18:53:01,3.013s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 18:52:58,2019-04-20 18:53:01,2.636s,PASSED
,,,,,,,
Test Cases/Welcome messages/TC1039,Chrome 73.0.3683.103,Test back button,,2019-04-20 18:53:01,2019-04-20 18:53:04,2.805s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,,2019-04-20 18:53:01,2019-04-20 18:53:04,2.498s,PASSED
