Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
welcomeMessages,Chrome 73.0.3683.75,,2019-04-22 15:21:17,2019-04-22 15:22:22,1m - 5.781s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-22 15:21:17,2019-04-22 15:22:06,49.317s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-22 15:21:17,2019-04-22 15:21:19,2.030s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-22 15:21:19,2019-04-22 15:21:19,0.124s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-22 15:21:19,2019-04-22 15:21:31,11.226s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-22 15:21:31,2019-04-22 15:21:31,0.523s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-22 15:21:31,2019-04-22 15:21:32,1.173s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-22 15:21:32,2019-04-22 15:21:32,0.152s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-22 15:21:32,2019-04-22 15:21:33,0.125s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-22 15:21:33,2019-04-22 15:21:33,0.094s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-22 15:21:33,2019-04-22 15:22:03,30.151s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-22 15:22:03,2019-04-22 15:22:03,0.098s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-22 15:22:03,2019-04-22 15:22:06,3.022s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-22 15:22:06,2019-04-22 15:22:06,0.123s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-22 15:22:06,2019-04-22 15:22:06,0.121s,PASSED
,,,,,,
Test Cases/Welcome messages/open Manage Pages,Chrome 73.0.3683.75,,2019-04-22 15:22:06,2019-04-22 15:22:07,1.318s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Manage Pages""))",Chrome 73.0.3683.75,,2019-04-22 15:22:06,2019-04-22 15:22:06,0.130s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-22 15:22:06,2019-04-22 15:22:07,1.005s,PASSED
,,,,,,
Test Cases/Welcome messages/TC1034,Chrome 73.0.3683.75,Welcome message documentation link,2019-04-22 15:22:07,2019-04-22 15:22:10,2.555s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:22:08,2019-04-22 15:22:10,2.461s,PASSED
,,,,,,
Test Cases/Welcome messages/TC1035,Chrome 73.0.3683.75,Welcome message video tutorial,2019-04-22 15:22:10,2019-04-22 15:22:12,2.431s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:22:10,2019-04-22 15:22:12,2.318s,PASSED
,,,,,,
Test Cases/Welcome messages/TC1036,Chrome 73.0.3683.75,Welcome messages list,2019-04-22 15:22:12,2019-04-22 15:22:15,2.410s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:22:13,2019-04-22 15:22:15,2.320s,PASSED
,,,,,,
Test Cases/Welcome messages/TC1037,Chrome 73.0.3683.75,View welcome message,2019-04-22 15:22:15,2019-04-22 15:22:17,2.417s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:22:15,2019-04-22 15:22:17,2.297s,PASSED
,,,,,,
Test Cases/Welcome messages/TC1038,Chrome 73.0.3683.75,Edit Welcome message,2019-04-22 15:22:17,2019-04-22 15:22:20,2.592s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:22:17,2019-04-22 15:22:20,2.438s,PASSED
,,,,,,
Test Cases/Welcome messages/TC1039,Chrome 73.0.3683.75,Test back button,2019-04-22 15:22:20,2019-04-22 15:22:22,2.303s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Welcome Messages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-22 15:22:20,2019-04-22 15:22:22,2.240s,PASSED
