Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KiboLite,Chrome 73.0.3683.75,,2019-04-11 13:48:18,2019-04-11 13:55:57,7m - 38.705s,PASSED
,,,,,,
Test Cases/KiboLite/TC11077,Chrome 73.0.3683.75,Test Sign in to KiboLite,2019-04-11 13:48:19,2019-04-11 13:49:27,1m - 8.903s,PASSED
"callTestCase(findTestCase(""KiboLite/login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-11 13:48:19,2019-04-11 13:49:27,1m - 8.490s,PASSED
,,,,,,
Test Cases/KiboLite/TC11078,Chrome 73.0.3683.75,,2019-04-11 13:49:27,2019-04-11 13:50:35,1m - 7.658s,PASSED
"callTestCase(findTestCase(""KiboLite/login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-11 13:49:28,2019-04-11 13:50:33,1m - 5.241s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-11 13:50:33,2019-04-11 13:50:35,2.002s,PASSED
"click(findTestObject(""Object Repository/Page_ Dashboard/span_Broadcast""))",Chrome 73.0.3683.75,,2019-04-11 13:50:35,2019-04-11 13:50:35,0.154s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-04-11 13:50:35,2019-04-11 13:50:35,0.012s,PASSED
"Select = driver.findElements(By.xpath(""//*[@id=""tab_1""]/div/div[2]/div/select/option""))",Chrome 73.0.3683.75,,2019-04-11 13:50:35,2019-04-11 13:50:35,0.035s,PASSED
println(Select.size()),Chrome 73.0.3683.75,,2019-04-11 13:50:35,2019-04-11 13:50:35,0.008s,PASSED
"verifyGreaterThanOrEqual(Select.size(), 1)",Chrome 73.0.3683.75,,2019-04-11 13:50:35,2019-04-11 13:50:35,0.009s,PASSED
,,,,,,
Test Cases/KiboLite/TC11079,Chrome 73.0.3683.75,,2019-04-11 13:50:35,2019-04-11 13:51:23,48.030s,PASSED
"callTestCase(findTestCase(""KiboLite/login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-11 13:50:35,2019-04-11 13:51:11,35.679s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-11 13:51:11,2019-04-11 13:51:13,2.002s,PASSED
"click(findTestObject(""Page_ Dashboard/span_Broadcast""))",Chrome 73.0.3683.75,,2019-04-11 13:51:13,2019-04-11 13:51:13,0.158s,PASSED
"csv = getProjectDir() + ""/sampleFile.csv""",Chrome 73.0.3683.75,,2019-04-11 13:51:13,2019-04-11 13:51:13,0.001s,PASSED
"uploadFile(findTestObject(""Object Repository/Page_ Business Gateway/h4_sampleFilecsv""), csv)",Chrome 73.0.3683.75,,2019-04-11 13:51:13,2019-04-11 13:51:13,0.091s,PASSED
delay(10),Chrome 73.0.3683.75,,2019-04-11 13:51:13,2019-04-11 13:51:23,10.002s,PASSED
,,,,,,
Test Cases/KiboLite/TC11081,Chrome 73.0.3683.75,,2019-04-11 13:51:23,2019-04-11 13:52:14,51.198s,PASSED
"callTestCase(findTestCase(""KiboLite/TC11079""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-11 13:51:23,2019-04-11 13:52:14,50.922s,PASSED
"click(findTestObject(""Object Repository/Page_ Business Gateway/input_names_names""))",Chrome 73.0.3683.75,,2019-04-11 13:52:14,2019-04-11 13:52:14,0.128s,PASSED
"click(findTestObject(""Object Repository/Page_ Business Gateway/input_phone_numbers_phone_numbers""))",Chrome 73.0.3683.75,,2019-04-11 13:52:14,2019-04-11 13:52:14,0.068s,PASSED
,,,,,,
Test Cases/KiboLite/TC11085,Chrome 73.0.3683.75,,2019-04-11 13:52:14,2019-04-11 13:52:52,37.810s,PASSED
"callTestCase(findTestCase(""KiboLite/login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-11 13:52:14,2019-04-11 13:52:50,35.188s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-11 13:52:50,2019-04-11 13:52:52,2.002s,PASSED
"click(findTestObject(""Page_ Dashboard/span_Broadcast (1)""))",Chrome 73.0.3683.75,,2019-04-11 13:52:52,2019-04-11 13:52:52,0.188s,PASSED
"click(findTestObject(""Object Repository/Page_ Business Gateway/a_Create Push Message""))",Chrome 73.0.3683.75,,2019-04-11 13:52:52,2019-04-11 13:52:52,0.105s,PASSED
"click(findTestObject(""Object Repository/Page_ Business Gateway/h3_Push Message""))",Chrome 73.0.3683.75,,2019-04-11 13:52:52,2019-04-11 13:52:52,0.074s,PASSED
"click(findTestObject(""Object Repository/Page_ Business Gateway/span_Back""))",Chrome 73.0.3683.75,,2019-04-11 13:52:52,2019-04-11 13:52:52,0.077s,PASSED
"click(findTestObject(""Object Repository/Page_ Business Gateway/label_Change Page""))",Chrome 73.0.3683.75,,2019-04-11 13:52:52,2019-04-11 13:52:52,0.070s,PASSED
,,,,,,
Test Cases/KiboLite/TC11086,Chrome 73.0.3683.75,,2019-04-11 13:52:52,2019-04-11 13:53:32,40.209s,PASSED
"callTestCase(findTestCase(""KiboLite/login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-11 13:52:52,2019-04-11 13:53:28,35.633s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-11 13:53:28,2019-04-11 13:53:30,2.002s,PASSED
"click(findTestObject(""Page_ Dashboard/span_Broadcast (1) (1)""))",Chrome 73.0.3683.75,,2019-04-11 13:53:30,2019-04-11 13:53:30,0.159s,PASSED
"click(findTestObject(""Page_ Business Gateway/a_Target Customers (1) (1)""))",Chrome 73.0.3683.75,,2019-04-11 13:53:30,2019-04-11 13:53:30,0.111s,PASSED
