Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KiboPush Broadcasts,Chrome 67.0.3396.99,,2018-08-08 16:25:44,2018-08-08 16:40:50,15m - 5.914s,FAILED
,,,,,,
Test Cases/TC0106,Chrome 67.0.3396.99,Test documentation link,2018-08-08 16:25:45,2018-08-08 16:26:11,26.265s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-08 16:25:45,2018-08-08 16:25:48,2.560s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-08 16:25:48,2018-08-08 16:25:59,10.726s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:25:59,2018-08-08 16:25:59,0.208s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:25:59,2018-08-08 16:25:59,0.193s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:25:59,2018-08-08 16:25:59,0.372s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:25:59,2018-08-08 16:26:00,0.361s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-08 16:26:00,2018-08-08 16:26:00,0.395s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:00,2018-08-08 16:26:00,0.100s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:00,2018-08-08 16:26:03,3.306s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:03,2018-08-08 16:26:04,0.220s,PASSED
switchToWindowTitle,Chrome 67.0.3396.99,,2018-08-08 16:26:04,2018-08-08 16:26:11,7.166s,PASSED
switchToWindowTitle,Chrome 67.0.3396.99,,2018-08-08 16:26:11,2018-08-08 16:26:11,0.128s,PASSED
,,,,,,
Test Cases/TC0107,Chrome 67.0.3396.99,Test video tutorial,2018-08-08 16:26:11,2018-08-08 16:26:37,25.834s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-08 16:26:11,2018-08-08 16:26:12,1.177s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-08 16:26:12,2018-08-08 16:26:23,10.650s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:23,2018-08-08 16:26:23,0.143s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:23,2018-08-08 16:26:23,0.128s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:26:23,2018-08-08 16:26:24,0.280s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:26:24,2018-08-08 16:26:24,0.309s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-08 16:26:24,2018-08-08 16:26:24,0.173s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:24,2018-08-08 16:26:24,0.107s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:24,2018-08-08 16:26:27,3.039s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:27,2018-08-08 16:26:27,0.182s,PASSED
delay,Chrome 67.0.3396.99,,2018-08-08 16:26:27,2018-08-08 16:26:32,5.030s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:32,2018-08-08 16:26:33,0.300s,PASSED
switchToWindowTitle,Chrome 67.0.3396.99,,2018-08-08 16:26:33,2018-08-08 16:26:36,2.896s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:36,2018-08-08 16:26:37,1.179s,PASSED
,,,,,,
Test Cases/TC0108,Chrome 67.0.3396.99,Test view broadcast,2018-08-08 16:26:37,2018-08-08 16:26:53,16.047s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-08 16:26:37,2018-08-08 16:26:38,1.123s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-08 16:26:38,2018-08-08 16:26:47,9.115s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:47,2018-08-08 16:26:48,0.166s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:48,2018-08-08 16:26:48,0.125s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:26:48,2018-08-08 16:26:48,0.299s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:26:48,2018-08-08 16:26:48,0.300s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-08 16:26:48,2018-08-08 16:26:48,0.163s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:48,2018-08-08 16:26:49,0.093s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:26:49,2018-08-08 16:26:52,2.960s,PASSED
delay,Chrome 67.0.3396.99,,2018-08-08 16:26:52,2018-08-08 16:26:53,1.007s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 67.0.3396.99,,2018-08-08 16:26:53,2018-08-08 16:26:53,0.010s,PASSED
"Statement - Table = driver.findElement(org.openqa.selenium.By.xpath(""//table/tbody""))",Chrome 67.0.3396.99,,2018-08-08 16:26:53,2018-08-08 16:26:53,0.043s,PASSED
"Statement - rows_table = Table.findElements(org.openqa.selenium.By.tagName(""tr""))",Chrome 67.0.3396.99,,2018-08-08 16:26:53,2018-08-08 16:26:53,0.028s,PASSED
Statement - rows_count = rows_table.size(),Chrome 67.0.3396.99,,2018-08-08 16:26:53,2018-08-08 16:26:53,0.003s,PASSED
verifyEqual,Chrome 67.0.3396.99,,2018-08-08 16:26:53,2018-08-08 16:26:53,0.017s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-08-08 16:26:53,2018-08-08 16:26:53,0.217s,PASSED
,,,,,,
Test Cases/TC0109,Chrome 67.0.3396.99,Test search broadcast,2018-08-08 16:26:53,2018-08-08 16:27:11,18.490s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-08 16:26:53,2018-08-08 16:26:54,0.911s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-08 16:26:54,2018-08-08 16:27:06,12.400s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:06,2018-08-08 16:27:06,0.154s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:06,2018-08-08 16:27:07,0.126s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:27:07,2018-08-08 16:27:07,0.281s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:27:07,2018-08-08 16:27:07,0.295s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-08 16:27:07,2018-08-08 16:27:07,0.168s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:07,2018-08-08 16:27:07,0.090s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:07,2018-08-08 16:27:10,3.083s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:27:10,2018-08-08 16:27:11,0.278s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:11,2018-08-08 16:27:11,0.600s,PASSED
,,,,,,
Test Cases/TC0110,Chrome 67.0.3396.99,Test filter by type image,2018-08-08 16:27:11,2018-08-08 16:27:34,22.214s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-08 16:27:12,2018-08-08 16:27:13,1.184s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-08 16:27:13,2018-08-08 16:27:28,15.636s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:28,2018-08-08 16:27:28,0.144s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:28,2018-08-08 16:27:29,0.127s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:27:29,2018-08-08 16:27:29,0.267s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:27:29,2018-08-08 16:27:29,0.351s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-08 16:27:29,2018-08-08 16:27:29,0.173s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:29,2018-08-08 16:27:29,0.084s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:29,2018-08-08 16:27:33,3.157s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-08-08 16:27:33,2018-08-08 16:27:33,0.304s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:33,2018-08-08 16:27:34,0.602s,PASSED
,,,,,,
Test Cases/TC0111,Chrome 67.0.3396.99,Test filter by type text,2018-08-08 16:27:34,2018-08-08 16:27:58,24.805s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-08 16:27:34,2018-08-08 16:27:35,1.107s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-08 16:27:35,2018-08-08 16:27:53,18.492s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:53,2018-08-08 16:27:54,0.151s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:54,2018-08-08 16:27:54,0.129s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:27:54,2018-08-08 16:27:54,0.314s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:27:54,2018-08-08 16:27:54,0.295s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-08 16:27:54,2018-08-08 16:27:54,0.164s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:54,2018-08-08 16:27:54,0.089s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:54,2018-08-08 16:27:57,2.983s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-08-08 16:27:57,2018-08-08 16:27:58,0.293s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:27:58,2018-08-08 16:27:58,0.600s,PASSED
,,,,,,
Test Cases/TC0112,Chrome 67.0.3396.99,Test filter by type card,2018-08-08 16:27:58,2018-08-08 16:28:29,30.217s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-08 16:27:59,2018-08-08 16:28:00,1.111s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-08 16:28:00,2018-08-08 16:28:23,23.127s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:28:23,2018-08-08 16:28:23,0.140s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:28:23,2018-08-08 16:28:23,0.128s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:28:23,2018-08-08 16:28:23,0.293s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:28:23,2018-08-08 16:28:24,0.429s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-08 16:28:24,2018-08-08 16:28:24,0.194s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:28:24,2018-08-08 16:28:24,0.120s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:28:24,2018-08-08 16:28:27,3.102s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-08-08 16:28:27,2018-08-08 16:28:27,0.309s,PASSED
delay,Chrome 67.0.3396.99,,2018-08-08 16:28:27,2018-08-08 16:28:28,1.005s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:28:28,2018-08-08 16:28:29,0.095s,PASSED
,,,,,,
Test Cases/TC0113,Chrome 67.0.3396.99,Test filter by type gallery,2018-08-08 16:28:29,2018-08-08 16:28:50,21.148s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-08 16:28:29,2018-08-08 16:28:30,1.106s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-08 16:28:30,2018-08-08 16:28:45,14.667s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:28:45,2018-08-08 16:28:45,0.143s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:28:45,2018-08-08 16:28:45,0.123s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:28:45,2018-08-08 16:28:45,0.268s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:28:45,2018-08-08 16:28:45,0.285s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-08 16:28:45,2018-08-08 16:28:46,0.184s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:28:46,2018-08-08 16:28:46,0.090s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:28:46,2018-08-08 16:28:49,2.944s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-08-08 16:28:49,2018-08-08 16:28:49,0.385s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:28:49,2018-08-08 16:28:50,0.602s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-08-08 16:28:50,2018-08-08 16:28:50,0.205s,PASSED
,,,,,,
Test Cases/TC0114,Chrome 67.0.3396.99,Test filter by type audio,2018-08-08 16:28:50,2018-08-08 16:29:13,23.208s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-08 16:28:50,2018-08-08 16:29:08,18.557s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:29:08,2018-08-08 16:29:11,3.117s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-08-08 16:29:11,2018-08-08 16:29:12,0.336s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:29:12,2018-08-08 16:29:13,1.121s,PASSED
,,,,,,
Test Cases/TC0115,Chrome 67.0.3396.99,Test filter by type Video,2018-08-08 16:29:13,2018-08-08 16:29:36,23.097s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-08 16:29:13,2018-08-08 16:29:32,19.078s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:29:32,2018-08-08 16:29:35,3.021s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-08-08 16:29:35,2018-08-08 16:29:35,0.325s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:29:35,2018-08-08 16:29:36,0.598s,PASSED
,,,,,,
Test Cases/TC0119,Chrome 67.0.3396.99,Test filter by type miscellaneous,2018-08-08 16:29:36,2018-08-08 16:29:57,21.262s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-08 16:29:36,2018-08-08 16:29:37,1.080s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-08 16:29:37,2018-08-08 16:29:52,15.099s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:29:52,2018-08-08 16:29:52,0.132s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:29:52,2018-08-08 16:29:53,0.114s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:29:53,2018-08-08 16:29:53,0.296s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:29:53,2018-08-08 16:29:53,0.314s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-08 16:29:53,2018-08-08 16:29:53,0.165s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:29:53,2018-08-08 16:29:53,0.106s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:29:53,2018-08-08 16:29:56,2.840s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-08-08 16:29:56,2018-08-08 16:29:57,0.348s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:29:57,2018-08-08 16:29:57,0.641s,PASSED
,,,,,,
Test Cases/TC0120,Chrome 67.0.3396.99,Test filter by type all,2018-08-08 16:29:57,2018-08-08 16:30:16,18.613s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-08 16:29:57,2018-08-08 16:29:59,1.076s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-08 16:29:59,2018-08-08 16:30:11,12.836s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:30:11,2018-08-08 16:30:12,0.154s,PASSED
click,Chrome 67.0.3396.99,,2018-08-08 16:30:12,2018-08-08 16:30:12,0.141s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-08 16:30:12,2018-08-08 16:30:12,0.285s,PASSED
