Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 73.0.3683.86,,2019-04-02 12:24:03,2019-04-02 12:27:32,3m - 28.731s,PASSED
,,,,,,
Test Cases/Login Test Cases/TC0001,Chrome 73.0.3683.86,Test Login Functionality by entering right credentials,2019-04-02 12:24:04,2019-04-02 12:25:07,1m - 3.667s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-02 12:24:04,2019-04-02 12:24:06,2.237s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-02 12:24:06,2019-04-02 12:24:06,0.127s,PASSED
"navigateToUrl(""https://kibochat.cloudkibo.com/"")",Chrome 73.0.3683.86,,2019-04-02 12:24:06,2019-04-02 12:24:32,25.977s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kibochat.cloudkibo.com"")",Chrome 73.0.3683.86,,2019-04-02 12:24:32,2019-04-02 12:24:33,0.727s,PASSED
"click(findTestObject(""Page_KiboPush/a_Login (10)""))",Chrome 73.0.3683.86,,2019-04-02 12:24:33,2019-04-02 12:24:34,1.017s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (11)""), ""individual@cloudkibo.com"")",Chrome 73.0.3683.86,,2019-04-02 12:24:34,2019-04-02 12:24:34,0.541s,PASSED
"setEncryptedText(findTestObject(""Page_KiboPush/input_password (10)""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 73.0.3683.86,,2019-04-02 12:24:34,2019-04-02 12:24:35,0.380s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (11)""))",Chrome 73.0.3683.86,,2019-04-02 12:24:35,2019-04-02 12:24:35,0.162s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (58)""))",Chrome 73.0.3683.86,,2019-04-02 12:24:35,2019-04-02 12:25:04,29.130s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-04-02 12:25:04,2019-04-02 12:25:07,3.016s,PASSED
,,,,,,
Test Cases/Login Test Cases/TC0002,Chrome 73.0.3683.86,Test Login Functionality by entering right credentials,2019-04-02 12:25:07,2019-04-02 12:26:23,1m - 16.111s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-02 12:25:07,2019-04-02 12:25:08,0.612s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-02 12:25:08,2019-04-02 12:25:08,0.128s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.86,,2019-04-02 12:25:08,2019-04-02 12:25:42,33.702s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.86,,2019-04-02 12:25:42,2019-04-02 12:26:00,18.193s,PASSED
"click(findTestObject(""Page_KiboPush/a_Login (12) (2)""))",Chrome 73.0.3683.86,,2019-04-02 12:26:00,2019-04-02 12:26:01,0.869s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (13) (2)""), ""team@cloudkibo.com"")",Chrome 73.0.3683.86,,2019-04-02 12:26:01,2019-04-02 12:26:01,0.164s,PASSED
"setEncryptedText(findTestObject(""Page_KiboPush/input_password (12) (2)""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 73.0.3683.86,,2019-04-02 12:26:01,2019-04-02 12:26:01,0.139s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CloudKibo/input_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 73.0.3683.86,,2019-04-02 12:26:01,2019-04-02 12:26:01,0.107s,PASSED
"click(findTestObject(""Object Repository/Page_CloudKibo/button_Sign In""))",Chrome 73.0.3683.86,,2019-04-02 12:26:01,2019-04-02 12:26:01,0.114s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/h3_Dashboard""))",Chrome 73.0.3683.86,,2019-04-02 12:26:01,2019-04-02 12:26:23,22.004s,PASSED
,,,,,,
Test Cases/Login Test Cases/TC0003,Chrome 73.0.3683.86,Test Login Functionality by entering wrong email,2019-04-02 12:26:23,2019-04-02 12:26:40,16.517s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-02 12:26:23,2019-04-02 12:26:24,0.649s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-02 12:26:24,2019-04-02 12:26:24,0.111s,PASSED
"navigateToUrl(""https://kibochat.cloudkibo.com/"")",Chrome 73.0.3683.86,,2019-04-02 12:26:24,2019-04-02 12:26:36,12.230s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kibochat.cloudkibo.com"")",Chrome 73.0.3683.86,,2019-04-02 12:26:36,2019-04-02 12:26:37,0.756s,PASSED
"click(findTestObject(""Page_KiboPush/a_Login (10) (1)""))",Chrome 73.0.3683.86,,2019-04-02 12:26:37,2019-04-02 12:26:38,1.001s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (11) (1)""), ""individua@cloudkibo.com"")",Chrome 73.0.3683.86,,2019-04-02 12:26:38,2019-04-02 12:26:39,0.582s,PASSED
"setEncryptedText(findTestObject(""Page_KiboPush/input_password (10) (1)""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 73.0.3683.86,,2019-04-02 12:26:39,2019-04-02 12:26:39,0.261s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (11) (1)""))",Chrome 73.0.3683.86,,2019-04-02 12:26:39,2019-04-02 12:26:39,0.183s,PASSED
"click(findTestObject(""Page_KiboPush/div_No account found with this (1)""))",Chrome 73.0.3683.86,,2019-04-02 12:26:39,2019-04-02 12:26:40,0.649s,PASSED
,,,,,,
