Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ManagePages,Chrome 73.0.3683.75,,2019-03-27 12:34:10,2019-03-27 12:46:14,12m - 4.721s,FAILED
,,,,,,
Test Cases/Manage Pages TestCases/TC0402,Chrome 73.0.3683.75,Test documentation link,2019-03-27 12:34:10,2019-03-27 12:35:22,1m - 12.239s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Pages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-27 12:34:10,2019-03-27 12:35:22,1m - 12.030s,FAILED
,,,,,,
Test Cases/Manage Pages TestCases/TC0403,Chrome 73.0.3683.75,Test video tutorial,2019-03-27 12:35:22,2019-03-27 12:36:17,55.060s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Pages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-27 12:35:22,2019-03-27 12:36:17,54.979s,FAILED
,,,,,,
Test Cases/Manage Pages TestCases/TC0404,Chrome 73.0.3683.75,View all pages,2019-03-27 12:36:17,2019-03-27 12:37:12,55.159s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Pages""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-27 12:36:17,2019-03-27 12:37:10,52.998s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-27 12:37:10,2019-03-27 12:37:12,2.003s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-03-27 12:37:12,2019-03-27 12:37:12,0.005s,PASSED
"Table = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 73.0.3683.75,,2019-03-27 12:37:12,2019-03-27 12:37:12,0.051s,PASSED
"verifyGreaterThanOrEqual(Table.size(), 1)",Chrome 73.0.3683.75,,2019-03-27 12:37:12,2019-03-27 12:37:12,0.006s,PASSED
println(Table.size()),Chrome 73.0.3683.75,,2019-03-27 12:37:12,2019-03-27 12:37:12,0.002s,PASSED
,,,,,,
Test Cases/Manage Pages TestCases/TC0405,Chrome 73.0.3683.75,Search pages,2019-03-27 12:37:12,2019-03-27 12:38:11,58.652s,PASSED
