Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Dashboard,Chrome 73.0.3683.86,,2019-04-16 13:51:50,2019-04-16 14:00:21,8m - 30.904s,FAILED
,,,,,,
Test Cases/Test cases x/Dashboard TestCases/TC11065,Chrome 73.0.3683.86,Test Total Pages link,2019-04-16 13:51:50,2019-04-16 13:53:17,1m - 26.627s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 13:51:51,2019-04-16 13:53:17,1m - 26.436s,PASSED
,,,,,,
Test Cases/Test cases x/Dashboard TestCases/TC0103,Chrome 73.0.3683.86,Test change page,2019-04-16 13:53:17,2019-04-16 13:54:33,1m - 15.596s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 13:53:17,2019-04-16 13:54:33,1m - 15.432s,PASSED
,,,,,,
Test Cases/Test cases x/Dashboard TestCases/TC11063,Chrome 73.0.3683.86,Test documentation link,2019-04-16 13:54:33,2019-04-16 13:55:24,51.487s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 13:54:33,2019-04-16 13:55:24,51.387s,PASSED
,,,,,,
Test Cases/Test cases x/Dashboard TestCases/TC11064,Chrome 73.0.3683.86,Test video link,2019-04-16 13:55:24,2019-04-16 13:56:13,49.089s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 13:55:24,2019-04-16 13:56:13,48.993s,PASSED
,,,,,,
Test Cases/Test cases x/Dashboard TestCases/TC11069,Chrome 73.0.3683.86,Test Connected Pages link,2019-04-16 13:56:13,2019-04-16 13:57:08,54.654s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 13:56:13,2019-04-16 13:57:08,54.569s,FAILED
,,,,,,
Test Cases/Test cases x/Dashboard TestCases/TC0104,Chrome 73.0.3683.86,Test subscribers link,2019-04-16 13:57:08,2019-04-16 13:57:52,44.656s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 13:57:08,2019-04-16 13:57:52,44.600s,PASSED
,,,,,,
Test Cases/Test cases x/Dashboard TestCases/TC11070,Chrome 73.0.3683.86,Test Sequences link,2019-04-16 13:57:52,2019-04-16 13:58:39,46.748s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 13:57:53,2019-04-16 13:58:39,46.634s,PASSED
,,,,,,
Test Cases/Test cases x/Dashboard TestCases/TC0105,Chrome 73.0.3683.86,Test unsubscribes link,2019-04-16 13:58:39,2019-04-16 13:59:21,42.260s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 13:58:39,2019-04-16 13:59:21,42.193s,FAILED
,,,,,,
Test Cases/Test cases x/Dashboard TestCases/TC11068,Chrome 73.0.3683.86,Test Done button,2019-04-16 13:59:21,2019-04-16 14:00:21,59.517s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Dashboard""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 13:59:22,2019-04-16 14:00:21,59.468s,PASSED
