Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Persistent Menu,Chrome 73.0.3683.86,,2019-04-16 14:30:25,2019-04-16 16:26:27,1h - 56m - 1.748s,FAILED
,,,,,,
Test Cases/Test cases x/Persistent Menu/TC0591,Chrome 73.0.3683.86,Test remove card component,2019-04-16 14:30:25,2019-04-16 14:31:39,1m - 14.344s,PASSED
"callTestCase(findTestCase(""Persistent Menu/TC0548""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:30:25,2019-04-16 14:31:39,1m - 14.176s,PASSED
,,,,,,
Test Cases/Test cases x/Persistent Menu/TC0545,Chrome 73.0.3683.86,Test image validation,2019-04-16 14:31:39,2019-04-16 14:32:42,1m - 2.216s,PASSED
"callTestCase(findTestCase(""Persistent Menu/TC0544""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:31:40,2019-04-16 14:32:38,58.028s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-04-16 14:32:38,2019-04-16 14:32:40,2.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Create Menu/button_Save (1) (2)""))",Chrome 73.0.3683.86,,2019-04-16 14:32:40,2019-04-16 14:32:40,0.070s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-04-16 14:32:40,2019-04-16 14:32:42,2.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Create Menu/div_Select a valid image""))",Chrome 73.0.3683.86,,2019-04-16 14:32:42,2019-04-16 14:32:42,0.049s,PASSED
,,,,,,
Test Cases/Test cases x/Persistent Menu/TC0568,Chrome 73.0.3683.86,Test remove card in gallery component,2019-04-16 14:32:42,2019-04-16 14:33:50,1m - 8.288s,PASSED
"callTestCase(findTestCase(""Persistent Menu/TC0558""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:32:42,2019-04-16 14:33:50,1m - 8.221s,PASSED
,,,,,,
Test Cases/Test cases x/Persistent Menu/TC0610,Chrome 73.0.3683.86,Remove main menu,2019-04-16 14:33:50,2019-04-16 14:34:37,47.196s,PASSED
"callTestCase(findTestCase(""Persistent Menu/TC0607""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:33:50,2019-04-16 14:34:37,47.134s,PASSED
,,,,,,
Test Cases/Test cases x/Persistent Menu/TC0546,Chrome 73.0.3683.86,Test upload image,2019-04-16 14:34:37,2019-04-16 14:35:48,1m - 11.315s,PASSED
"callTestCase(findTestCase(""Persistent Menu/TC0544""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:34:37,2019-04-16 14:35:32,55.010s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-04-16 14:35:32,2019-04-16 14:35:35,3.004s,PASSED
