Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sidebar,Chrome 73.0.3683.86,,2019-04-12 15:05:46,2019-04-12 15:11:25,5m - 39.000s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC11059,Chrome 73.0.3683.86,,2019-04-12 15:05:46,2019-04-12 15:07:05,1m - 18.972s,FAILED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:05:46,2019-04-12 15:07:05,1m - 18.819s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC0067,Chrome 73.0.3683.86,Test Templates link,2019-04-12 15:07:05,2019-04-12 15:07:06,0.885s,FAILED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:07:05,2019-04-12 15:07:06,0.815s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC0076,Chrome 73.0.3683.86,Test settings link,2019-04-12 15:07:06,2019-04-12 15:07:07,0.831s,FAILED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:07:06,2019-04-12 15:07:07,0.766s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC11062,Chrome 73.0.3683.86,,2019-04-12 15:07:07,2019-04-12 15:07:07,0.839s,FAILED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:07:07,2019-04-12 15:07:07,0.784s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC0055,Chrome 73.0.3683.86,Test Dahboard link,2019-04-12 15:07:07,2019-04-12 15:07:55,47.609s,PASSED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:07:07,2019-04-12 15:07:55,47.553s,PASSED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC0075,Chrome 73.0.3683.86,Test Members link,2019-04-12 15:07:55,2019-04-12 15:07:56,0.812s,FAILED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:07:55,2019-04-12 15:07:56,0.754s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC0065,Chrome 73.0.3683.86,Test subscribers link,2019-04-12 15:07:56,2019-04-12 15:07:57,0.863s,FAILED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:07:56,2019-04-12 15:07:57,0.803s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC0061,Chrome 73.0.3683.86,Test live chat link,2019-04-12 15:07:57,2019-04-12 15:07:57,0.762s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Login-KiboChat""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:07:57,2019-04-12 15:07:57,0.713s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC11056,Chrome 73.0.3683.86,,2019-04-12 15:07:57,2019-04-12 15:07:58,0.836s,FAILED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:07:57,2019-04-12 15:07:58,0.789s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC0077,Chrome 73.0.3683.86,Test User Guide link,2019-04-12 15:07:58,2019-04-12 15:07:59,0.782s,FAILED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:07:58,2019-04-12 15:07:59,0.735s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC0064,Chrome 73.0.3683.86,Test manage pages link,2019-04-12 15:07:59,2019-04-12 15:08:00,0.737s,FAILED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:07:59,2019-04-12 15:08:00,0.685s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC0073,Chrome 73.0.3683.86,Test Teams link,2019-04-12 15:08:00,2019-04-12 15:08:01,0.776s,FAILED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:08:00,2019-04-12 15:08:01,0.726s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC0062,Chrome 73.0.3683.86,Test autoposting link,2019-04-12 15:08:01,2019-04-12 15:08:01,0.796s,FAILED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:08:01,2019-04-12 15:08:01,0.741s,FAILED
,,,,,,
Test Cases/Test cases x/SideBar TestCases/TC0056,Chrome 73.0.3683.86,Test Broadcasts link,2019-04-12 15:08:01,2019-04-12 15:08:32,30.980s,PASSED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-12 15:08:01,2019-04-12 15:08:32,30.938s,PASSED
,,,,,,
