Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
header,Chrome 73.0.3683.86,,2019-04-16 14:05:50,2019-04-16 14:24:33,18m - 42.994s,FAILED
,,,,,,
Test Cases/Test cases x/Header TestCases/TC11051,Chrome 73.0.3683.86,,2019-04-16 14:05:50,2019-04-16 14:06:46,55.598s,PASSED
"callTestCase(findTestCase(""Header TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:05:51,2019-04-16 14:06:46,55.162s,PASSED
,,,,,,
Test Cases/Test cases x/Header TestCases/TC0096,Chrome 73.0.3683.86,Test setup wizard link,2019-04-16 14:06:46,2019-04-16 14:07:19,33.348s,PASSED
"callTestCase(findTestCase(""Header TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:06:46,2019-04-16 14:07:19,33.226s,PASSED
,,,,,,
Test Cases/Test cases x/Header TestCases/TC0100,Chrome 73.0.3683.86,Test logout,2019-04-16 14:07:19,2019-04-16 14:08:10,50.246s,PASSED
"callTestCase(findTestCase(""Header TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:07:20,2019-04-16 14:08:10,50.126s,PASSED
,,,,,,
Test Cases/Test cases x/Header TestCases/TC0101,Chrome 73.0.3683.86,Test documentation link,2019-04-16 14:08:10,2019-04-16 14:10:43,2m - 32.917s,FAILED
"callTestCase(findTestCase(""Header TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:08:10,2019-04-16 14:10:43,2m - 32.861s,FAILED
,,,,,,
Test Cases/Test cases x/Header TestCases/TC0081,Chrome 73.0.3683.86,Test Advanced Mode (when inactive),2019-04-16 14:10:43,2019-04-16 14:11:29,46.682s,PASSED
"callTestCase(findTestCase(""Header TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:10:43,2019-04-16 14:11:27,44.605s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-04-16 14:11:27,2019-04-16 14:11:29,2.001s,PASSED
,,,,,,
Test Cases/Test cases x/Header TestCases/TC11053,Chrome 73.0.3683.86,,2019-04-16 14:11:29,2019-04-16 14:12:01,31.760s,PASSED
"callTestCase(findTestCase(""Header TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:11:29,2019-04-16 14:12:01,31.692s,PASSED
,,,,,,
Test Cases/Test cases x/Header TestCases/TC0094,Chrome 73.0.3683.86,Test user profile pic,2019-04-16 14:12:01,2019-04-16 14:12:41,39.620s,PASSED
"callTestCase(findTestCase(""Header TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:12:01,2019-04-16 14:12:41,39.531s,PASSED
,,,,,,
Test Cases/Test cases x/Header TestCases/TC0088,Chrome 73.0.3683.86,Test view notification,2019-04-16 14:12:41,2019-04-16 14:13:13,32.230s,PASSED
"callTestCase(findTestCase(""Header TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:12:41,2019-04-16 14:13:13,32.175s,PASSED
,,,,,,
Test Cases/Test cases x/Header TestCases/TC0080,Chrome 73.0.3683.86,Test Advanced Mode (when active),2019-04-16 14:13:13,2019-04-16 14:13:51,37.945s,PASSED
"callTestCase(findTestCase(""Header TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-16 14:13:13,2019-04-16 14:13:51,37.877s,PASSED
,,,,,,
Test Cases/Test cases x/Header TestCases/TC0095,Chrome 73.0.3683.86,Test profile dropdown,2019-04-16 14:13:51,2019-04-16 14:14:44,52.721s,PASSED
