Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SMS,Chrome 73.0.3683.75,,2019-04-08 12:51:04,2019-04-08 13:15:12,24m - 7.694s,FAILED
,,,,,,
Test Cases/SMS/contacts/TC11149,Chrome 73.0.3683.75,,2019-04-08 12:51:05,2019-04-08 12:51:37,32.588s,PASSED
"callTestCase(findTestCase(""SMS/SMSPlatform""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-08 12:51:05,2019-04-08 12:51:37,32.397s,PASSED
,,,,,,
Test Cases/SMS/contacts/TC11150,Chrome 73.0.3683.75,,2019-04-08 12:51:37,2019-04-08 12:52:14,37.006s,PASSED
"callTestCase(findTestCase(""SMS/SMSPlatform""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-08 12:51:37,2019-04-08 12:52:13,35.438s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Subscribers (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:52:13,2019-04-08 12:52:13,0.137s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Subscribers/h3_Subscribers""))",Chrome 73.0.3683.75,,2019-04-08 12:52:13,2019-04-08 12:52:13,0.063s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-08 12:52:13,2019-04-08 12:52:14,1.002s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-04-08 12:52:14,2019-04-08 12:52:14,0.009s,PASSED
"Table = driver.findElement(By.xpath(""//*[@id=""ajax_data""]/table/tbody""))",Chrome 73.0.3683.75,,2019-04-08 12:52:14,2019-04-08 12:52:14,0.065s,PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 73.0.3683.75,,2019-04-08 12:52:14,2019-04-08 12:52:14,0.164s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.75,,2019-04-08 12:52:14,2019-04-08 12:52:14,0.006s,PASSED
,,,,,,
Test Cases/SMS/contacts/TC11151,Chrome 73.0.3683.75,,2019-04-08 12:52:14,2019-04-08 12:52:53,38.713s,PASSED
