Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sidebar_muzamil,Chrome 73.0.3683.75,,2019-03-15 11:23:42,2019-03-15 11:58:59,35m - 16.782s,FAILED
,,,,,,
Test Cases/SideBar TestCases/TC0054,Chrome 73.0.3683.75,Test Operational Dashboard link,2019-03-15 11:23:43,2019-03-15 11:24:13,30.452s,PASSED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 11:23:43,2019-03-15 11:24:12,29.133s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (27) (1)""))",Chrome 73.0.3683.75,,2019-03-15 11:24:12,2019-03-15 11:24:12,0.139s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Operational Dashboard (1)""))",Chrome 73.0.3683.75,,2019-03-15 11:24:12,2019-03-15 11:24:13,0.368s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts By Days/h3_Autoposting Details""))",Chrome 73.0.3683.75,,2019-03-15 11:24:13,2019-03-15 11:24:13,0.222s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts By Days/h3_Reports""))",Chrome 73.0.3683.75,,2019-03-15 11:24:13,2019-03-15 11:24:13,0.175s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts By Days/h3_Top 10 Pages""))",Chrome 73.0.3683.75,,2019-03-15 11:24:13,2019-03-15 11:24:13,0.097s,PASSED
,,,,,,
Test Cases/SideBar TestCases/TC0055,Chrome 73.0.3683.75,Test Dahboard link,2019-03-15 11:24:13,2019-03-15 11:24:46,32.899s,PASSED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 11:24:13,2019-03-15 11:24:46,32.539s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.75,,2019-03-15 11:24:46,2019-03-15 11:24:46,0.146s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/h3_Dashboard (28)""))",Chrome 73.0.3683.75,,2019-03-15 11:24:46,2019-03-15 11:24:46,0.051s,PASSED
,,,,,,
Test Cases/SideBar TestCases/TC0056,Chrome 73.0.3683.75,Test Broadcasts link,2019-03-15 11:24:46,2019-03-15 11:25:16,29.652s,PASSED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 11:24:46,2019-03-15 11:25:09,23.258s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-03-15 11:25:09,2019-03-15 11:25:12,3.003s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Broadcasting""))",Chrome 73.0.3683.75,,2019-03-15 11:25:12,2019-03-15 11:25:12,0.147s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-15 11:25:12,2019-03-15 11:25:14,2.001s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Broadcasts""))",Chrome 73.0.3683.75,,2019-03-15 11:25:14,2019-03-15 11:25:15,0.098s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-03-15 11:25:15,2019-03-15 11:25:16,1.002s,PASSED
"click(findTestObject(""Page_KiboPush  Broadcast/h3_Manage Broadcasts""))",Chrome 73.0.3683.75,,2019-03-15 11:25:16,2019-03-15 11:25:16,0.058s,PASSED
,,,,,,
Test Cases/SideBar TestCases/TC0057,Chrome 73.0.3683.75,Test comment capture link,2019-03-15 11:25:16,2019-03-15 11:25:48,32.350s,PASSED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 11:25:16,2019-03-15 11:25:44,27.996s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-03-15 11:25:44,2019-03-15 11:25:47,3.001s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Growth Tools""))",Chrome 73.0.3683.75,,2019-03-15 11:25:47,2019-03-15 11:25:47,0.082s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-03-15 11:25:47,2019-03-15 11:25:48,1.002s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Comment Capture""))",Chrome 73.0.3683.75,,2019-03-15 11:25:48,2019-03-15 11:25:48,0.100s,PASSED
"click(findTestObject(""Page_KiboPush  Comment Capture/h3_Comment Capture""))",Chrome 73.0.3683.75,,2019-03-15 11:25:48,2019-03-15 11:25:48,0.088s,PASSED
,,,,,,
Test Cases/SideBar TestCases/TC0058,Chrome 73.0.3683.75,Test surveys link,2019-03-15 11:25:48,2019-03-15 11:26:24,35.501s,PASSED
"callTestCase(findTestCase(""SideBar TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 11:25:48,2019-03-15 11:26:16,28.071s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-03-15 11:26:16,2019-03-15 11:26:19,3.002s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Broadcasting""))",Chrome 73.0.3683.75,,2019-03-15 11:26:19,2019-03-15 11:26:19,0.112s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-15 11:26:19,2019-03-15 11:26:21,2.002s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Surveys""))",Chrome 73.0.3683.75,,2019-03-15 11:26:21,2019-03-15 11:26:21,0.113s,PASSED
