Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Team,Chrome 73.0.3683.75,,2019-03-15 19:24:09,2019-03-15 19:35:25,11m - 16.163s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0950,Chrome 73.0.3683.75,Test documentation link,2019-03-15 19:24:09,2019-03-15 19:25:33,1m - 24.416s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:24:09,2019-03-15 19:25:33,1m - 23.978s,PASSED
"click(findTestObject(""Page_KiboPush  Broadcast/a_documentation (1)""))",Chrome 73.0.3683.75,,2019-03-15 19:25:33,2019-03-15 19:25:33,0.094s,PASSED
,,,,,,
Test Cases/Team Testcases/TC0951,Chrome 73.0.3683.75,Test view teams,2019-03-15 19:25:33,2019-03-15 19:27:19,1m - 45.271s,FAILED
"callTestCase(findTestCase(""Team Testcases/TC0958""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:25:33,2019-03-15 19:27:19,1m - 45.142s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0952,Chrome 73.0.3683.75,Test search team,2019-03-15 19:27:19,2019-03-15 19:28:52,1m - 33.097s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:27:19,2019-03-15 19:28:50,1m - 30.967s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-15 19:28:50,2019-03-15 19:28:52,2.002s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-03-15 19:28:52,2019-03-15 19:28:52,0.005s,PASSED
"rows_table = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 73.0.3683.75,,2019-03-15 19:28:52,2019-03-15 19:28:52,0.026s,PASSED
println(rows_table.size()),Chrome 73.0.3683.75,,2019-03-15 19:28:52,2019-03-15 19:28:52,0.002s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.75,,2019-03-15 19:28:52,2019-03-15 19:28:52,0.005s,PASSED
,,,,,,
Test Cases/Team Testcases/TC0953,Chrome 73.0.3683.75,Test filter by page,2019-03-15 19:28:52,2019-03-15 19:29:33,41.353s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:28:52,2019-03-15 19:29:29,37.100s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-15 19:29:29,2019-03-15 19:29:31,2.003s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_KiboEngage  Teams/select_Filter by Pages...Test2""), ""5c0902321276ef481a715910"", true)",Chrome 73.0.3683.75,,2019-03-15 19:29:31,2019-03-15 19:29:31,0.154s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-15 19:29:31,2019-03-15 19:29:33,2.002s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-03-15 19:29:33,2019-03-15 19:29:33,0.000s,PASSED
"rows_table = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 73.0.3683.75,,2019-03-15 19:29:33,2019-03-15 19:29:33,0.014s,PASSED
println(rows_table.size()),Chrome 73.0.3683.75,,2019-03-15 19:29:33,2019-03-15 19:29:33,0.000s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.75,,2019-03-15 19:29:33,2019-03-15 19:29:33,0.002s,PASSED
,,,,,,
Test Cases/Team Testcases/TC0954,Chrome 73.0.3683.75,Test stacked filter and search,2019-03-15 19:29:33,2019-03-15 19:29:34,0.927s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:29:33,2019-03-15 19:29:34,0.811s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0955,Chrome 73.0.3683.75,Test pagination (next page),2019-03-15 19:29:34,2019-03-15 19:29:35,0.835s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:29:34,2019-03-15 19:29:35,0.751s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0956,Chrome 73.0.3683.75,Test pagination (previous page),2019-03-15 19:29:35,2019-03-15 19:29:36,0.832s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:29:35,2019-03-15 19:29:36,0.752s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0957,Chrome 73.0.3683.75,Test pagination (Jump to page n),2019-03-15 19:29:36,2019-03-15 19:30:16,40.249s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:29:36,2019-03-15 19:30:14,38.086s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-15 19:30:14,2019-03-15 19:30:16,2.001s,PASSED
"click(findTestObject(""Page_KiboPush  Broadcast/a_2""))",Chrome 73.0.3683.75,,2019-03-15 19:30:16,2019-03-15 19:30:16,0.068s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-03-15 19:30:16,2019-03-15 19:30:16,0.001s,PASSED
"rows_table = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 73.0.3683.75,,2019-03-15 19:30:16,2019-03-15 19:30:16,0.013s,PASSED
println(rows_table.size()),Chrome 73.0.3683.75,,2019-03-15 19:30:16,2019-03-15 19:30:16,0.001s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.75,,2019-03-15 19:30:16,2019-03-15 19:30:16,0.001s,PASSED
,,,,,,
Test Cases/Team Testcases/TC0958,Chrome 73.0.3683.75,Test create new team button,2019-03-15 19:30:16,2019-03-15 19:30:17,0.747s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:30:16,2019-03-15 19:30:17,0.743s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0959,Chrome 73.0.3683.75,Test create team button with empty fields,2019-03-15 19:30:17,2019-03-15 19:31:13,56.805s,PASSED
"callTestCase(findTestCase(""Team Testcases/TC0958""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:30:17,2019-03-15 19:31:13,56.630s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Broadcast/button_Create Team""))",Chrome 73.0.3683.75,,2019-03-15 19:31:13,2019-03-15 19:31:13,0.066s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Broadcast/div_Please write a name""))",Chrome 73.0.3683.75,,2019-03-15 19:31:13,2019-03-15 19:31:13,0.055s,PASSED
,,,,,,
Test Cases/Team Testcases/TC0960,Chrome 73.0.3683.75,"Test create team button with empty description, agents and pages",2019-03-15 19:31:13,2019-03-15 19:31:14,0.886s,FAILED
"callTestCase(findTestCase(""Team Testcases/TC0958""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:31:13,2019-03-15 19:31:14,0.825s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0961,Chrome 73.0.3683.75,Test create team button with empty agents and pages,2019-03-15 19:31:14,2019-03-15 19:31:15,0.884s,FAILED
"callTestCase(findTestCase(""Team Testcases/TC0958""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:31:14,2019-03-15 19:31:15,0.835s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0962,Chrome 73.0.3683.75,Test create team button with empty pages,2019-03-15 19:31:15,2019-03-15 19:31:16,0.877s,FAILED
"callTestCase(findTestCase(""Team Testcases/TC0958""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:31:15,2019-03-15 19:31:16,0.827s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0963,Chrome 73.0.3683.75,Test add agents dropdown,2019-03-15 19:31:16,2019-03-15 19:31:17,0.872s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:31:16,2019-03-15 19:31:17,0.793s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0964,Chrome 73.0.3683.75,Test create team button,2019-03-15 19:31:17,2019-03-15 19:31:18,0.928s,FAILED
"callTestCase(findTestCase(""Team Testcases/TC0958""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:31:17,2019-03-15 19:31:18,0.880s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0968,Chrome 73.0.3683.75,Test cancel button,2019-03-15 19:31:18,2019-03-15 19:31:19,0.851s,FAILED
"callTestCase(findTestCase(""Team Testcases/TC0958""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:31:18,2019-03-15 19:31:19,0.798s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0969-BackButton,Chrome 73.0.3683.75,Test back button in view team,2019-03-15 19:31:19,2019-03-15 19:31:20,0.951s,FAILED
"callTestCase(findTestCase(""Team Testcases/TC0969""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:31:19,2019-03-15 19:31:20,0.890s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0969,Chrome 73.0.3683.75,Test view button in teams list,2019-03-15 19:31:20,2019-03-15 19:31:21,0.986s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:31:20,2019-03-15 19:31:21,0.981s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0970,Chrome 73.0.3683.75,Test delete button in teams list,2019-03-15 19:31:21,2019-03-15 19:33:24,2m - 3.103s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:31:21,2019-03-15 19:33:21,2m - 0.343s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-15 19:33:21,2019-03-15 19:33:23,2.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Broadcast/button_Delete (1)""))",Chrome 73.0.3683.75,,2019-03-15 19:33:23,2019-03-15 19:33:23,0.080s,PASSED
"click(findTestObject(""Page_KiboPush  Broadcast/click_delete_button""))",Chrome 73.0.3683.75,,2019-03-15 19:33:23,2019-03-15 19:33:23,0.064s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Broadcast/div_Team deleted successfully""))",Chrome 73.0.3683.75,,2019-03-15 19:33:23,2019-03-15 19:33:24,0.565s,PASSED
,,,,,,
Test Cases/Team Testcases/TC0971-SaveButton,Chrome 73.0.3683.75,Test save button in edit screen,2019-03-15 19:33:24,2019-03-15 19:33:25,0.993s,FAILED
"callTestCase(findTestCase(""Team Testcases/TC0971""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:33:24,2019-03-15 19:33:25,0.936s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0971,Chrome 73.0.3683.75,Test edit button in teams list,2019-03-15 19:33:25,2019-03-15 19:35:23,1m - 58.339s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:33:25,2019-03-15 19:35:19,1m - 54.144s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-15 19:35:19,2019-03-15 19:35:21,2.001s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Broadcast/button_Edit""))",Chrome 73.0.3683.75,,2019-03-15 19:35:21,2019-03-15 19:35:21,0.083s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Broadcast/h3_Edit Team""))",Chrome 73.0.3683.75,,2019-03-15 19:35:21,2019-03-15 19:35:21,0.050s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-15 19:35:21,2019-03-15 19:35:23,2.001s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-03-15 19:35:23,2019-03-15 19:35:23,0.001s,PASSED
"input = driver.findElement(By.xpath(""//*[@id=""name""]/input""))",Chrome 73.0.3683.75,,2019-03-15 19:35:23,2019-03-15 19:35:23,0.016s,PASSED
"verifyNotEqual(input.getAttribute(""value""), """")",Chrome 73.0.3683.75,,2019-03-15 19:35:23,2019-03-15 19:35:23,0.011s,PASSED
"textArea = driver.findElement(By.xpath(""//*[@id=""description""]/textarea""))",Chrome 73.0.3683.75,,2019-03-15 19:35:23,2019-03-15 19:35:23,0.013s,PASSED
"verifyNotEqual(textArea.getText(), """")",Chrome 73.0.3683.75,,2019-03-15 19:35:23,2019-03-15 19:35:23,0.016s,PASSED
,,,,,,
Test Cases/Team Testcases/TC0972,Chrome 73.0.3683.75,Test save button in edit screen with empty fields,2019-03-15 19:35:23,2019-03-15 19:35:24,0.769s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/TeamAccount/Team""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:35:23,2019-03-15 19:35:24,0.722s,FAILED
,,,,,,
Test Cases/Team Testcases/TC0973,Chrome 73.0.3683.75,Test cancel button in edit screen,2019-03-15 19:35:24,2019-03-15 19:35:25,0.882s,FAILED
"callTestCase(findTestCase(""Team Testcases/TC0971""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 19:35:24,2019-03-15 19:35:25,0.835s,FAILED
