Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Template,Chrome 73.0.3683.75,,2019-03-25 11:33:18,2019-03-25 13:59:29,2h - 26m - 11.126s,FAILED
,,,,,,
Test Cases/Template testcases/TC0760,Chrome 73.0.3683.75,Test view broadcasts,2019-03-25 11:33:18,2019-03-25 11:34:01,42.794s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Template""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-25 11:33:19,2019-03-25 11:34:01,42.484s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-03-25 11:34:01,2019-03-25 11:34:01,0.005s,PASSED
"rows_table = driver.findElements(By.xpath(""//*[@id=""local_data""]/table/tbody/tr""))",Chrome 73.0.3683.75,,2019-03-25 11:34:01,2019-03-25 11:34:01,0.044s,PASSED
println(rows_table.size()),Chrome 73.0.3683.75,,2019-03-25 11:34:01,2019-03-25 11:34:01,0.003s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.75,,2019-03-25 11:34:01,2019-03-25 11:34:01,0.014s,PASSED
,,,,,,
Test Cases/Template testcases/TC0761,Chrome 73.0.3683.75,Test view surveys,2019-03-25 11:34:01,2019-03-25 11:34:47,45.418s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Template""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-25 11:34:01,2019-03-25 11:34:47,45.232s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-03-25 11:34:47,2019-03-25 11:34:47,0.001s,PASSED
"rows_table = driver.findElements(By.xpath(""//*[@id=""content""]/div/div/div/div[2]/div[3]/div[2]/div[2]/div/div[2]/div[2]/div[2]/table/tbody/tr""))",Chrome 73.0.3683.75,,2019-03-25 11:34:47,2019-03-25 11:34:47,0.019s,PASSED
println(rows_table.size()),Chrome 73.0.3683.75,,2019-03-25 11:34:47,2019-03-25 11:34:47,0.000s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.75,,2019-03-25 11:34:47,2019-03-25 11:34:47,0.001s,PASSED
,,,,,,
Test Cases/Template testcases/TC0762,Chrome 73.0.3683.75,Test view polls,2019-03-25 11:34:47,2019-03-25 11:35:35,48.485s,PASSED
