Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Webview,Chrome 73.0.3683.86,,2019-03-22 09:44:30,2019-03-22 09:52:54,8m - 24.220s,PASSED
,,,,,,
Test Cases/Webview/TC1085,Chrome 73.0.3683.86,Test Adding Webview as Button Option in Broadcast Components,2019-03-22 09:44:30,2019-03-22 09:45:30,1m - 0.163s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Login_Muzamil""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-22 09:44:30,2019-03-22 09:45:07,36.359s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-22 09:45:07,2019-03-22 09:45:09,2.003s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Broadcasting (1)""))",Chrome 73.0.3683.86,,2019-03-22 09:45:09,2019-03-22 09:45:09,0.122s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-03-22 09:45:09,2019-03-22 09:45:10,1.004s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Broadcasts""))",Chrome 73.0.3683.86,,2019-03-22 09:45:10,2019-03-22 09:45:10,0.124s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-03-22 09:45:10,2019-03-22 09:45:11,1.002s,PASSED
"click(findTestObject(""Page_KiboEngage  Broadcast/span_Create New""))",Chrome 73.0.3683.86,,2019-03-22 09:45:11,2019-03-22 09:45:11,0.137s,PASSED
"click(findTestObject(""Page_KiboEngage  Broadcast/button_Create New Broadcast (1)""))",Chrome 73.0.3683.86,,2019-03-22 09:45:11,2019-03-22 09:45:11,0.214s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-03-22 09:45:11,2019-03-22 09:45:12,1.003s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Create Broadcast/div_Text""))",Chrome 73.0.3683.86,,2019-03-22 09:45:12,2019-03-22 09:45:12,0.114s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-03-22 09:45:12,2019-03-22 09:45:13,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Create Broadcast/h6_ Add Button""))",Chrome 73.0.3683.86,,2019-03-22 09:45:13,2019-03-22 09:45:13,0.120s,PASSED
"setText(findTestObject(""Object Repository/Page_KiboEngage  Create Broadcast/input_Button Title_form-control""), ""test"")",Chrome 73.0.3683.86,,2019-03-22 09:45:13,2019-03-22 09:45:14,0.191s,PASSED
