Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
capture,Chrome 73.0.3683.75,,2019-03-25 10:00:23,2019-03-25 10:13:39,13m - 16.357s,ERROR
,,,,,,
Test Cases/Comment Capture TestCases/TC0505,Chrome 73.0.3683.75,Test documentation link,2019-03-25 10:00:23,2019-03-25 10:01:07,43.665s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-25 10:00:24,2019-03-25 10:01:07,43.395s,PASSED
,,,,,,
Test Cases/Comment Capture TestCases/TC0507,Chrome 73.0.3683.75,Test view comment capture,2019-03-25 10:01:07,2019-03-25 10:01:47,39.705s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-25 10:01:07,2019-03-25 10:01:42,34.446s,PASSED
delay(5),Chrome 73.0.3683.75,,2019-03-25 10:01:42,2019-03-25 10:01:47,5.002s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-03-25 10:01:47,2019-03-25 10:01:47,0.031s,PASSED
"Table = driver.findElement(By.xpath(""//table/tbody""))",Chrome 73.0.3683.75,,2019-03-25 10:01:47,2019-03-25 10:01:47,0.026s,PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 73.0.3683.75,,2019-03-25 10:01:47,2019-03-25 10:01:47,0.016s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.75,,2019-03-25 10:01:47,2019-03-25 10:01:47,0.030s,PASSED
,,,,,,
Test Cases/Comment Capture TestCases/TC0508,Chrome 73.0.3683.75,Test search comment capture,2019-03-25 10:01:47,2019-03-25 10:02:19,32.610s,ERROR
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-25 10:01:47,2019-03-25 10:02:15,28.378s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-25 10:02:15,2019-03-25 10:02:17,2.002s,PASSED
"setText(findTestObject(""Object Repository/Page_KiboPush  Comment Capture/input_form-control""), ""hi"")",Chrome 73.0.3683.75,,2019-03-25 10:02:17,2019-03-25 10:02:17,0.104s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-25 10:02:17,2019-03-25 10:02:19,2.003s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-03-25 10:02:19,2019-03-25 10:02:19,0.001s,PASSED
"Table = driver.findElement(By.xpath(""//table/tbody/tr[1]/td[1]/span""))",Chrome 73.0.3683.75,,2019-03-25 10:02:19,2019-03-25 10:02:19,0.034s,ERROR
,,,,,,
Test Cases/Comment Capture TestCases/TC0509,Chrome 73.0.3683.75,Test pagination (next page),2019-03-25 10:02:19,2019-03-25 10:03:03,43.753s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-25 10:02:19,2019-03-25 10:02:56,36.437s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-25 10:02:56,2019-03-25 10:02:58,2.002s,PASSED
