Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
forgotPassword,Chrome 73.0.3683.86,,2019-04-12 15:04:35,2019-04-12 15:05:11,36.101s,FAILED
,,,,,,
Test Cases/Forgot Password TestCases/TC0014,Chrome 73.0.3683.86,Test forgot password by entering right email,2019-04-12 15:04:35,2019-04-12 15:04:52,16.618s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-12 15:04:35,2019-04-12 15:04:36,0.987s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-12 15:04:36,2019-04-12 15:04:36,0.116s,PASSED
"navigateToUrl(""https://skiboengage.cloudkibo.com/"")",Chrome 73.0.3683.86,,2019-04-12 15:04:36,2019-04-12 15:04:47,11.130s,PASSED
"navigateToUrl(""https://saccounts.cloudkibo.com/?continue=https://skiboengage.cloudkibo.com"")",Chrome 73.0.3683.86,,2019-04-12 15:04:47,2019-04-12 15:04:48,0.442s,PASSED
"click(findTestObject(""Object Repository/Page_CloudKibo/a_Login (4) (1)""))",Chrome 73.0.3683.86,,2019-04-12 15:04:48,2019-04-12 15:04:49,0.779s,PASSED
"click(findTestObject(""Page_KiboPush/a_Forgot Password (1) (1)""))",Chrome 73.0.3683.86,,2019-04-12 15:04:49,2019-04-12 15:04:49,0.733s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (14) (2)""), ""muzamil.bukhari.39@gmail.com"")",Chrome 73.0.3683.86,,2019-04-12 15:04:49,2019-04-12 15:04:50,0.128s,PASSED
"click(findTestObject(""Page_KiboPush/button_Request (2) (2)""))",Chrome 73.0.3683.86,,2019-04-12 15:04:50,2019-04-12 15:04:50,0.066s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-04-12 15:04:50,2019-04-12 15:04:52,2.015s,PASSED
"click(findTestObject(""Page_KiboPush/div_Password Reset Link has be (1) (1)""))",Chrome 73.0.3683.86,,2019-04-12 15:04:52,2019-04-12 15:04:52,0.054s,PASSED
,,,,,,
Test Cases/Forgot Password TestCases/TC0015,Chrome 73.0.3683.86,Test forgot password by entering wrong email,2019-04-12 15:04:52,2019-04-12 15:04:52,0.766s,FAILED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-12 15:04:52,2019-04-12 15:04:52,0.418s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-12 15:04:52,2019-04-12 15:04:52,0.264s,FAILED
,,,,,,
Test Cases/Forgot Password TestCases/TC0016,Chrome 73.0.3683.86,Test Cancel button on forgot password,2019-04-12 15:04:52,2019-04-12 15:05:11,18.497s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-12 15:04:52,2019-04-12 15:04:53,0.361s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-12 15:04:53,2019-04-12 15:04:53,0.119s,PASSED
"navigateToUrl(""https://skiboengage.cloudkibo.com/"")",Chrome 73.0.3683.86,,2019-04-12 15:04:53,2019-04-12 15:05:07,13.567s,PASSED
"navigateToUrl(""https://saccounts.cloudkibo.com/?continue=https://skiboengage.cloudkibo.com"")",Chrome 73.0.3683.86,,2019-04-12 15:05:07,2019-04-12 15:05:07,0.450s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (4) (1) (1)""))",Chrome 73.0.3683.86,,2019-04-12 15:05:07,2019-04-12 15:05:08,0.721s,PASSED
"click(findTestObject(""Page_KiboPush/a_Forgot Password (1) (1) (1)""))",Chrome 73.0.3683.86,,2019-04-12 15:05:08,2019-04-12 15:05:08,0.719s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Cancel""))",Chrome 73.0.3683.86,,2019-04-12 15:05:08,2019-04-12 15:05:09,0.434s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-04-12 15:05:09,2019-04-12 15:05:11,2.002s,PASSED
"click(findTestObject(""Page_CloudKibo/h3_Welcome To KiboPush (1)""))",Chrome 73.0.3683.86,,2019-04-12 15:05:11,2019-04-12 15:05:11,0.049s,PASSED
