Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
inviteUsingPhoneNumber,Chrome 73.0.3683.75,,2019-04-10 12:25:29,2019-04-10 12:35:07,9m - 38.115s,FAILED
,,,,,,
Test Cases/Invite Using Phone Number/TC0919,Chrome 73.0.3683.75,Test documentation link,2019-04-10 12:25:29,2019-04-10 12:26:35,1m - 6.603s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-10 12:25:29,2019-04-10 12:26:35,1m - 6.197s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_documentation (3)""))",Chrome 73.0.3683.75,,2019-04-10 12:26:35,2019-04-10 12:26:35,0.149s,PASSED
,,,,,,
Test Cases/Invite Using Phone Number/TC0920,Chrome 73.0.3683.75,Test video tutorial,2019-04-10 12:26:36,2019-04-10 12:27:58,1m - 22.154s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-10 12:26:36,2019-04-10 12:27:57,1m - 20.916s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-10 12:27:57,2019-04-10 12:27:58,1.002s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_video tutorial""))",Chrome 73.0.3683.75,,2019-04-10 12:27:58,2019-04-10 12:27:58,0.098s,PASSED
,,,,,,
Test Cases/Invite Using Phone Number/TC0921,Chrome 73.0.3683.75,Test enter phone number manually,2019-04-10 12:27:58,2019-04-10 12:28:33,35.698s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-10 12:27:58,2019-04-10 12:28:30,32.603s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-10 12:28:30,2019-04-10 12:28:32,2.003s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/button_Enter phone numbers man (3)""))",Chrome 73.0.3683.75,,2019-04-10 12:28:32,2019-04-10 12:28:32,0.079s,PASSED
"setText(findTestObject(""Page_KiboPush  Dashboard/input_form-control m-input m-i (4)""), ""+923340226849"")",Chrome 73.0.3683.75,,2019-04-10 12:28:32,2019-04-10 12:28:33,0.271s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/button_Submit (1)""))",Chrome 73.0.3683.75,,2019-04-10 12:28:33,2019-04-10 12:28:33,0.081s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/div_Contacts were invited to y (1)""))",Chrome 73.0.3683.75,,2019-04-10 12:28:33,2019-04-10 12:28:33,0.582s,PASSED
,,,,,,
Test Cases/Invite Using Phone Number/TC0926,Chrome 73.0.3683.75,Test submit with empty inviation message,2019-04-10 12:28:33,2019-04-10 12:29:19,45.245s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-10 12:28:33,2019-04-10 12:29:16,42.673s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-10 12:29:16,2019-04-10 12:29:17,1.001s,PASSED
