Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
menu,Chrome 73.0.3683.75,,2019-03-15 20:16:48,2019-03-15 21:04:37,47m - 49.345s,FAILED
,,,,,,
Test Cases/Persistent Menu/TC0533,Chrome 73.0.3683.75,Test documentation link,2019-03-15 20:16:48,2019-03-15 20:18:53,2m - 4.682s,FAILED
"callTestCase(findTestCase(""Persistent Menu/Go_to_menu_item""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 20:16:48,2019-03-15 20:18:53,2m - 4.469s,FAILED
,,,,,,
Test Cases/Persistent Menu/TC0534,Chrome 73.0.3683.75,Test video tutorial,2019-03-15 20:18:53,2019-03-15 20:21:07,2m - 13.957s,FAILED
"callTestCase(findTestCase(""Persistent Menu/Go_to_menu_item""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 20:18:53,2019-03-15 20:21:07,2m - 13.859s,FAILED
,,,,,,
Test Cases/Persistent Menu/TC0535,Chrome 73.0.3683.75,Set up main menu item 1 (Change title),2019-03-15 20:21:07,2019-03-15 20:24:30,3m - 23.199s,FAILED
"callTestCase(findTestCase(""Persistent Menu/open_popover""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 20:21:07,2019-03-15 20:24:30,3m - 23.130s,FAILED
,,,,,,
Test Cases/Persistent Menu/TC0536,Chrome 73.0.3683.75,Set up main menu item 1 (Open submenu),2019-03-15 20:24:30,2019-03-15 20:27:11,2m - 41.288s,FAILED
"callTestCase(findTestCase(""Persistent Menu/TC0535""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 20:24:30,2019-03-15 20:27:11,2m - 41.219s,FAILED
,,,,,,
Test Cases/Persistent Menu/TC0537,Chrome 73.0.3683.75,Set up main menu item 1 (Go to create message),2019-03-15 20:27:11,2019-03-15 20:29:39,2m - 27.355s,FAILED
"callTestCase(findTestCase(""Persistent Menu/open_popover""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 20:27:11,2019-03-15 20:29:39,2m - 27.305s,FAILED
