Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
operationalDashboard,Chrome 73.0.3683.103,,2019-04-23 13:32:30,2019-04-23 13:47:12,14m - 42.316s,FAILED
,,,,,,
Test Cases/Operational_Dashboard/115,Chrome 73.0.3683.103,,2019-04-23 13:32:31,2019-04-23 13:32:39,7.679s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-23 13:32:33,2019-04-23 13:32:38,5.492s,FAILED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/arveen_production_login_kiboengage,Chrome 73.0.3683.103,,2019-04-23 13:32:39,2019-04-23 13:33:52,1m - 13.075s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-23 13:32:39,2019-04-23 13:32:53,13.952s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-04-23 13:32:53,2019-04-23 13:32:55,1.799s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-23 13:32:55,2019-04-23 13:33:17,22.019s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-23 13:33:17,2019-04-23 13:33:20,2.250s,PASSED
click,Chrome 73.0.3683.103,,2019-04-23 13:33:20,2019-04-23 13:33:21,1.648s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-23 13:33:21,2019-04-23 13:33:22,0.925s,PASSED
setEncryptedText,Chrome 73.0.3683.103,,2019-04-23 13:33:22,2019-04-23 13:33:23,0.622s,PASSED
click,Chrome 73.0.3683.103,,2019-04-23 13:33:23,2019-04-23 13:33:23,0.249s,PASSED
click,Chrome 73.0.3683.103,,2019-04-23 13:33:23,2019-04-23 13:33:45,22.022s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-23 13:33:45,2019-04-23 13:33:47,2.413s,PASSED
click,Chrome 73.0.3683.103,,2019-04-23 13:33:47,2019-04-23 13:33:48,0.627s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-23 13:33:48,2019-04-23 13:33:50,1.615s,PASSED
click,Chrome 73.0.3683.103,,2019-04-23 13:33:50,2019-04-23 13:33:50,0.361s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-23 13:33:50,2019-04-23 13:33:52,1.590s,PASSED
,,,,,,
Test Cases/Operational_Dashboard/116,Chrome 73.0.3683.103,,2019-04-23 13:33:52,2019-04-23 13:33:57,5.041s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-23 13:33:53,2019-04-23 13:33:55,2.856s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 73.0.3683.103,,2019-04-23 13:33:55,2019-04-23 13:33:55,0.008s,PASSED
"Statement - subscriber1 = driver.findElement(org.openqa.selenium.By.xpath(""//*[@id=""m_widget5_tab1_content""]/div/div[1]/div[1]/div/div[3]/span[1]""))",Chrome 73.0.3683.103,,2019-04-23 13:33:55,2019-04-23 13:33:55,0.073s,PASSED
