Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
poll,Chrome 73.0.3683.86,,2019-03-25 15:19:53,2019-03-25 15:24:20,4m - 26.939s,FAILED
,,,,,,
Test Cases/Poll Test Cases/TC0258,Chrome 73.0.3683.86,Test documentation link,2019-03-25 15:19:53,2019-03-25 15:20:29,35.946s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Polls""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:19:53,2019-03-25 15:20:29,35.646s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_documentation (2) (1)""))",Chrome 73.0.3683.86,,2019-03-25 15:20:29,2019-03-25 15:20:29,0.140s,PASSED
,,,,,,
Test Cases/Poll Test Cases/TC0259,Chrome 73.0.3683.86,Test video tutorial,2019-03-25 15:20:29,2019-03-25 15:20:30,0.915s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Polls""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:20:29,2019-03-25 15:20:30,0.822s,FAILED
,,,,,,
Test Cases/Poll Test Cases/TC0260,Chrome 73.0.3683.86,Test view poll,2019-03-25 15:20:30,2019-03-25 15:20:31,0.899s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Polls""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:20:30,2019-03-25 15:20:31,0.827s,FAILED
,,,,,,
Test Cases/Poll Test Cases/TC0261,Chrome 73.0.3683.86,Test filter by n days,2019-03-25 15:20:31,2019-03-25 15:20:32,0.973s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Polls""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:20:31,2019-03-25 15:20:32,0.903s,FAILED
,,,,,,
Test Cases/Poll Test Cases/TC0262,Chrome 73.0.3683.86,Test pagination (next page),2019-03-25 15:20:32,2019-03-25 15:20:33,0.963s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Polls""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:20:32,2019-03-25 15:20:33,0.849s,FAILED
,,,,,,
Test Cases/Poll Test Cases/TC0263,Chrome 73.0.3683.86,Test pagination (previous page),2019-03-25 15:20:33,2019-03-25 15:20:34,0.948s,FAILED
