Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
segmentSubscriber,Chrome 73.0.3683.86,,2019-03-25 15:38:39,2019-03-25 16:20:58,42m - 18.180s,FAILED
,,,,,,
Test Cases/Segment subscribers/TC0706,Chrome 73.0.3683.86,Test documentation link,2019-03-25 15:38:40,2019-03-25 15:39:33,53.568s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Segment subsciber""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:38:40,2019-03-25 15:39:17,37.132s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:39:17,2019-03-25 15:39:19,2.003s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Segmented Lists/a_Click Here""))",Chrome 73.0.3683.86,,2019-03-25 15:39:19,2019-03-25 15:39:19,0.202s,PASSED
"switchToWindowTitle(""Segmented Subscribers – The Marketing Newsletter"")",Chrome 73.0.3683.86,,2019-03-25 15:39:19,2019-03-25 15:39:31,11.679s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:39:31,2019-03-25 15:39:33,2.008s,PASSED
"click(findTestObject(""Object Repository/Page_Segmented Subscribers  The Marketing Newsletter/h2_User Guide""))",Chrome 73.0.3683.86,,2019-03-25 15:39:33,2019-03-25 15:39:33,0.100s,PASSED
"click(findTestObject(""Object Repository/Page_Segmented Subscribers  The Marketing Newsletter/h2_Segmented Subscribers""))",Chrome 73.0.3683.86,,2019-03-25 15:39:33,2019-03-25 15:39:33,0.056s,PASSED
,,,,,,
Test Cases/Segment subscribers/TC0707,Chrome 73.0.3683.86,Test video tutorial,2019-03-25 15:39:33,2019-03-25 15:40:16,43.084s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Segment subsciber""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:39:33,2019-03-25 15:40:12,38.772s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:40:12,2019-03-25 15:40:14,2.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Segmented Lists/a_video tutorial""))",Chrome 73.0.3683.86,,2019-03-25 15:40:14,2019-03-25 15:40:14,0.216s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:40:14,2019-03-25 15:40:16,2.002s,PASSED
,,,,,,
Test Cases/Segment subscribers/TC0708,Chrome 73.0.3683.86,View all segmented lists,2019-03-25 15:40:16,2019-03-25 15:40:52,35.766s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Segment subsciber""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:40:17,2019-03-25 15:40:50,33.072s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:40:50,2019-03-25 15:40:52,2.003s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.86,,2019-03-25 15:40:52,2019-03-25 15:40:52,0.005s,PASSED
"rows_table = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 73.0.3683.86,,2019-03-25 15:40:52,2019-03-25 15:40:52,0.085s,PASSED
println(rows_table.size()),Chrome 73.0.3683.86,,2019-03-25 15:40:52,2019-03-25 15:40:52,0.033s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.86,,2019-03-25 15:40:52,2019-03-25 15:40:52,0.076s,PASSED
,,,,,,
Test Cases/Segment subscribers/TC0709,Chrome 73.0.3683.86,Test pagination (next page),2019-03-25 15:40:52,2019-03-25 15:41:42,49.684s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Segment subsciber""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:40:52,2019-03-25 15:41:38,45.335s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:41:38,2019-03-25 15:41:40,2.002s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_next""))",Chrome 73.0.3683.86,,2019-03-25 15:41:40,2019-03-25 15:41:40,0.165s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:41:40,2019-03-25 15:41:42,2.004s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.86,,2019-03-25 15:41:42,2019-03-25 15:41:42,0.000s,PASSED
"rows_table = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 73.0.3683.86,,2019-03-25 15:41:42,2019-03-25 15:41:42,0.016s,PASSED
println(rows_table.size()),Chrome 73.0.3683.86,,2019-03-25 15:41:42,2019-03-25 15:41:42,0.000s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.86,,2019-03-25 15:41:42,2019-03-25 15:41:42,0.001s,PASSED
,,,,,,
Test Cases/Segment subscribers/TC0710,Chrome 73.0.3683.86,Test pagination (previous page),2019-03-25 15:41:42,2019-03-25 15:42:26,44.232s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Segment subsciber""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:41:42,2019-03-25 15:42:20,37.824s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:42:20,2019-03-25 15:42:22,2.005s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_next""))",Chrome 73.0.3683.86,,2019-03-25 15:42:22,2019-03-25 15:42:22,0.137s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:42:22,2019-03-25 15:42:24,2.002s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_previous""))",Chrome 73.0.3683.86,,2019-03-25 15:42:24,2019-03-25 15:42:24,0.155s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:42:24,2019-03-25 15:42:26,2.002s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.86,,2019-03-25 15:42:26,2019-03-25 15:42:26,0.001s,PASSED
"rows_table = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 73.0.3683.86,,2019-03-25 15:42:26,2019-03-25 15:42:26,0.021s,PASSED
println(rows_table.size()),Chrome 73.0.3683.86,,2019-03-25 15:42:26,2019-03-25 15:42:26,0.001s,PASSED
"verifyEqual(rows_table.size(), 10)",Chrome 73.0.3683.86,,2019-03-25 15:42:26,2019-03-25 15:42:26,0.005s,PASSED
,,,,,,
Test Cases/Segment subscribers/TC0711,Chrome 73.0.3683.86,Test pagination (Jump to page n),2019-03-25 15:42:26,2019-03-25 15:43:17,51.221s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Segment subsciber""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:42:26,2019-03-25 15:43:13,46.868s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:43:13,2019-03-25 15:43:15,2.004s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_2""))",Chrome 73.0.3683.86,,2019-03-25 15:43:15,2019-03-25 15:43:15,0.193s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:43:15,2019-03-25 15:43:17,2.002s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.86,,2019-03-25 15:43:17,2019-03-25 15:43:17,0.000s,PASSED
"rows_table = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 73.0.3683.86,,2019-03-25 15:43:17,2019-03-25 15:43:17,0.019s,PASSED
println(rows_table.size()),Chrome 73.0.3683.86,,2019-03-25 15:43:17,2019-03-25 15:43:17,0.001s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.86,,2019-03-25 15:43:17,2019-03-25 15:43:17,0.001s,PASSED
,,,,,,
Test Cases/Segment subscribers/TC0712,Chrome 73.0.3683.86,Test create segmented subscribers list button,2019-03-25 15:43:17,2019-03-25 15:43:55,37.321s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Segment subsciber""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:43:17,2019-03-25 15:43:52,34.822s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:43:52,2019-03-25 15:43:54,2.002s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_Create Segmented Subscribers""))",Chrome 73.0.3683.86,,2019-03-25 15:43:54,2019-03-25 15:43:55,0.345s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Create SubList of Subscribe""))",Chrome 73.0.3683.86,,2019-03-25 15:43:55,2019-03-25 15:43:55,0.087s,PASSED
,,,,,,
Test Cases/Segment subscribers/TC0713,Chrome 73.0.3683.86,Test create list with empty fields,2019-03-25 15:43:55,2019-03-25 15:44:35,39.806s,PASSED
"callTestCase(findTestCase(""Segment subscribers/TC0712""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:43:55,2019-03-25 15:44:34,39.290s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/button_Save""))",Chrome 73.0.3683.86,,2019-03-25 15:44:34,2019-03-25 15:44:34,0.241s,PASSED
"scrollToPosition(0, 0)",Chrome 73.0.3683.86,,2019-03-25 15:44:34,2019-03-25 15:44:34,0.039s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Please select an option""))",Chrome 73.0.3683.86,,2019-03-25 15:44:34,2019-03-25 15:44:35,0.160s,PASSED
,,,,,,
Test Cases/Segment subscribers/TC0714,Chrome 73.0.3683.86,Test create list without name and conditions,2019-03-25 15:44:35,2019-03-25 15:45:23,48.305s,PASSED
"callTestCase(findTestCase(""Segment subscribers/TC0712""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:44:35,2019-03-25 15:45:22,47.362s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/h3_Create SubList of Subscribe (1)""))",Chrome 73.0.3683.86,,2019-03-25 15:45:22,2019-03-25 15:45:22,0.122s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/input_segmentationType""))",Chrome 73.0.3683.86,,2019-03-25 15:45:22,2019-03-25 15:45:22,0.217s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/button_Save (1)""))",Chrome 73.0.3683.86,,2019-03-25 15:45:22,2019-03-25 15:45:23,0.223s,PASSED
"scrollToPosition(0, 0)",Chrome 73.0.3683.86,,2019-03-25 15:45:23,2019-03-25 15:45:23,0.036s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Please enter name for the""))",Chrome 73.0.3683.86,,2019-03-25 15:45:23,2019-03-25 15:45:23,0.143s,PASSED
,,,,,,
Test Cases/Segment subscribers/TC0715,Chrome 73.0.3683.86,Test create list without any conditions,2019-03-25 15:45:23,2019-03-25 15:46:15,51.899s,PASSED
"callTestCase(findTestCase(""Segment subscribers/TC0712""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:45:23,2019-03-25 15:46:14,50.985s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/h3_Create SubList of Subscribe (2)""))",Chrome 73.0.3683.86,,2019-03-25 15:46:14,2019-03-25 15:46:14,0.124s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/input_segmentationType (1)""))",Chrome 73.0.3683.86,,2019-03-25 15:46:14,2019-03-25 15:46:14,0.126s,PASSED
"setText(findTestObject(""Object Repository/Page_KiboPush  Dashboard/input_listName""), ""15"")",Chrome 73.0.3683.86,,2019-03-25 15:46:14,2019-03-25 15:46:14,0.242s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/button_Save (2)""))",Chrome 73.0.3683.86,,2019-03-25 15:46:14,2019-03-25 15:46:15,0.148s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Please choose a valid con""))",Chrome 73.0.3683.86,,2019-03-25 15:46:15,2019-03-25 15:46:15,0.157s,PASSED
,,,,,,
Test Cases/Segment subscribers/TC0716-begin,Chrome 73.0.3683.86,Test create list with condition firstname begins with,2019-03-25 15:46:15,2019-03-25 15:47:12,56.974s,PASSED
"callTestCase(findTestCase(""Segment subscribers/TC0712""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:46:15,2019-03-25 15:47:08,52.862s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-03-25 15:47:08,2019-03-25 15:47:10,2.001s,PASSED
