Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
seq_message,Chrome 73.0.3683.103,,2019-04-22 13:19:13,2019-04-22 13:29:36,10m - 22.671s,FAILED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/arveen_production_login_kiboengage,Chrome 73.0.3683.103,,2019-04-22 13:19:15,2019-04-22 13:20:18,1m - 3.147s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-22 13:19:18,2019-04-22 13:19:25,6.927s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-04-22 13:19:25,2019-04-22 13:19:26,1.449s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-22 13:19:26,2019-04-22 13:19:38,11.616s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-22 13:19:38,2019-04-22 13:19:39,1.158s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:19:39,2019-04-22 13:19:41,1.485s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-22 13:19:41,2019-04-22 13:19:41,0.552s,PASSED
setEncryptedText,Chrome 73.0.3683.103,,2019-04-22 13:19:41,2019-04-22 13:19:42,0.589s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:19:42,2019-04-22 13:19:42,0.139s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:19:42,2019-04-22 13:20:10,28.636s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:20:10,2019-04-22 13:20:14,3.074s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:20:14,2019-04-22 13:20:14,0.445s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:20:14,2019-04-22 13:20:16,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:20:16,2019-04-22 13:20:16,0.423s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:20:16,2019-04-22 13:20:18,2.018s,PASSED
,,,,,,
Test Cases/Sequence Messaging/open_automation,Chrome 73.0.3683.103,,2019-04-22 13:20:18,2019-04-22 13:20:21,2.287s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:20:19,2019-04-22 13:20:20,0.679s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:20:20,2019-04-22 13:20:21,1.012s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC0980,Chrome 73.0.3683.103,Test View Sequences,2019-04-22 13:20:21,2019-04-22 13:20:30,9.479s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:20:21,2019-04-22 13:20:26,4.930s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:20:26,2019-04-22 13:20:30,4.003s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC0981,Chrome 73.0.3683.103,Search Sequences,2019-04-22 13:20:30,2019-04-22 13:20:42,11.983s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:20:30,2019-04-22 13:20:39,8.470s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-22 13:20:39,2019-04-22 13:20:39,0.300s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:20:39,2019-04-22 13:20:42,3.004s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC0982,Chrome 73.0.3683.103,Test Create Sequence Button,2019-04-22 13:20:42,2019-04-22 13:20:54,12.130s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:20:42,2019-04-22 13:20:50,7.575s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:20:50,2019-04-22 13:20:52,2.005s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:20:52,2019-04-22 13:20:52,0.366s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:20:52,2019-04-22 13:20:54,2.002s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC0983,Chrome 73.0.3683.103,Create Sequence,2019-04-22 13:20:54,2019-04-22 13:21:16,21.593s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:20:55,2019-04-22 13:21:07,12.003s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-22 13:21:07,2019-04-22 13:21:07,0.567s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:21:07,2019-04-22 13:21:09,2.008s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:21:09,2019-04-22 13:21:10,0.485s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:21:10,2019-04-22 13:21:12,2.005s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:21:12,2019-04-22 13:21:12,0.181s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:21:12,2019-04-22 13:21:14,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:21:14,2019-04-22 13:21:14,0.091s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:21:14,2019-04-22 13:21:16,2.001s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC0984,Chrome 73.0.3683.103,Edit Sequence,2019-04-22 13:21:16,2019-04-22 13:22:06,49.721s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:21:16,2019-04-22 13:21:23,7.186s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:21:23,2019-04-22 13:21:25,2.005s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:21:25,2019-04-22 13:21:26,0.476s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:21:26,2019-04-22 13:21:27,0.726s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:21:27,2019-04-22 13:21:29,2.021s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:21:29,2019-04-22 13:21:29,0.345s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-22 13:21:29,2019-04-22 13:21:30,1.200s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:21:30,2019-04-22 13:21:32,2.041s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:21:32,2019-04-22 13:22:06,33.368s,FAILED
,,,,,,
Test Cases/Sequence Messaging/TC0985,Chrome 73.0.3683.103,Edit Sequence,2019-04-22 13:22:06,2019-04-22 13:22:58,52.676s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:22:07,2019-04-22 13:22:58,51.203s,FAILED
,,,,,,
Test Cases/Sequence Messaging/TC0986,Chrome 73.0.3683.103,,2019-04-22 13:22:58,2019-04-22 13:23:18,19.228s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:23:00,2019-04-22 13:23:09,9.288s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:23:09,2019-04-22 13:23:10,0.522s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:23:10,2019-04-22 13:23:12,2.048s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:23:12,2019-04-22 13:23:12,0.391s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:23:12,2019-04-22 13:23:13,0.741s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:23:13,2019-04-22 13:23:17,4.013s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:23:17,2019-04-22 13:23:18,0.803s,FAILED
,,,,,,
Test Cases/Sequence Messaging/TC0987,Chrome 73.0.3683.103,Update Sequence Trigger,2019-04-22 13:23:18,2019-04-22 13:23:30,11.946s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:23:18,2019-04-22 13:23:27,8.624s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:23:27,2019-04-22 13:23:28,1.033s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:23:28,2019-04-22 13:23:29,0.874s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:23:29,2019-04-22 13:23:30,0.626s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC0990,Chrome 73.0.3683.103,Update Schedule of Sequence Mesage,2019-04-22 13:23:30,2019-04-22 13:23:45,15.768s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:23:30,2019-04-22 13:23:42,11.624s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:23:42,2019-04-22 13:23:42,0.397s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:23:42,2019-04-22 13:23:44,2.007s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:23:44,2019-04-22 13:23:45,0.506s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:23:45,2019-04-22 13:23:45,0.599s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC1001,Chrome 73.0.3683.103,Update Message Trigger,2019-04-22 13:23:46,2019-04-22 13:24:04,17.897s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:23:46,2019-04-22 13:24:04,17.629s,FAILED
,,,,,,
Test Cases/Sequence Messaging/TC1002,Chrome 73.0.3683.103,Update Message Segmentation,2019-04-22 13:24:04,2019-04-22 13:24:21,17.431s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:24:05,2019-04-22 13:24:17,11.673s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:24:17,2019-04-22 13:24:19,2.029s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:24:19,2019-04-22 13:24:19,0.350s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:24:19,2019-04-22 13:24:21,2.048s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC1003,Chrome 73.0.3683.103,,2019-04-22 13:24:21,2019-04-22 13:24:43,21.579s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:24:21,2019-04-22 13:24:37,15.747s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:24:37,2019-04-22 13:24:38,0.997s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:24:38,2019-04-22 13:24:39,0.933s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-22 13:24:39,2019-04-22 13:24:40,1.134s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:24:40,2019-04-22 13:24:42,2.011s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:24:42,2019-04-22 13:24:43,0.416s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC1004,Chrome 73.0.3683.103,Update Message Segmentation- Page,2019-04-22 13:24:43,2019-04-22 13:25:02,19.320s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:24:43,2019-04-22 13:25:00,16.722s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:25:00,2019-04-22 13:25:01,1.187s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:25:01,2019-04-22 13:25:01,0.373s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:25:01,2019-04-22 13:25:02,0.479s,FAILED
,,,,,,
Test Cases/Sequence Messaging/TC1005,Chrome 73.0.3683.103,Update Message Segmentation- Gender,2019-04-22 13:25:02,2019-04-22 13:25:24,22.255s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:25:03,2019-04-22 13:25:19,16.606s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:25:19,2019-04-22 13:25:20,0.920s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:25:20,2019-04-22 13:25:21,0.971s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:25:21,2019-04-22 13:25:23,2.007s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:25:23,2019-04-22 13:25:24,0.961s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC1006,Chrome 73.0.3683.103,Update Message Segmentation- Locale,2019-04-22 13:25:24,2019-04-22 13:25:44,19.776s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:25:25,2019-04-22 13:25:42,16.537s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:25:42,2019-04-22 13:25:43,1.323s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:25:43,2019-04-22 13:25:44,0.595s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:25:44,2019-04-22 13:25:44,0.539s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC1007,Chrome 73.0.3683.103,Update Message Segmentation- Tag,2019-04-22 13:25:44,2019-04-22 13:26:35,50.542s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:25:45,2019-04-22 13:26:01,16.393s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:26:01,2019-04-22 13:26:01,0.538s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:26:01,2019-04-22 13:26:35,33.112s,FAILED
,,,,,,
Test Cases/Sequence Messaging/TC1008,Chrome 73.0.3683.103,Update Message Segmentation- Subscribed on,2019-04-22 13:26:35,2019-04-22 13:26:55,20.141s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:26:35,2019-04-22 13:26:51,15.907s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:26:51,2019-04-22 13:26:51,0.652s,PASSED
selectOptionByValue,Chrome 73.0.3683.103,,2019-04-22 13:26:51,2019-04-22 13:26:52,0.639s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:26:52,2019-04-22 13:26:54,2.005s,PASSED
doubleClick,Chrome 73.0.3683.103,,2019-04-22 13:26:54,2019-04-22 13:26:54,0.459s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:26:54,2019-04-22 13:26:55,0.311s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC1009,Chrome 73.0.3683.103,Update Message Segmentation- Validation,2019-04-22 13:26:55,2019-04-22 13:27:11,16.290s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:26:55,2019-04-22 13:27:11,15.297s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:27:11,2019-04-22 13:27:11,0.247s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:27:11,2019-04-22 13:27:11,0.330s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC1011,Chrome 73.0.3683.103,Add message with a button in the message,2019-04-22 13:27:11,2019-04-22 13:27:43,32.324s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-22 13:27:12,2019-04-22 13:27:20,8.088s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:27:20,2019-04-22 13:27:20,0.507s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:27:20,2019-04-22 13:27:22,2.000s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:27:22,2019-04-22 13:27:22,0.228s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:27:22,2019-04-22 13:27:23,0.576s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:27:23,2019-04-22 13:27:27,4.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:27:27,2019-04-22 13:27:27,0.252s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:27:27,2019-04-22 13:27:29,2.006s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:27:29,2019-04-22 13:27:30,0.363s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:27:30,2019-04-22 13:27:33,3.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:27:33,2019-04-22 13:27:33,0.391s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:27:33,2019-04-22 13:27:35,2.002s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-22 13:27:35,2019-04-22 13:27:35,0.343s,PASSED
scrollToElement,Chrome 73.0.3683.103,,2019-04-22 13:27:35,2019-04-22 13:27:36,0.126s,PASSED
click,Chrome 73.0.3683.103,,2019-04-22 13:27:36,2019-04-22 13:27:36,0.387s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 13:27:36,2019-04-22 13:27:39,3.001s,PASSED
