Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
smart replies,Chrome 73.0.3683.103,,2019-04-25 11:36:54,2019-04-25 11:45:18,8m - 24.851s,FAILED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/arveen_production_login_kibochat,Chrome 73.0.3683.103,,2019-04-25 11:36:55,2019-04-25 11:38:12,1m - 17.364s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-25 11:36:57,2019-04-25 11:37:03,6.747s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-04-25 11:37:03,2019-04-25 11:37:05,1.395s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 11:37:05,2019-04-25 11:37:27,22.170s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 11:37:27,2019-04-25 11:37:28,1.423s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 11:37:28,2019-04-25 11:37:30,1.261s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 11:37:30,2019-04-25 11:37:30,0.721s,PASSED
setEncryptedText,Chrome 73.0.3683.103,,2019-04-25 11:37:30,2019-04-25 11:37:31,0.315s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 11:37:31,2019-04-25 11:37:31,0.148s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 11:37:31,2019-04-25 11:38:04,33.668s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 11:38:04,2019-04-25 11:38:08,3.057s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 11:38:08,2019-04-25 11:38:08,0.501s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 11:38:08,2019-04-25 11:38:10,2.006s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 11:38:10,2019-04-25 11:38:10,0.255s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 11:38:10,2019-04-25 11:38:12,2.018s,PASSED
,,,,,,
Test Cases/Smart Replies/open_automation,Chrome 73.0.3683.103,,2019-04-25 11:38:12,2019-04-25 11:38:15,2.516s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 11:38:13,2019-04-25 11:38:14,1.040s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 11:38:14,2019-04-25 11:38:15,1.009s,PASSED
,,,,,,
Test Cases/Smart Replies/TC0618,Chrome 73.0.3683.103,Create Bot Button Test,2019-04-25 11:38:15,2019-04-25 11:38:25,10.323s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 11:38:15,2019-04-25 11:38:21,5.753s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 11:38:21,2019-04-25 11:38:24,3.005s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 11:38:24,2019-04-25 11:38:24,0.268s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 11:38:24,2019-04-25 11:38:25,1.003s,PASSED
,,,,,,
Test Cases/Smart Replies/TC0619,Chrome 73.0.3683.103,Test Bot Creation,2019-04-25 11:38:25,2019-04-25 11:38:36,11.238s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 11:38:25,2019-04-25 11:38:35,9.732s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 11:38:35,2019-04-25 11:38:36,0.520s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 11:38:36,2019-04-25 11:38:36,0.355s,PASSED
scrollToPosition,Chrome 73.0.3683.103,,2019-04-25 11:38:36,2019-04-25 11:38:36,0.164s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 11:38:36,2019-04-25 11:38:36,0.228s,PASSED
,,,,,,
Test Cases/Smart Replies/TC0621,Chrome 73.0.3683.103,Test Add Question Functionality,2019-04-25 11:38:36,2019-04-25 11:38:48,11.773s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 11:38:37,2019-04-25 11:38:48,11.565s,FAILED
,,,,,,
Test Cases/Smart Replies/TC0622,Chrome 73.0.3683.103,Test Add More Button,2019-04-25 11:38:48,2019-04-25 11:39:15,26.812s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 11:38:48,2019-04-25 11:39:13,24.475s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 11:39:13,2019-04-25 11:39:13,0.172s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 11:39:13,2019-04-25 11:39:15,2.004s,PASSED
,,,,,,
Test Cases/Smart Replies/TC0622_n,Chrome 73.0.3683.103,Test Add Question Button,2019-04-25 11:39:15,2019-04-25 11:39:41,26.268s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 11:39:15,2019-04-25 11:39:27,11.901s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 11:39:27,2019-04-25 11:39:28,0.596s,PASSED
