Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
subscriber,Chrome 73.0.3683.103,,2019-04-25 10:26:46,2019-04-25 10:32:34,5m - 48.068s,FAILED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/arveen_production_login_kiboengage,Chrome 73.0.3683.103,,2019-04-25 10:26:47,2019-04-25 10:27:38,51.136s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-25 10:26:48,2019-04-25 10:26:54,6.018s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-04-25 10:26:54,2019-04-25 10:26:56,1.351s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 10:26:56,2019-04-25 10:27:11,15.731s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 10:27:11,2019-04-25 10:27:13,1.048s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 10:27:13,2019-04-25 10:27:14,1.234s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 10:27:14,2019-04-25 10:27:14,0.445s,PASSED
setEncryptedText,Chrome 73.0.3683.103,,2019-04-25 10:27:14,2019-04-25 10:27:15,0.364s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 10:27:15,2019-04-25 10:27:15,0.116s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 10:27:15,2019-04-25 10:27:31,16.124s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 10:27:31,2019-04-25 10:27:34,3.067s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 10:27:34,2019-04-25 10:27:34,0.264s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 10:27:34,2019-04-25 10:27:36,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 10:27:36,2019-04-25 10:27:36,0.285s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 10:27:36,2019-04-25 10:27:38,2.019s,PASSED
,,,,,,
Test Cases/Subscriber TestCases/TC0649,Chrome 73.0.3683.103,Test documentation link,2019-04-25 10:27:38,2019-04-25 10:27:45,6.722s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 10:27:39,2019-04-25 10:27:43,3.620s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 10:27:43,2019-04-25 10:27:45,2.007s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 10:27:45,2019-04-25 10:27:45,0.382s,PASSED
,,,,,,
Test Cases/Subscriber TestCases/TC0650,Chrome 73.0.3683.103,Test view all subscribers,2019-04-25 10:27:45,2019-04-25 10:28:00,15.032s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 10:27:46,2019-04-25 10:27:55,9.401s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 10:27:55,2019-04-25 10:28:00,5.004s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 73.0.3683.103,,2019-04-25 10:28:00,2019-04-25 10:28:00,0.011s,PASSED
"Statement - Table = driver.findElement(org.openqa.selenium.By.xpath(""//table/tbody""))",Chrome 73.0.3683.103,,2019-04-25 10:28:00,2019-04-25 10:28:00,0.107s,PASSED
"Statement - rows_table = Table.findElements(org.openqa.selenium.By.tagName(""tr""))",Chrome 73.0.3683.103,,2019-04-25 10:28:00,2019-04-25 10:28:00,0.058s,PASSED
Statement - size = rows_table.size(),Chrome 73.0.3683.103,,2019-04-25 10:28:00,2019-04-25 10:28:00,0.001s,PASSED
verifyGreaterThanOrEqual,Chrome 73.0.3683.103,,2019-04-25 10:28:00,2019-04-25 10:28:00,0.025s,PASSED
,,,,,,
Test Cases/Subscriber TestCases/TC0651,Chrome 73.0.3683.103,Test pagination (next page),2019-04-25 10:28:00,2019-04-25 10:28:14,13.451s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 10:28:01,2019-04-25 10:28:04,3.633s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 10:28:04,2019-04-25 10:28:07,3.005s,PASSED
