Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
survey,Chrome 73.0.3683.75,,2019-03-14 18:18:13,2019-03-14 18:47:00,28m - 46.638s,ERROR
,,,,,,
Test Cases/Survey Test Cases/TC0205,Chrome 73.0.3683.75,Test documentation link,2019-03-14 18:18:13,2019-03-14 18:18:47,33.996s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/survey""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-14 18:18:13,2019-03-14 18:18:47,33.652s,PASSED
"click(findTestObject(""Page_KiboPush  Survey/a_documentation""))",Chrome 73.0.3683.75,,2019-03-14 18:18:47,2019-03-14 18:18:47,0.106s,PASSED
,,,,,,
Test Cases/Survey Test Cases/TC0206,Chrome 73.0.3683.75,Test video tutorial,2019-03-14 18:18:47,2019-03-14 18:19:18,31.310s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/survey""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-14 18:18:47,2019-03-14 18:19:18,31.108s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Survey/a_video tutorial""))",Chrome 73.0.3683.75,,2019-03-14 18:19:18,2019-03-14 18:19:18,0.109s,PASSED
,,,,,,
Test Cases/Survey Test Cases/TC0207,Chrome 73.0.3683.75,Test view survey,2019-03-14 18:19:18,2019-03-14 18:19:55,36.860s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/survey""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-14 18:19:18,2019-03-14 18:19:54,35.630s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-03-14 18:19:54,2019-03-14 18:19:55,1.002s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-03-14 18:19:55,2019-03-14 18:19:55,0.006s,PASSED
"Table = driver.findElement(By.xpath(""//table/tbody""))",Chrome 73.0.3683.75,,2019-03-14 18:19:55,2019-03-14 18:19:55,0.024s,PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 73.0.3683.75,,2019-03-14 18:19:55,2019-03-14 18:19:55,0.019s,PASSED
rows_count = rows_table.size(),Chrome 73.0.3683.75,,2019-03-14 18:19:55,2019-03-14 18:19:55,0.001s,PASSED
"verifyGreaterThanOrEqual(rows_count, 1)",Chrome 73.0.3683.75,,2019-03-14 18:19:55,2019-03-14 18:19:55,0.005s,PASSED
