Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
wizard,Chrome 73.0.3683.86,,2019-03-25 15:24:22,2019-03-25 15:26:35,2m - 13.183s,FAILED
,,,,,,
Test Cases/wizard TestCases/TC0028,Chrome 73.0.3683.86,Share page link,2019-03-25 15:24:22,2019-03-25 15:25:08,46.179s,PASSED
"callTestCase(findTestCase(""wizard TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:24:22,2019-03-25 15:25:03,41.307s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_cloudkibo (3)""))",Chrome 73.0.3683.86,,2019-03-25 15:25:03,2019-03-25 15:25:03,0.147s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Setup Using Wizard (4) (1)""))",Chrome 73.0.3683.86,,2019-03-25 15:25:03,2019-03-25 15:25:04,0.154s,PASSED
"click(findTestObject(""Page_KiboPush  Add Pages/a_Continue (2) (1) (2)""))",Chrome 73.0.3683.86,,2019-03-25 15:25:04,2019-03-25 15:25:04,0.080s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-03-25 15:25:04,2019-03-25 15:25:07,3.003s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Getting Started/a_Share Page Link""))",Chrome 73.0.3683.86,,2019-03-25 15:25:07,2019-03-25 15:25:07,0.130s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Getting Started/button_Copy Link""))",Chrome 73.0.3683.86,,2019-03-25 15:25:07,2019-03-25 15:25:07,0.075s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-03-25 15:25:07,2019-03-25 15:25:08,1.003s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Getting Started/div_CopiedLink Copied Successfully""))",Chrome 73.0.3683.86,,2019-03-25 15:25:08,2019-03-25 15:25:08,0.087s,PASSED
,,,,,,
Test Cases/wizard TestCases/TC0031,Chrome 73.0.3683.86,Test back button,2019-03-25 15:25:08,2019-03-25 15:25:09,0.885s,FAILED
"callTestCase(findTestCase(""wizard TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:25:08,2019-03-25 15:25:09,0.801s,FAILED
,,,,,,
Test Cases/wizard TestCases/TC0032,Chrome 73.0.3683.86,Test step links,2019-03-25 15:25:09,2019-03-25 15:25:10,0.893s,FAILED
"callTestCase(findTestCase(""wizard TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:25:09,2019-03-25 15:25:10,0.802s,FAILED
,,,,,,
Test Cases/wizard TestCases/TC0038,Chrome 73.0.3683.86,Test autopostig feeds by facebook page url on which user is not admin,2019-03-25 15:25:10,2019-03-25 15:25:11,0.834s,FAILED
"callTestCase(findTestCase(""wizard TestCases/Login""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-25 15:25:10,2019-03-25 15:25:11,0.767s,FAILED
,,,,,,
Test Cases/wizard TestCases/TC0041,Chrome 73.0.3683.86,Test autoposting feeds wordpress integration guide,2019-03-25 15:25:11,2019-03-25 15:25:55,43.839s,PASSED
