Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Autoposting,Chrome 73.0.3683.103,,2019-04-25 14:10:37,2019-04-25 14:15:44,5m - 7.602s,FAILED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/arveen_production_login_kiboengage,Chrome 73.0.3683.103,,2019-04-25 14:10:38,2019-04-25 14:11:40,1m - 1.831s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-25 14:10:39,2019-04-25 14:10:47,7.702s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-04-25 14:10:47,2019-04-25 14:10:48,1.560s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 14:10:48,2019-04-25 14:11:04,15.041s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 14:11:04,2019-04-25 14:11:05,1.629s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:11:05,2019-04-25 14:11:07,2.004s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 14:11:07,2019-04-25 14:11:08,1.288s,PASSED
setEncryptedText,Chrome 73.0.3683.103,,2019-04-25 14:11:08,2019-04-25 14:11:09,0.846s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:11:09,2019-04-25 14:11:10,0.469s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:11:10,2019-04-25 14:11:33,23.352s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 14:11:33,2019-04-25 14:11:36,2.677s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:11:36,2019-04-25 14:11:36,0.282s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 14:11:36,2019-04-25 14:11:38,1.594s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:11:38,2019-04-25 14:11:38,0.470s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 14:11:38,2019-04-25 14:11:40,1.586s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/open automation,Chrome 73.0.3683.103,,2019-04-25 14:11:40,2019-04-25 14:11:41,1.417s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:11:40,2019-04-25 14:11:40,0.193s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 14:11:40,2019-04-25 14:11:41,0.793s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0369,Chrome 73.0.3683.103,Test documentation link,2019-04-25 14:11:41,2019-04-25 14:11:46,4.789s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:11:41,2019-04-25 14:11:46,4.174s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:11:46,2019-04-25 14:11:46,0.348s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0370,Chrome 73.0.3683.103,Test video tutorial,2019-04-25 14:11:46,2019-04-25 14:11:53,6.576s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:11:46,2019-04-25 14:11:52,5.464s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:11:52,2019-04-25 14:11:53,0.819s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0371,Chrome 73.0.3683.103,Test no connected feeds,2019-04-25 14:11:53,2019-04-25 14:12:00,7.801s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:11:53,2019-04-25 14:12:00,6.912s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:00,2019-04-25 14:12:00,0.309s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0372,Chrome 73.0.3683.103,Test Add Feed button,2019-04-25 14:12:00,2019-04-25 14:12:08,7.552s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:12:01,2019-04-25 14:12:06,5.073s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:06,2019-04-25 14:12:06,0.580s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:06,2019-04-25 14:12:07,0.651s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:07,2019-04-25 14:12:07,0.480s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:07,2019-04-25 14:12:08,0.527s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0373,Chrome 73.0.3683.103,Close add feed dialog,2019-04-25 14:12:08,2019-04-25 14:12:18,9.692s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:12:08,2019-04-25 14:12:14,5.776s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:14,2019-04-25 14:12:15,0.514s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:15,2019-04-25 14:12:15,0.340s,PASSED
scrollToPosition,Chrome 73.0.3683.103,,2019-04-25 14:12:15,2019-04-25 14:12:15,0.091s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 14:12:15,2019-04-25 14:12:17,2.312s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:17,2019-04-25 14:12:18,0.360s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0375,Chrome 73.0.3683.103,Test autopostig feeds by facebook page url on which user is not admin,2019-04-25 14:12:18,2019-04-25 14:12:32,13.595s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:12:19,2019-04-25 14:12:25,5.297s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:25,2019-04-25 14:12:25,0.466s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 14:12:25,2019-04-25 14:12:27,1.885s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:27,2019-04-25 14:12:28,0.618s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 14:12:28,2019-04-25 14:12:32,3.834s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0378,Chrome 73.0.3683.103,Test autoposting feeds wordpress integration guide,2019-04-25 14:12:32,2019-04-25 14:12:42,10.646s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:12:32,2019-04-25 14:12:38,6.220s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:38,2019-04-25 14:12:39,0.597s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:39,2019-04-25 14:12:40,0.835s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:40,2019-04-25 14:12:41,1.197s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:41,2019-04-25 14:12:42,0.591s,PASSED
scrollToPosition,Chrome 73.0.3683.103,,2019-04-25 14:12:42,2019-04-25 14:12:42,0.297s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:42,2019-04-25 14:12:42,0.430s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0379,Chrome 73.0.3683.103,Test autoposting feeds without entering any url,2019-04-25 14:12:42,2019-04-25 14:12:52,9.890s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:12:43,2019-04-25 14:12:49,6.105s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:49,2019-04-25 14:12:49,0.456s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:49,2019-04-25 14:12:50,0.305s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 14:12:50,2019-04-25 14:12:52,2.113s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:52,2019-04-25 14:12:52,0.481s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0380,Chrome 73.0.3683.103,Test delete autoposting feed,2019-04-25 14:12:52,2019-04-25 14:13:06,13.313s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:12:53,2019-04-25 14:12:58,5.244s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:58,2019-04-25 14:12:59,0.606s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:12:59,2019-04-25 14:12:59,0.498s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 14:12:59,2019-04-25 14:13:01,1.925s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:13:01,2019-04-25 14:13:01,0.265s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 14:13:01,2019-04-25 14:13:03,1.928s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:13:03,2019-04-25 14:13:04,0.528s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 14:13:04,2019-04-25 14:13:06,1.887s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0381,Chrome 73.0.3683.103,View Autoposting Feeds,2019-04-25 14:13:06,2019-04-25 14:13:11,4.885s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:13:06,2019-04-25 14:13:10,4.315s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:13:10,2019-04-25 14:13:11,0.321s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0382,Chrome 73.0.3683.103,Go to autoposting item settings,2019-04-25 14:13:11,2019-04-25 14:13:17,6.471s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:13:11,2019-04-25 14:13:16,5.042s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:13:16,2019-04-25 14:13:16,0.570s,PASSED
scrollToPosition,Chrome 73.0.3683.103,,2019-04-25 14:13:16,2019-04-25 14:13:17,0.282s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:13:17,2019-04-25 14:13:17,0.310s,PASSED
,,,,,,
Test Cases/Autoposting TestCases/TC0383,Chrome 73.0.3683.103,Update title,2019-04-25 14:13:17,2019-04-25 14:13:27,9.781s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 14:13:17,2019-04-25 14:13:22,4.797s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:13:22,2019-04-25 14:13:22,0.177s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 14:13:22,2019-04-25 14:13:23,1.049s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:13:23,2019-04-25 14:13:24,0.461s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:13:24,2019-04-25 14:13:25,0.953s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 14:13:25,2019-04-25 14:13:26,0.603s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:13:26,2019-04-25 14:13:26,0.617s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 14:13:26,2019-04-25 14:13:27,0.822s,PASSED
,,,,,,
