Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Discover Tabs,Chrome 73.0.3683.75,,2019-04-23 11:47:10,2019-04-23 11:48:06,55.782s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-23 11:47:10,2019-04-23 11:47:52,41.995s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-23 11:47:10,2019-04-23 11:47:12,1.256s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-23 11:47:12,2019-04-23 11:47:12,0.127s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-23 11:47:12,2019-04-23 11:47:26,14.637s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-23 11:47:26,2019-04-23 11:47:27,0.440s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-23 11:47:27,2019-04-23 11:47:28,0.742s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-23 11:47:28,2019-04-23 11:47:28,0.123s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-23 11:47:28,2019-04-23 11:47:28,0.092s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-23 11:47:28,2019-04-23 11:47:28,0.080s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-23 11:47:28,2019-04-23 11:47:49,20.921s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-23 11:47:49,2019-04-23 11:47:49,0.074s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-23 11:47:49,2019-04-23 11:47:52,3.018s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-23 11:47:52,2019-04-23 11:47:52,0.098s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-23 11:47:52,2019-04-23 11:47:52,0.084s,PASSED
,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.75,,2019-04-23 11:47:52,2019-04-23 11:47:53,1.226s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.75,,2019-04-23 11:47:52,2019-04-23 11:47:52,0.109s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-23 11:47:52,2019-04-23 11:47:53,1.006s,PASSED
,,,,,,
Test Cases/Discover Tabs/TC1077,Chrome 73.0.3683.75,,2019-04-23 11:47:53,2019-04-23 11:47:56,2.451s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Discover Tabs""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 11:47:53,2019-04-23 11:47:56,2.301s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-23 11:47:56,2019-04-23 11:47:56,0.094s,PASSED
,,,,,,
Test Cases/Discover Tabs/TC1078,Chrome 73.0.3683.75,,2019-04-23 11:47:56,2019-04-23 11:47:58,2.451s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Discover Tabs""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 11:47:56,2019-04-23 11:47:58,2.245s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-23 11:47:58,2019-04-23 11:47:58,0.124s,PASSED
,,,,,,
Test Cases/Discover Tabs/TC1079,Chrome 73.0.3683.75,,2019-04-23 11:47:58,2019-04-23 11:48:01,2.344s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Discover Tabs""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 11:47:58,2019-04-23 11:48:00,2.214s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-23 11:48:00,2019-04-23 11:48:01,0.070s,PASSED
,,,,,,
Test Cases/Discover Tabs/TC1080,Chrome 73.0.3683.75,,2019-04-23 11:48:01,2019-04-23 11:48:03,2.459s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Discover Tabs""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 11:48:01,2019-04-23 11:48:03,2.250s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-23 11:48:03,2019-04-23 11:48:03,0.145s,PASSED
,,,,,,
Test Cases/Discover Tabs/TC1081,Chrome 73.0.3683.75,,2019-04-23 11:48:03,2019-04-23 11:48:06,2.530s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Discover Tabs""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 11:48:03,2019-04-23 11:48:05,2.319s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-23 11:48:05,2019-04-23 11:48:06,0.139s,PASSED
