Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
InviteSubscribers,Chrome 73.0.3683.75,,2019-04-30 10:29:52,2019-04-30 10:30:35,42.482s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-30 10:29:52,2019-04-30 10:30:26,33.356s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-30 10:29:53,2019-04-30 10:29:54,1.000s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-30 10:29:54,2019-04-30 10:29:54,0.132s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-30 10:29:54,2019-04-30 10:30:04,10.325s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:30:04,2019-04-30 10:30:05,0.744s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:30:05,2019-04-30 10:30:06,0.799s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:30:06,2019-04-30 10:30:06,0.151s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-30 10:30:06,2019-04-30 10:30:06,0.113s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-30 10:30:06,2019-04-30 10:30:06,0.070s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-30 10:30:06,2019-04-30 10:30:22,16.399s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-30 10:30:22,2019-04-30 10:30:23,0.178s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-30 10:30:23,2019-04-30 10:30:26,3.025s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:30:26,2019-04-30 10:30:26,0.136s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:30:26,2019-04-30 10:30:26,0.112s,PASSED
,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.75,,2019-04-30 10:30:26,2019-04-30 10:30:27,1.167s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:30:26,2019-04-30 10:30:26,0.082s,PASSED
