Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing Pages,Chrome 73.0.3683.75,,2019-04-30 10:44:57,2019-04-30 10:46:06,1m - 9.368s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-30 10:44:57,2019-04-30 10:45:33,35.401s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-30 10:44:58,2019-04-30 10:44:59,1.485s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-30 10:44:59,2019-04-30 10:44:59,0.125s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-30 10:44:59,2019-04-30 10:45:09,9.444s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:45:09,2019-04-30 10:45:09,0.791s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:45:09,2019-04-30 10:45:10,0.827s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:45:10,2019-04-30 10:45:10,0.155s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-30 10:45:10,2019-04-30 10:45:11,0.146s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-30 10:45:11,2019-04-30 10:45:11,0.069s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-30 10:45:11,2019-04-30 10:45:29,18.740s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-30 10:45:29,2019-04-30 10:45:29,0.078s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-30 10:45:29,2019-04-30 10:45:32,3.019s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:45:32,2019-04-30 10:45:33,0.119s,PASSED
