Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Message Us,Chrome 73.0.3683.75,,2019-04-30 10:20:25,2019-04-30 10:21:29,1m - 4.012s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-30 10:20:25,2019-04-30 10:21:20,55.052s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-30 10:20:26,2019-04-30 10:20:28,2.154s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-30 10:20:28,2019-04-30 10:20:28,0.159s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-30 10:20:28,2019-04-30 10:20:44,16.511s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:20:44,2019-04-30 10:20:45,0.747s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:20:45,2019-04-30 10:20:46,0.786s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:20:46,2019-04-30 10:20:46,0.184s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-30 10:20:46,2019-04-30 10:20:46,0.128s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-30 10:20:46,2019-04-30 10:20:46,0.095s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-30 10:20:46,2019-04-30 10:21:17,30.603s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-30 10:21:17,2019-04-30 10:21:17,0.129s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-30 10:21:17,2019-04-30 10:21:20,3.012s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:21:20,2019-04-30 10:21:20,0.117s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:21:20,2019-04-30 10:21:20,0.095s,PASSED
,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.75,,2019-04-30 10:21:20,2019-04-30 10:21:22,1.279s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:21:20,2019-04-30 10:21:21,0.143s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:21:21,2019-04-30 10:21:22,1.002s,PASSED
,,,,,,
Test Cases/Message Us/TC11016,Chrome 73.0.3683.75,,2019-04-30 10:21:22,2019-04-30 10:21:23,1.314s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-30 10:21:22,2019-04-30 10:21:23,1.246s,PASSED
,,,,,,
Test Cases/Message Us/TC11021,Chrome 73.0.3683.75,,2019-04-30 10:21:23,2019-04-30 10:21:24,1.171s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-30 10:21:23,2019-04-30 10:21:24,1.116s,PASSED
,,,,,,
Test Cases/Message Us/TC11017,Chrome 73.0.3683.75,,2019-04-30 10:21:24,2019-04-30 10:21:25,1.220s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-30 10:21:24,2019-04-30 10:21:25,1.145s,PASSED
,,,,,,
Test Cases/Message Us/TC11018,Chrome 73.0.3683.75,,2019-04-30 10:21:25,2019-04-30 10:21:27,1.217s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-30 10:21:25,2019-04-30 10:21:27,1.155s,PASSED
,,,,,,
Test Cases/Message Us/TC11019,Chrome 73.0.3683.75,,2019-04-30 10:21:27,2019-04-30 10:21:28,1.210s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-30 10:21:27,2019-04-30 10:21:28,1.128s,PASSED
,,,,,,
Test Cases/Message Us/TC11020,Chrome 73.0.3683.75,,2019-04-30 10:21:28,2019-04-30 10:21:29,1.170s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Message Us""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-30 10:21:28,2019-04-30 10:21:29,1.106s,PASSED
