Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Messenger Code,Chrome 73.0.3683.75,,2019-04-23 12:11:35,2019-04-23 12:12:36,1m - 0.975s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-23 12:11:35,2019-04-23 12:12:24,48.702s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-23 12:11:35,2019-04-23 12:11:37,1.200s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-23 12:11:37,2019-04-23 12:11:37,0.120s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-23 12:11:37,2019-04-23 12:11:57,20.687s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-23 12:11:57,2019-04-23 12:11:58,0.486s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-23 12:11:58,2019-04-23 12:11:59,0.793s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-23 12:11:59,2019-04-23 12:11:59,0.156s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-23 12:11:59,2019-04-23 12:11:59,0.117s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-23 12:11:59,2019-04-23 12:11:59,0.086s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-23 12:11:59,2019-04-23 12:12:21,21.564s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-23 12:12:21,2019-04-23 12:12:21,0.114s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-23 12:12:21,2019-04-23 12:12:24,3.025s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-23 12:12:24,2019-04-23 12:12:24,0.103s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-23 12:12:24,2019-04-23 12:12:24,0.070s,PASSED
,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.75,,2019-04-23 12:12:24,2019-04-23 12:12:26,2.214s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.75,,2019-04-23 12:12:24,2019-04-23 12:12:25,1.112s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-23 12:12:25,2019-04-23 12:12:26,1.002s,PASSED
,,,,,,
Test Cases/MessengerCode/TC1073,Chrome 73.0.3683.75,,2019-04-23 12:12:26,2019-04-23 12:12:29,2.547s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Code""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 12:12:26,2019-04-23 12:12:29,2.382s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-23 12:12:29,2019-04-23 12:12:29,0.099s,PASSED
,,,,,,
Test Cases/MessengerCode/TC1074,Chrome 73.0.3683.75,,2019-04-23 12:12:29,2019-04-23 12:12:31,2.428s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Code""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 12:12:29,2019-04-23 12:12:31,2.236s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_video tutorial""))",Chrome 73.0.3683.75,,2019-04-23 12:12:31,2019-04-23 12:12:31,0.110s,PASSED
,,,,,,
Test Cases/MessengerCode/TC1075,Chrome 73.0.3683.75,,2019-04-23 12:12:31,2019-04-23 12:12:34,2.427s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Code""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 12:12:31,2019-04-23 12:12:34,2.266s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-23 12:12:34,2019-04-23 12:12:34,0.102s,PASSED
,,,,,,
Test Cases/MessengerCode/TC1076,Chrome 73.0.3683.75,,2019-04-23 12:12:34,2019-04-23 12:12:36,2.411s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Messenger Code""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 12:12:34,2019-04-23 12:12:36,2.266s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Messenger Code/a_documentation""))",Chrome 73.0.3683.75,,2019-04-23 12:12:36,2019-04-23 12:12:36,0.078s,PASSED
