Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Messenger Ref URL,Chrome 73.0.3683.75,,2019-04-30 10:48:33,2019-04-30 10:49:42,1m - 8.950s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-30 10:48:33,2019-04-30 10:49:14,40.861s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-30 10:48:33,2019-04-30 10:48:34,1.347s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-30 10:48:34,2019-04-30 10:48:34,0.118s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-30 10:48:34,2019-04-30 10:48:49,14.696s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:48:49,2019-04-30 10:48:50,0.768s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:48:50,2019-04-30 10:48:51,0.835s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:48:51,2019-04-30 10:48:51,0.177s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-30 10:48:51,2019-04-30 10:48:51,0.132s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-30 10:48:51,2019-04-30 10:48:51,0.087s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-30 10:48:51,2019-04-30 10:49:10,19.112s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-30 10:49:10,2019-04-30 10:49:10,0.096s,PASSED
