Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SMS Kiboengage,Chrome 73.0.3683.75,,2019-04-30 10:36:59,2019-04-30 10:41:53,4m - 54.075s,FAILED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-30 10:36:59,2019-04-30 10:37:37,37.411s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-30 10:37:00,2019-04-30 10:37:01,1.018s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-30 10:37:01,2019-04-30 10:37:01,0.131s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-30 10:37:01,2019-04-30 10:37:13,11.823s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:37:13,2019-04-30 10:37:13,0.804s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:37:13,2019-04-30 10:37:14,0.868s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:37:14,2019-04-30 10:37:15,0.204s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-30 10:37:15,2019-04-30 10:37:15,0.169s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-30 10:37:15,2019-04-30 10:37:15,0.063s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-30 10:37:15,2019-04-30 10:37:33,18.641s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-30 10:37:33,2019-04-30 10:37:34,0.262s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-30 10:37:34,2019-04-30 10:37:37,3.013s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:37:37,2019-04-30 10:37:37,0.112s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:37:37,2019-04-30 10:37:37,0.094s,PASSED
,,,,,,
Test Cases/SMS/SMSPlatform,Chrome 73.0.3683.75,,2019-04-30 10:37:37,2019-04-30 10:37:38,1.303s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:37:37,2019-04-30 10:37:37,0.072s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_SMS (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:37:37,2019-04-30 10:37:37,0.121s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:37:37,2019-04-30 10:37:38,1.002s,PASSED
,,,,,,
Test Cases/SMS/contacts/TC11149,Chrome 73.0.3683.75,,2019-04-30 10:37:38,2019-04-30 10:37:41,2.356s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.75,,2019-04-30 10:37:38,2019-04-30 10:37:38,0.153s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:37:38,2019-04-30 10:37:39,1.002s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Subscribers (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:37:39,2019-04-30 10:37:40,0.085s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:37:40,2019-04-30 10:37:41,1.002s,PASSED
,,,,,,
Test Cases/SMS/contacts/TC11150,Chrome 73.0.3683.75,,2019-04-30 10:37:41,2019-04-30 10:37:44,3.409s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.75,,2019-04-30 10:37:41,2019-04-30 10:37:41,0.067s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:37:41,2019-04-30 10:37:42,1.002s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Subscribers (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:37:42,2019-04-30 10:37:42,0.086s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:37:42,2019-04-30 10:37:43,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Subscribers/h3_Subscribers""))",Chrome 73.0.3683.75,,2019-04-30 10:37:43,2019-04-30 10:37:43,0.077s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:37:43,2019-04-30 10:37:44,1.002s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-04-30 10:37:44,2019-04-30 10:37:44,0.006s,PASSED
"Table = driver.findElement(By.xpath(""//*[@id=""ajax_data""]/table/tbody""))",Chrome 73.0.3683.75,,2019-04-30 10:37:44,2019-04-30 10:37:44,0.033s,PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 73.0.3683.75,,2019-04-30 10:37:44,2019-04-30 10:37:44,0.023s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.75,,2019-04-30 10:37:44,2019-04-30 10:37:44,0.013s,PASSED
,,,,,,
Test Cases/SMS/contacts/TC11151,Chrome 73.0.3683.75,,2019-04-30 10:37:44,2019-04-30 10:37:46,2.332s,PASSED
