Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SMS Livechat,Chrome 73.0.3683.75,,2019-04-30 10:26:21,2019-04-30 10:27:46,1m - 25.331s,FAILED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kibochat,Chrome 73.0.3683.75,,2019-04-30 10:26:21,2019-04-30 10:26:59,38.001s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-30 10:26:21,2019-04-30 10:26:22,1.022s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-30 10:26:22,2019-04-30 10:26:22,0.136s,PASSED
"navigateToUrl(""https://kibochat.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-30 10:26:22,2019-04-30 10:26:39,16.919s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kibochat.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:26:39,2019-04-30 10:26:40,0.759s,PASSED
"click(findTestObject(""Page_KiboPush/a_Login (10)""))",Chrome 73.0.3683.75,,2019-04-30 10:26:40,2019-04-30 10:26:41,0.812s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:26:41,2019-04-30 10:26:41,0.172s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-30 10:26:41,2019-04-30 10:26:41,0.137s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (11)""))",Chrome 73.0.3683.75,,2019-04-30 10:26:41,2019-04-30 10:26:41,0.080s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (58)""))",Chrome 73.0.3683.75,,2019-04-30 10:26:41,2019-04-30 10:26:56,14.546s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-30 10:26:56,2019-04-30 10:26:59,3.018s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/a_SMS (2)""))",Chrome 73.0.3683.75,,2019-04-30 10:26:59,2019-04-30 10:26:59,0.128s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Messenger""))",Chrome 73.0.3683.75,,2019-04-30 10:26:59,2019-04-30 10:26:59,0.108s,PASSED
,,,,,,
Test Cases/SMS/SMSPlatform,Chrome 73.0.3683.75,,2019-04-30 10:26:59,2019-04-30 10:27:00,1.256s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:26:59,2019-04-30 10:26:59,0.062s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_SMS (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:26:59,2019-04-30 10:26:59,0.100s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:26:59,2019-04-30 10:27:00,1.001s,PASSED
,,,,,,
Test Cases/SMS/Sms Livechat/TC11188,Chrome 73.0.3683.75,,2019-04-30 10:27:00,2019-04-30 10:27:03,2.270s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.75,,2019-04-30 10:27:00,2019-04-30 10:27:01,0.084s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:27:01,2019-04-30 10:27:02,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboChat  Dashboard/span_Live Chat (Beta)""))",Chrome 73.0.3683.75,,2019-04-30 10:27:02,2019-04-30 10:27:02,0.096s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:27:02,2019-04-30 10:27:03,1.001s,PASSED
,,,,,,
Test Cases/SMS/Sms Livechat/TC11189,Chrome 73.0.3683.75,,2019-04-30 10:27:03,2019-04-30 10:27:05,2.203s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.75,,2019-04-30 10:27:03,2019-04-30 10:27:03,0.068s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:27:03,2019-04-30 10:27:04,1.003s,PASSED
"click(findTestObject(""Object Repository/Page_KiboChat  Dashboard/span_Live Chat (Beta)""))",Chrome 73.0.3683.75,,2019-04-30 10:27:04,2019-04-30 10:27:04,0.078s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:27:04,2019-04-30 10:27:05,1.002s,PASSED
,,,,,,
Test Cases/SMS/Sms Livechat/TC11190,Chrome 73.0.3683.75,,2019-04-30 10:27:05,2019-04-30 10:27:07,2.597s,FAILED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.75,,2019-04-30 10:27:05,2019-04-30 10:27:05,0.080s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:27:05,2019-04-30 10:27:06,1.003s,PASSED
"click(findTestObject(""Object Repository/Page_KiboChat  Dashboard/span_Live Chat (Beta)""))",Chrome 73.0.3683.75,,2019-04-30 10:27:06,2019-04-30 10:27:06,0.104s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:27:06,2019-04-30 10:27:07,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboChat  Live Chat/span_Faizan""))",Chrome 73.0.3683.75,,2019-04-30 10:27:07,2019-04-30 10:27:07,0.089s,PASSED
"click(findTestObject(""Object Repository/Page_KiboChat  Live Chat/div_Faizan wrote""))",Chrome 73.0.3683.75,,2019-04-30 10:27:07,2019-04-30 10:27:07,0.229s,FAILED
,,,,,,
Test Cases/SMS/Sms Livechat/TC11191,Chrome 73.0.3683.75,,2019-04-30 10:27:07,2019-04-30 10:27:41,33.082s,FAILED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.75,,2019-04-30 10:27:08,2019-04-30 10:27:08,0.076s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:27:08,2019-04-30 10:27:09,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboChat  Dashboard/span_Live Chat (Beta)""))",Chrome 73.0.3683.75,,2019-04-30 10:27:09,2019-04-30 10:27:09,0.078s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:27:09,2019-04-30 10:27:10,1.005s,PASSED
"click(findTestObject(""Object Repository/Page_KiboChat  Live Chat/div_Faizan wrote""))",Chrome 73.0.3683.75,,2019-04-30 10:27:10,2019-04-30 10:27:41,30.857s,FAILED
,,,,,,
Test Cases/SMS/Sms Livechat/TC11193,Chrome 73.0.3683.75,,2019-04-30 10:27:41,2019-04-30 10:27:46,5.683s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Dashboard""))",Chrome 73.0.3683.75,,2019-04-30 10:27:41,2019-04-30 10:27:41,0.098s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:27:41,2019-04-30 10:27:42,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboChat  Dashboard/span_Live Chat (Beta)""))",Chrome 73.0.3683.75,,2019-04-30 10:27:42,2019-04-30 10:27:42,0.225s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:27:42,2019-04-30 10:27:43,1.003s,PASSED
"setText(findTestObject(""Page_KiboChat  Live Chat/input_User Guide_generalSearch""), ""imran"")",Chrome 73.0.3683.75,,2019-04-30 10:27:43,2019-04-30 10:27:43,0.151s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-30 10:27:43,2019-04-30 10:27:46,3.001s,PASSED
"click(findTestObject(""Page_KiboChat  Live Chat/span_Anisha (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:27:46,2019-04-30 10:27:46,0.119s,PASSED
