Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Whatsapp Livechat,Chrome 73.0.3683.75,,2019-04-23 18:35:47,2019-04-23 18:36:58,1m - 10.751s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kibochat,Chrome 73.0.3683.75,,2019-04-23 18:35:47,2019-04-23 18:36:31,43.989s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-23 18:35:47,2019-04-23 18:35:50,2.404s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-23 18:35:50,2019-04-23 18:35:50,0.116s,PASSED
"navigateToUrl(""https://kibochat.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-23 18:35:50,2019-04-23 18:36:02,12.217s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kibochat.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-23 18:36:02,2019-04-23 18:36:03,0.780s,PASSED
"click(findTestObject(""Page_KiboPush/a_Login (10)""))",Chrome 73.0.3683.75,,2019-04-23 18:36:03,2019-04-23 18:36:04,0.878s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-23 18:36:04,2019-04-23 18:36:04,0.267s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-23 18:36:04,2019-04-23 18:36:04,0.220s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (11)""))",Chrome 73.0.3683.75,,2019-04-23 18:36:04,2019-04-23 18:36:04,0.128s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (58)""))",Chrome 73.0.3683.75,,2019-04-23 18:36:04,2019-04-23 18:36:28,23.463s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-23 18:36:28,2019-04-23 18:36:31,3.024s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/a_SMS (2)""))",Chrome 73.0.3683.75,,2019-04-23 18:36:31,2019-04-23 18:36:31,0.119s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Messenger""))",Chrome 73.0.3683.75,,2019-04-23 18:36:31,2019-04-23 18:36:31,0.076s,PASSED
,,,,,,
Test Cases/Whatsapp/WhatsappPlatformChat,Chrome 73.0.3683.75,,2019-04-23 18:36:31,2019-04-23 18:36:33,2.248s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-23 18:36:31,2019-04-23 18:36:32,1.002s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-23 18:36:32,2019-04-23 18:36:32,0.073s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_WhatsApp""))",Chrome 73.0.3683.75,,2019-04-23 18:36:32,2019-04-23 18:36:32,0.088s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-23 18:36:32,2019-04-23 18:36:33,1.002s,PASSED
,,,,,,
Test Cases/Whatsapp/WhatsApp Livechat/TC11246,Chrome 73.0.3683.75,,2019-04-23 18:36:33,2019-04-23 18:36:37,3.626s,PASSED
"callTestCase(findTestCase(""Whatsapp/WhatsApp Livechat/go to live chat""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 18:36:34,2019-04-23 18:36:37,3.351s,PASSED
"click(findTestObject(""Object Repository/Page_KiboChat  Live Chat/a_documentation""))",Chrome 73.0.3683.75,,2019-04-23 18:36:37,2019-04-23 18:36:37,0.135s,PASSED
,,,,,,
Test Cases/Whatsapp/WhatsApp Livechat/TC11247,Chrome 73.0.3683.75,,2019-04-23 18:36:37,2019-04-23 18:36:40,3.307s,PASSED
"callTestCase(findTestCase(""Whatsapp/WhatsApp Livechat/go to live chat""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 18:36:37,2019-04-23 18:36:40,3.231s,PASSED
,,,,,,
Test Cases/Whatsapp/WhatsApp Livechat/TC11248,Chrome 73.0.3683.75,,2019-04-23 18:36:40,2019-04-23 18:36:44,3.354s,PASSED
"callTestCase(findTestCase(""Whatsapp/WhatsApp Livechat/go to live chat""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 18:36:40,2019-04-23 18:36:44,3.282s,PASSED
,,,,,,
Test Cases/Whatsapp/WhatsApp Livechat/TC11249,Chrome 73.0.3683.75,,2019-04-23 18:36:44,2019-04-23 18:36:47,3.357s,PASSED
"callTestCase(findTestCase(""Whatsapp/WhatsApp Livechat/go to live chat""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 18:36:44,2019-04-23 18:36:47,3.296s,PASSED
,,,,,,
Test Cases/Whatsapp/WhatsApp Livechat/TC11250,Chrome 73.0.3683.75,,2019-04-23 18:36:47,2019-04-23 18:36:51,3.593s,PASSED
"callTestCase(findTestCase(""Whatsapp/WhatsApp Livechat/go to live chat""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 18:36:47,2019-04-23 18:36:50,3.270s,PASSED
"setText(findTestObject(""Object Repository/Page_KiboChat  Live Chat/input_documentation_generalSearch""), ""3333739"")",Chrome 73.0.3683.75,,2019-04-23 18:36:50,2019-04-23 18:36:51,0.155s,PASSED
"click(findTestObject(""Object Repository/Page_KiboChat  Live Chat/span_923333739566""))",Chrome 73.0.3683.75,,2019-04-23 18:36:51,2019-04-23 18:36:51,0.079s,PASSED
,,,,,,
Test Cases/Whatsapp/WhatsApp Livechat/TC11251,Chrome 73.0.3683.75,,2019-04-23 18:36:51,2019-04-23 18:36:54,3.315s,PASSED
"callTestCase(findTestCase(""Whatsapp/WhatsApp Livechat/go to live chat""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 18:36:51,2019-04-23 18:36:54,3.256s,PASSED
,,,,,,
Test Cases/Whatsapp/WhatsApp Livechat/TC11252,Chrome 73.0.3683.75,,2019-04-23 18:36:54,2019-04-23 18:36:57,3.409s,PASSED
"callTestCase(findTestCase(""Whatsapp/WhatsApp Livechat/go to live chat""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-23 18:36:54,2019-04-23 18:36:57,3.321s,PASSED
