Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
greetingText,Chrome 73.0.3683.75,,2019-04-30 10:46:57,2019-04-30 10:48:02,1m - 5.228s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-30 10:46:57,2019-04-30 10:47:31,33.829s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-30 10:46:58,2019-04-30 10:46:59,1.504s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-30 10:46:59,2019-04-30 10:46:59,0.118s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-30 10:46:59,2019-04-30 10:47:11,12.090s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:47:11,2019-04-30 10:47:12,0.746s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:47:12,2019-04-30 10:47:13,0.812s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:47:13,2019-04-30 10:47:13,0.176s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-30 10:47:13,2019-04-30 10:47:13,0.141s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-30 10:47:13,2019-04-30 10:47:13,0.079s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-30 10:47:13,2019-04-30 10:47:28,14.531s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-30 10:47:28,2019-04-30 10:47:28,0.094s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-30 10:47:28,2019-04-30 10:47:31,3.018s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:47:31,2019-04-30 10:47:31,0.104s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:47:31,2019-04-30 10:47:31,0.101s,PASSED
,,,,,,
Test Cases/Welcome messages/open Manage Pages,Chrome 73.0.3683.75,,2019-04-30 10:47:31,2019-04-30 10:47:34,2.282s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/span_Manage Pages""))",Chrome 73.0.3683.75,,2019-04-30 10:47:31,2019-04-30 10:47:33,1.167s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:47:33,2019-04-30 10:47:34,1.012s,PASSED
,,,,,,
Test Cases/Greeting text/TC1027,Chrome 73.0.3683.75,Greeting text video tutorial,2019-04-30 10:47:34,2019-04-30 10:47:39,5.796s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-30 10:47:34,2019-04-30 10:47:36,2.506s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Greeting Message/a_video tutorial""))",Chrome 73.0.3683.75,,2019-04-30 10:47:36,2019-04-30 10:47:36,0.151s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-30 10:47:36,2019-04-30 10:47:39,3.008s,PASSED
,,,,,,
Test Cases/Greeting text/TC1028,Chrome 73.0.3683.75,Default greeting text,2019-04-30 10:47:39,2019-04-30 10:47:44,4.519s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Greeting Text""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-30 10:47:39,2019-04-30 10:47:42,2.317s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-30 10:47:42,2019-04-30 10:47:44,2.004s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-04-30 10:47:44,2019-04-30 10:47:44,0.005s,PASSED
