Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
inviteUsingPhoneNumber,Chrome 73.0.3683.75,,2019-04-30 10:42:38,2019-04-30 10:44:26,1m - 47.710s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,Chrome 73.0.3683.75,,2019-04-30 10:42:38,2019-04-30 10:43:17,38.191s,PASSED
"openBrowser("""")",Chrome 73.0.3683.75,,2019-04-30 10:42:39,2019-04-30 10:42:40,1.077s,PASSED
maximizeWindow(),Chrome 73.0.3683.75,,2019-04-30 10:42:40,2019-04-30 10:42:40,0.124s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/"")",Chrome 73.0.3683.75,,2019-04-30 10:42:40,2019-04-30 10:42:50,9.855s,PASSED
"navigateToUrl(""https://accounts.cloudkibo.com/?continue=https://kiboengage.cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:42:50,2019-04-30 10:42:50,0.769s,PASSED
"click(findTestObject(""Page_CloudKibo/a_Login (2) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-30 10:42:50,2019-04-30 10:42:51,0.823s,PASSED
"setText(findTestObject(""Page_KiboPush/input_email (10) (1) (1)""), ""faizan@cloudkibo.com"")",Chrome 73.0.3683.75,,2019-04-30 10:42:51,2019-04-30 10:42:51,0.170s,PASSED
"setEncryptedText(findTestObject(""Page_CloudKibo/input_Sign In_password (7)""), ""qeJ0sjJnwEs="")",Chrome 73.0.3683.75,,2019-04-30 10:42:51,2019-04-30 10:42:52,0.139s,PASSED
"click(findTestObject(""Page_KiboPush/button_Sign In (10) (1) (2)""))",Chrome 73.0.3683.75,,2019-04-30 10:42:52,2019-04-30 10:42:52,0.079s,PASSED
"navigateToUrl(""https://kiboengage.cloudkibo.com/dashboard"")",Chrome 73.0.3683.75,,2019-04-30 10:42:52,2019-04-30 10:43:13,21.566s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/h3_Dashboard (57)""))",Chrome 73.0.3683.75,,2019-04-30 10:43:13,2019-04-30 10:43:13,0.088s,PASSED
delay(3),Chrome 73.0.3683.75,,2019-04-30 10:43:13,2019-04-30 10:43:16,3.017s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/a_SMS (2) (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:43:16,2019-04-30 10:43:16,0.098s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Messenger (1) (1) (1) (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:43:16,2019-04-30 10:43:17,0.089s,PASSED
,,,,,,
Test Cases/Invite subscribers/open growth tools,Chrome 73.0.3683.75,,2019-04-30 10:43:17,2019-04-30 10:43:19,2.247s,PASSED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:43:17,2019-04-30 10:43:18,1.109s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:43:18,2019-04-30 10:43:19,1.007s,PASSED
,,,,,,
Test Cases/Invite Using Phone Number/TC0919,Chrome 73.0.3683.75,Test documentation link,2019-04-30 10:43:19,2019-04-30 10:43:23,4.676s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-30 10:43:19,2019-04-30 10:43:23,4.482s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_documentation (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:43:23,2019-04-30 10:43:23,0.088s,PASSED
,,,,,,
Test Cases/Invite Using Phone Number/TC0920,Chrome 73.0.3683.75,Test video tutorial,2019-04-30 10:43:23,2019-04-30 10:43:29,5.418s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-30 10:43:24,2019-04-30 10:43:28,4.237s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-30 10:43:28,2019-04-30 10:43:29,1.002s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_video tutorial""))",Chrome 73.0.3683.75,,2019-04-30 10:43:29,2019-04-30 10:43:29,0.103s,PASSED
,,,,,,
Test Cases/Invite Using Phone Number/TC0921,Chrome 73.0.3683.75,Test enter phone number manually,2019-04-30 10:43:29,2019-04-30 10:43:36,7.387s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-30 10:43:29,2019-04-30 10:43:33,4.346s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-30 10:43:33,2019-04-30 10:43:35,2.002s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/button_Enter phone numbers man (3)""))",Chrome 73.0.3683.75,,2019-04-30 10:43:35,2019-04-30 10:43:35,0.088s,PASSED
"setText(findTestObject(""Page_KiboPush  Dashboard/input_form-control m-input m-i (4)""), ""+923340226849"")",Chrome 73.0.3683.75,,2019-04-30 10:43:35,2019-04-30 10:43:36,0.189s,PASSED
