Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SMS,Chrome 73.0.3683.75,,2019-04-08 12:05:03,2019-04-08 12:18:11,13m - 8.523s,FAILED
,,,,,,
Test Cases/SMS/sms broadcast/TC11171,Chrome 73.0.3683.75,,2019-04-08 12:05:03,2019-04-08 12:05:31,28.648s,PASSED
"callTestCase(findTestCase(""SMS/SMSPlatform""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-08 12:05:03,2019-04-08 12:05:31,28.077s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Broadcasting (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:05:31,2019-04-08 12:05:31,0.098s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Broadcasts""))",Chrome 73.0.3683.75,,2019-04-08 12:05:31,2019-04-08 12:05:31,0.179s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/h3_Broadcasts""))",Chrome 73.0.3683.75,,2019-04-08 12:05:31,2019-04-08 12:05:31,0.096s,PASSED
,,,,,,
Test Cases/SMS/sms broadcast/TC11175,Chrome 73.0.3683.75,,2019-04-08 12:05:31,2019-04-08 12:06:01,30.019s,PASSED
"callTestCase(findTestCase(""SMS/SMSPlatform""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-08 12:05:32,2019-04-08 12:06:00,28.577s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Broadcasting (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:06:00,2019-04-08 12:06:00,0.090s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Dashboard/span_Broadcasts""))",Chrome 73.0.3683.75,,2019-04-08 12:06:00,2019-04-08 12:06:00,0.130s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/h3_Broadcasts""))",Chrome 73.0.3683.75,,2019-04-08 12:06:00,2019-04-08 12:06:00,0.083s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-08 12:06:00,2019-04-08 12:06:01,1.001s,PASSED
,,,,,,
Test Cases/SMS/sms broadcast/TC11183,Chrome 73.0.3683.75,,2019-04-08 12:06:01,2019-04-08 12:06:34,32.508s,PASSED
"callTestCase(findTestCase(""SMS/SMSPlatform""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-08 12:06:01,2019-04-08 12:06:30,28.046s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-08 12:06:30,2019-04-08 12:06:31,1.002s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Broadcasting (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:06:31,2019-04-08 12:06:31,0.075s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Broadcasts""))",Chrome 73.0.3683.75,,2019-04-08 12:06:31,2019-04-08 12:06:31,0.116s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/h3_Broadcasts (1) (1) (1) (1) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:06:31,2019-04-08 12:06:31,0.092s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-08 12:06:31,2019-04-08 12:06:32,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/span_Create New (1) (1) (1) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:06:32,2019-04-08 12:06:32,0.091s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/button_Create New Broadcast (1) (1) (1) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:06:32,2019-04-08 12:06:32,0.135s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-08 12:06:32,2019-04-08 12:06:33,1.004s,PASSED
"setText(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/input_Push Message_form-control m-input (1) (1) (1)""), ""faizan"")",Chrome 73.0.3683.75,,2019-04-08 12:06:33,2019-04-08 12:06:33,0.161s,PASSED
"setText(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/textarea_HELLO (1) (1) (1)""), ""HELLO"")",Chrome 73.0.3683.75,,2019-04-08 12:06:33,2019-04-08 12:06:33,0.149s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/select_Select Conditionnamenumber (1)""), ""name"", true)",Chrome 73.0.3683.75,,2019-04-08 12:06:33,2019-04-08 12:06:34,0.176s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/select_Select Criteriaiscontainsbegins with (1)""), ""is"", true)",Chrome 73.0.3683.75,,2019-04-08 12:06:34,2019-04-08 12:06:34,0.201s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/span_Send (4) (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:06:34,2019-04-08 12:06:34,0.083s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/span_Please choose a valid value""))",Chrome 73.0.3683.75,,2019-04-08 12:06:34,2019-04-08 12:06:34,0.091s,PASSED
,,,,,,
Test Cases/SMS/sms broadcast/TC11179,Chrome 73.0.3683.75,,2019-04-08 12:06:34,2019-04-08 12:07:07,32.994s,PASSED
"callTestCase(findTestCase(""SMS/SMSPlatform""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-08 12:06:34,2019-04-08 12:07:03,29.066s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-08 12:07:03,2019-04-08 12:07:04,1.001s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Broadcasting (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:07:04,2019-04-08 12:07:04,0.088s,PASSED
"click(findTestObject(""Page_KiboEngage  Dashboard/span_Broadcasts""))",Chrome 73.0.3683.75,,2019-04-08 12:07:04,2019-04-08 12:07:04,0.128s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/h3_Broadcasts (1) (1) (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:07:04,2019-04-08 12:07:04,0.083s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-08 12:07:04,2019-04-08 12:07:05,1.001s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/span_Create New (1) (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:07:05,2019-04-08 12:07:05,0.086s,PASSED
"click(findTestObject(""Object Repository/Page_KiboEngage  Broadcasts/button_Create New Broadcast (1) (1)""))",Chrome 73.0.3683.75,,2019-04-08 12:07:05,2019-04-08 12:07:06,0.158s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-04-08 12:07:06,2019-04-08 12:07:07,1.002s,PASSED
