Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Template,Chrome 73.0.3683.75,,2019-03-15 12:20:20,2019-03-15 15:01:22,2h - 41m - 2.002s,FAILED
,,,,,,
Test Cases/Template testcases/TC0760,Chrome 73.0.3683.75,Test view broadcasts,2019-03-15 12:20:20,2019-03-15 12:21:06,45.579s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Template""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 12:20:21,2019-03-15 12:21:06,45.250s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-03-15 12:21:06,2019-03-15 12:21:06,0.006s,PASSED
"rows_table = driver.findElements(By.xpath(""//*[@id=""local_data""]/table/tbody/tr""))",Chrome 73.0.3683.75,,2019-03-15 12:21:06,2019-03-15 12:21:06,0.037s,PASSED
println(rows_table.size()),Chrome 73.0.3683.75,,2019-03-15 12:21:06,2019-03-15 12:21:06,0.006s,PASSED
"verifyGreaterThanOrEqual(rows_table.size(), 1)",Chrome 73.0.3683.75,,2019-03-15 12:21:06,2019-03-15 12:21:06,0.005s,PASSED
,,,,,,
Test Cases/Template testcases/TC0761,Chrome 73.0.3683.75,Test view surveys,2019-03-15 12:21:06,2019-03-15 12:21:51,44.810s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Template""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 12:21:06,2019-03-15 12:21:51,44.692s,FAILED
,,,,,,
Test Cases/Template testcases/TC0762,Chrome 73.0.3683.75,Test view polls,2019-03-15 12:21:51,2019-03-15 12:22:38,46.850s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Template""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 12:21:51,2019-03-15 12:22:38,46.734s,FAILED
,,,,,,
Test Cases/Template testcases/TC0763,Chrome 73.0.3683.75,Test search broadcast templates,2019-03-15 12:22:38,2019-03-15 12:23:23,44.885s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Template""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 12:22:38,2019-03-15 12:23:23,44.777s,FAILED
,,,,,,
Test Cases/Template testcases/TC0764,Chrome 73.0.3683.75,Test filter broadcast template,2019-03-15 12:23:23,2019-03-15 12:24:06,43.733s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Template""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 12:23:23,2019-03-15 12:24:06,43.641s,FAILED
,,,,,,
Test Cases/Template testcases/TC0765,Chrome 73.0.3683.75,Test broadcast templates pagination (next page),2019-03-15 12:24:06,2019-03-15 12:24:49,43.108s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Template""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-15 12:24:06,2019-03-15 12:24:47,40.853s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_next""))",Chrome 73.0.3683.75,,2019-03-15 12:24:47,2019-03-15 12:24:47,0.113s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-15 12:24:47,2019-03-15 12:24:49,2.002s,PASSED
