Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
broadcast,Chrome 73.0.3683.103,,2019-04-25 17:31:53,2019-04-25 17:33:32,1m - 39.130s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/arveen_production_login_kiboengage,Chrome 73.0.3683.103,,2019-04-25 17:31:54,2019-04-25 17:32:46,51.632s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-25 17:31:55,2019-04-25 17:32:01,5.934s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-04-25 17:32:01,2019-04-25 17:32:03,1.346s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 17:32:03,2019-04-25 17:32:15,12.350s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 17:32:15,2019-04-25 17:32:16,1.103s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:32:16,2019-04-25 17:32:17,1.149s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 17:32:17,2019-04-25 17:32:18,0.386s,PASSED
setEncryptedText,Chrome 73.0.3683.103,,2019-04-25 17:32:18,2019-04-25 17:32:18,0.275s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:32:18,2019-04-25 17:32:18,0.115s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:32:18,2019-04-25 17:32:39,20.498s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:32:39,2019-04-25 17:32:42,3.069s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:32:42,2019-04-25 17:32:42,0.165s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:32:42,2019-04-25 17:32:44,2.004s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:32:44,2019-04-25 17:32:44,0.137s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:32:44,2019-04-25 17:32:46,2.018s,PASSED
,,,,,,
Test Cases/Broadcasts/open_broadcast,Chrome 73.0.3683.103,,2019-04-25 17:32:46,2019-04-25 17:32:49,2.688s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:32:46,2019-04-25 17:32:47,0.229s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:32:47,2019-04-25 17:32:49,2.008s,PASSED
,,,,,,
Test Cases/Broadcasts/TC0125,Chrome 73.0.3683.103,Test pagination (Jump to page n),2019-04-25 17:32:49,2019-04-25 17:33:09,20.020s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 17:32:49,2019-04-25 17:32:53,3.295s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:32:53,2019-04-25 17:32:54,1.006s,PASSED
Statement - date_page1 = getFirstRowDate(),Chrome 73.0.3683.103,,2019-04-25 17:32:54,2019-04-25 17:32:54,0.001s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 73.0.3683.103,,2019-04-25 17:32:54,2019-04-25 17:32:54,0.022s,PASSED
Statement - Try,Chrome 73.0.3683.103,,2019-04-25 17:32:54,2019-04-25 17:32:54,0.141s,PASSED
