Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
capture,Chrome 73.0.3683.75,,2019-04-10 12:37:26,2019-04-10 12:57:29,20m - 3.265s,ERROR
,,,,,,
Test Cases/Comment Capture TestCases/TC0505,Chrome 73.0.3683.75,Test documentation link,2019-04-10 12:37:26,2019-04-10 12:38:15,48.655s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-10 12:37:26,2019-04-10 12:38:15,48.390s,PASSED
,,,,,,
Test Cases/Comment Capture TestCases/TC0507,Chrome 73.0.3683.75,Test view comment capture,2019-04-10 12:38:15,2019-04-10 12:39:07,52.154s,ERROR
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-10 12:38:15,2019-04-10 12:39:02,46.925s,PASSED
delay(5),Chrome 73.0.3683.75,,2019-04-10 12:39:02,2019-04-10 12:39:07,5.002s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-04-10 12:39:07,2019-04-10 12:39:07,0.006s,PASSED
"Table = driver.findElement(By.xpath(""//table/tbody""))",Chrome 73.0.3683.75,,2019-04-10 12:39:07,2019-04-10 12:39:07,0.052s,ERROR
,,,,,,
Test Cases/Comment Capture TestCases/TC0508,Chrome 73.0.3683.75,Test search comment capture,2019-04-10 12:39:07,2019-04-10 12:39:44,37.492s,ERROR
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-10 12:39:07,2019-04-10 12:39:40,33.246s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-10 12:39:40,2019-04-10 12:39:42,2.001s,PASSED
"setText(findTestObject(""Object Repository/Page_KiboPush  Comment Capture/input_form-control""), ""hi"")",Chrome 73.0.3683.75,,2019-04-10 12:39:42,2019-04-10 12:39:42,0.102s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-10 12:39:42,2019-04-10 12:39:44,2.002s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-04-10 12:39:44,2019-04-10 12:39:44,0.000s,PASSED
"Table = driver.findElement(By.xpath(""//table/tbody/tr[1]/td[1]/span""))",Chrome 73.0.3683.75,,2019-04-10 12:39:44,2019-04-10 12:39:44,0.020s,ERROR
,,,,,,
Test Cases/Comment Capture TestCases/TC0509,Chrome 73.0.3683.75,Test pagination (next page),2019-04-10 12:39:44,2019-04-10 12:40:18,33.498s,ERROR
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-10 12:39:44,2019-04-10 12:40:16,31.339s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-04-10 12:40:16,2019-04-10 12:40:18,2.001s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.75,,2019-04-10 12:40:18,2019-04-10 12:40:18,0.000s,PASSED
"Table1 = driver.findElement(By.xpath(""//table/tbody/tr[1]/td[4]/span""))",Chrome 73.0.3683.75,,2019-04-10 12:40:18,2019-04-10 12:40:18,0.016s,ERROR
,,,,,,
