Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
inviteUsingPhoneNumber,Chrome 73.0.3683.75,,2019-03-22 14:41:44,2019-03-22 14:47:54,6m - 10.516s,FAILED
,,,,,,
Test Cases/Invite Using Phone Number/TC0919,Chrome 73.0.3683.75,Test documentation link,2019-03-22 14:41:44,2019-03-22 14:42:18,34.022s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-22 14:41:44,2019-03-22 14:42:18,33.747s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_documentation (3)""))",Chrome 73.0.3683.75,,2019-03-22 14:42:18,2019-03-22 14:42:18,0.102s,PASSED
,,,,,,
Test Cases/Invite Using Phone Number/TC0920,Chrome 73.0.3683.75,Test video tutorial,2019-03-22 14:42:18,2019-03-22 14:42:57,38.764s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-22 14:42:18,2019-03-22 14:42:56,37.569s,PASSED
delay(1),Chrome 73.0.3683.75,,2019-03-22 14:42:56,2019-03-22 14:42:57,1.002s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/a_video tutorial""))",Chrome 73.0.3683.75,,2019-03-22 14:42:57,2019-03-22 14:42:57,0.101s,PASSED
,,,,,,
Test Cases/Invite Using Phone Number/TC0921,Chrome 73.0.3683.75,Test enter phone number manually,2019-03-22 14:42:57,2019-03-22 14:43:31,33.905s,PASSED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Invite using Phone Number""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-22 14:42:57,2019-03-22 14:43:28,30.813s,PASSED
delay(2),Chrome 73.0.3683.75,,2019-03-22 14:43:28,2019-03-22 14:43:30,2.002s,PASSED
"click(findTestObject(""Page_KiboPush  Dashboard/button_Enter phone numbers man (3)""))",Chrome 73.0.3683.75,,2019-03-22 14:43:30,2019-03-22 14:43:30,0.098s,PASSED
"setText(findTestObject(""Page_KiboPush  Dashboard/input_form-control m-input m-i (4)""), ""+923340226849"")",Chrome 73.0.3683.75,,2019-03-22 14:43:30,2019-03-22 14:43:30,0.201s,PASSED
