Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
operationalDashboard,Chrome 73.0.3683.103,,2019-04-25 18:08:14,2019-04-25 18:09:26,1m - 11.910s,FAILED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/arveen_production_login_kiboengage,Chrome 73.0.3683.103,,2019-04-25 18:08:15,2019-04-25 18:09:02,47.081s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-25 18:08:16,2019-04-25 18:08:21,5.081s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-04-25 18:08:21,2019-04-25 18:08:22,1.424s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 18:08:22,2019-04-25 18:08:32,10.041s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 18:08:32,2019-04-25 18:08:33,1.010s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 18:08:33,2019-04-25 18:08:34,1.109s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 18:08:34,2019-04-25 18:08:35,0.439s,PASSED
setEncryptedText,Chrome 73.0.3683.103,,2019-04-25 18:08:35,2019-04-25 18:08:35,0.301s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 18:08:35,2019-04-25 18:08:35,0.107s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 18:08:35,2019-04-25 18:08:55,19.256s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 18:08:55,2019-04-25 18:08:58,3.065s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 18:08:58,2019-04-25 18:08:58,0.156s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 18:08:58,2019-04-25 18:09:00,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 18:09:00,2019-04-25 18:09:00,0.126s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 18:09:00,2019-04-25 18:09:02,2.013s,PASSED
,,,,,,
Test Cases/Operational_Dashboard/186,Chrome 73.0.3683.103,,2019-04-25 18:09:02,2019-04-25 18:09:17,15.459s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 18:09:03,2019-04-25 18:09:12,9.143s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 73.0.3683.103,,2019-04-25 18:09:12,2019-04-25 18:09:12,0.002s,PASSED
"Statement - popDown_survey = driver.findElement(org.openqa.selenium.By.xpath(""//*[@id=""content""]/div/div/div/div[2]/div[3]/div[6]/div/div/div[1]/div[2]/ul/li[3]""))",Chrome 73.0.3683.103,,2019-04-25 18:09:12,2019-04-25 18:09:12,0.019s,PASSED
Statement - popDown_survey.click(),Chrome 73.0.3683.103,,2019-04-25 18:09:12,2019-04-25 18:09:12,0.142s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 18:09:12,2019-04-25 18:09:17,5.003s,PASSED
verifyTextNotPresent,Chrome 73.0.3683.103,,2019-04-25 18:09:17,2019-04-25 18:09:17,0.516s,PASSED
,,,,,,
Test Cases/Operational_Dashboard/187,Chrome 73.0.3683.103,,2019-04-25 18:09:17,2019-04-25 18:09:24,7.003s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 18:09:18,2019-04-25 18:09:19,1.590s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 73.0.3683.103,,2019-04-25 18:09:19,2019-04-25 18:09:19,0.001s,PASSED
"Statement - popup_poll = driver.findElement(org.openqa.selenium.By.xpath(""//*[@id=""content""]/div/div/div/div[2]/div[3]/div[7]/div/div/div/div[2]/ul/li[3]""))",Chrome 73.0.3683.103,,2019-04-25 18:09:19,2019-04-25 18:09:19,0.032s,PASSED
Statement - popup_poll.click(),Chrome 73.0.3683.103,,2019-04-25 18:09:19,2019-04-25 18:09:19,0.130s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 18:09:19,2019-04-25 18:09:24,5.002s,PASSED
"Statement - rows_table = driver.findElements(org.openqa.selenium.By.xpath(""//*[@id=""content""]/div/div/div/div[2]/div[3]/div[7]/div/div/div[2]/div/div/div[2]/table/tbody/tr""))",Chrome 73.0.3683.103,,2019-04-25 18:09:24,2019-04-25 18:09:24,0.036s,PASSED
Statement - rows_count = rows_table.size(),Chrome 73.0.3683.103,,2019-04-25 18:09:24,2019-04-25 18:09:24,0.002s,PASSED
verifyGreaterThanOrEqual,Chrome 73.0.3683.103,,2019-04-25 18:09:24,2019-04-25 18:09:24,0.004s,FAILED
