Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
seq_message,Chrome 73.0.3683.103,,2019-04-25 17:44:04,2019-04-25 17:53:43,9m - 39.055s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/arveen_production_login_kiboengage,Chrome 73.0.3683.103,,2019-04-25 17:44:05,2019-04-25 17:45:08,1m - 2.650s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-25 17:44:08,2019-04-25 17:44:16,7.815s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-04-25 17:44:16,2019-04-25 17:44:18,1.759s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 17:44:18,2019-04-25 17:44:37,19.392s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-25 17:44:37,2019-04-25 17:44:38,1.233s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:44:38,2019-04-25 17:44:40,1.377s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 17:44:40,2019-04-25 17:44:40,0.539s,PASSED
setEncryptedText,Chrome 73.0.3683.103,,2019-04-25 17:44:40,2019-04-25 17:44:41,0.781s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:44:41,2019-04-25 17:44:41,0.311s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:44:41,2019-04-25 17:45:02,20.643s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:45:02,2019-04-25 17:45:04,2.395s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:45:04,2019-04-25 17:45:05,0.223s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:45:05,2019-04-25 17:45:06,1.567s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:45:06,2019-04-25 17:45:06,0.266s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:45:06,2019-04-25 17:45:08,1.520s,PASSED
,,,,,,
Test Cases/Sequence Messaging/open_automation,Chrome 73.0.3683.103,,2019-04-25 17:45:08,2019-04-25 17:45:09,1.291s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:45:08,2019-04-25 17:45:08,0.228s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:45:08,2019-04-25 17:45:09,0.710s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC0980,Chrome 73.0.3683.103,Test View Sequences,2019-04-25 17:45:09,2019-04-25 17:45:16,6.386s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 17:45:09,2019-04-25 17:45:13,3.339s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:45:13,2019-04-25 17:45:16,2.925s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC0981,Chrome 73.0.3683.103,Search Sequences,2019-04-25 17:45:16,2019-04-25 17:45:25,9.200s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 17:45:16,2019-04-25 17:45:22,6.223s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 17:45:22,2019-04-25 17:45:22,0.224s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:45:22,2019-04-25 17:45:25,2.556s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC0982,Chrome 73.0.3683.103,Test Create Sequence Button,2019-04-25 17:45:25,2019-04-25 17:45:36,11.309s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 17:45:25,2019-04-25 17:45:32,7.096s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:45:32,2019-04-25 17:45:34,1.882s,PASSED
click,Chrome 73.0.3683.103,,2019-04-25 17:45:34,2019-04-25 17:45:34,0.262s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:45:34,2019-04-25 17:45:36,1.875s,PASSED
,,,,,,
Test Cases/Sequence Messaging/TC0983,Chrome 73.0.3683.103,Create Sequence,2019-04-25 17:45:36,2019-04-25 17:46:00,23.658s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-25 17:45:36,2019-04-25 17:45:49,12.313s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-25 17:45:49,2019-04-25 17:45:50,0.866s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-25 17:45:50,2019-04-25 17:45:52,2.194s,PASSED
