Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
smart replies,Chrome 73.0.3683.103,,2019-04-26 15:23:37,2019-04-26 15:30:29,6m - 52.633s,PASSED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/arveen_production_login_kibochat,Chrome 73.0.3683.103,,2019-04-26 15:23:38,2019-04-26 15:24:39,1m - 1.070s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-26 15:23:39,2019-04-26 15:23:45,6.108s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-04-26 15:23:45,2019-04-26 15:23:47,1.451s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-26 15:23:47,2019-04-26 15:24:04,16.823s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-26 15:24:04,2019-04-26 15:24:05,1.328s,PASSED
click,Chrome 73.0.3683.103,,2019-04-26 15:24:05,2019-04-26 15:24:07,1.492s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-26 15:24:07,2019-04-26 15:24:07,0.901s,PASSED
setEncryptedText,Chrome 73.0.3683.103,,2019-04-26 15:24:07,2019-04-26 15:24:08,0.731s,PASSED
click,Chrome 73.0.3683.103,,2019-04-26 15:24:08,2019-04-26 15:24:09,0.309s,PASSED
click,Chrome 73.0.3683.103,,2019-04-26 15:24:09,2019-04-26 15:24:32,23.513s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-26 15:24:32,2019-04-26 15:24:35,2.943s,PASSED
click,Chrome 73.0.3683.103,,2019-04-26 15:24:35,2019-04-26 15:24:35,0.261s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-26 15:24:35,2019-04-26 15:24:37,1.748s,PASSED
click,Chrome 73.0.3683.103,,2019-04-26 15:24:37,2019-04-26 15:24:37,0.393s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-26 15:24:37,2019-04-26 15:24:39,1.761s,PASSED
,,,,,,
Test Cases/Smart Replies/open_automation,Chrome 73.0.3683.103,,2019-04-26 15:24:39,2019-04-26 15:24:41,1.556s,PASSED
click,Chrome 73.0.3683.103,,2019-04-26 15:24:40,2019-04-26 15:24:40,0.264s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-26 15:24:40,2019-04-26 15:24:41,0.880s,PASSED
,,,,,,
Test Cases/Smart Replies/TC0618,Chrome 73.0.3683.103,Create Bot Button Test,2019-04-26 15:24:41,2019-04-26 15:24:49,8.703s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-26 15:24:41,2019-04-26 15:24:46,4.956s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-26 15:24:46,2019-04-26 15:24:48,2.361s,PASSED
click,Chrome 73.0.3683.103,,2019-04-26 15:24:48,2019-04-26 15:24:49,0.332s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-26 15:24:49,2019-04-26 15:24:49,0.788s,PASSED
,,,,,,
Test Cases/Smart Replies/TC0619,Chrome 73.0.3683.103,Test Bot Creation,2019-04-26 15:24:49,2019-04-26 15:24:59,9.557s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-26 15:24:50,2019-04-26 15:24:58,8.411s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-26 15:24:58,2019-04-26 15:24:58,0.362s,PASSED
click,Chrome 73.0.3683.103,,2019-04-26 15:24:58,2019-04-26 15:24:59,0.383s,PASSED
scrollToPosition,Chrome 73.0.3683.103,,2019-04-26 15:24:59,2019-04-26 15:24:59,0.009s,PASSED
click,Chrome 73.0.3683.103,,2019-04-26 15:24:59,2019-04-26 15:24:59,0.211s,PASSED
,,,,,,
Test Cases/Smart Replies/TC0621,Chrome 73.0.3683.103,Test Add Question Functionality,2019-04-26 15:24:59,2019-04-26 15:25:11,11.945s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-26 15:24:59,2019-04-26 15:25:10,11.279s,PASSED
click,Chrome 73.0.3683.103,,2019-04-26 15:25:10,2019-04-26 15:25:11,0.499s,PASSED
,,,,,,
