Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
subscriber,Chrome 73.0.3683.103,,2019-04-24 16:35:09,2019-04-24 16:36:40,1m - 31.687s,FAILED
,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/arveen_production_login_kiboengage,Chrome 73.0.3683.103,,2019-04-24 16:35:10,2019-04-24 16:36:05,55.272s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-24 16:35:11,2019-04-24 16:35:17,6.745s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-04-24 16:35:17,2019-04-24 16:35:19,1.433s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-24 16:35:19,2019-04-24 16:35:31,11.989s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-24 16:35:31,2019-04-24 16:35:32,1.409s,PASSED
click,Chrome 73.0.3683.103,,2019-04-24 16:35:32,2019-04-24 16:35:33,1.216s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-24 16:35:33,2019-04-24 16:35:34,0.512s,PASSED
setEncryptedText,Chrome 73.0.3683.103,,2019-04-24 16:35:34,2019-04-24 16:35:34,0.353s,PASSED
click,Chrome 73.0.3683.103,,2019-04-24 16:35:34,2019-04-24 16:35:34,0.165s,PASSED
click,Chrome 73.0.3683.103,,2019-04-24 16:35:34,2019-04-24 16:35:57,22.832s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-24 16:35:57,2019-04-24 16:36:00,3.073s,PASSED
click,Chrome 73.0.3683.103,,2019-04-24 16:36:00,2019-04-24 16:36:01,0.343s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-24 16:36:01,2019-04-24 16:36:03,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-24 16:36:03,2019-04-24 16:36:03,0.286s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-24 16:36:03,2019-04-24 16:36:05,2.019s,PASSED
,,,,,,
Test Cases/Subscriber TestCases/TC0670,Chrome 73.0.3683.103,Test view subscriber's details,2019-04-24 16:36:05,2019-04-24 16:36:30,24.610s,PASSED
callTestCase,Chrome 73.0.3683.103,,2019-04-24 16:36:05,2019-04-24 16:36:09,3.874s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-24 16:36:09,2019-04-24 16:36:10,0.758s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-24 16:36:10,2019-04-24 16:36:25,15.009s,PASSED
click,Chrome 73.0.3683.103,,2019-04-24 16:36:25,2019-04-24 16:36:26,1.032s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-24 16:36:26,2019-04-24 16:36:29,3.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-24 16:36:29,2019-04-24 16:36:29,0.132s,PASSED
click,Chrome 73.0.3683.103,,2019-04-24 16:36:29,2019-04-24 16:36:29,0.175s,PASSED
click,Chrome 73.0.3683.103,,2019-04-24 16:36:29,2019-04-24 16:36:30,0.147s,PASSED
,,,,,,
Test Cases/Subscriber TestCases/TC0672,Chrome 73.0.3683.103,Test assign tag,2019-04-24 16:36:30,2019-04-24 16:36:31,1.223s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-24 16:36:30,2019-04-24 16:36:31,0.867s,FAILED
,,,,,,
Test Cases/Subscriber TestCases/TC0676,Chrome 73.0.3683.103,Test close subscriber's details dialogue,2019-04-24 16:36:31,2019-04-24 16:36:32,1.600s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-24 16:36:31,2019-04-24 16:36:32,1.272s,FAILED
,,,,,,
Test Cases/Subscriber TestCases/TC0678,Chrome 73.0.3683.103,Test invite subscribers button,2019-04-24 16:36:32,2019-04-24 16:36:34,1.961s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-24 16:36:33,2019-04-24 16:36:34,1.295s,FAILED
,,,,,,
Test Cases/Subscriber TestCases/TC0679,Chrome 73.0.3683.103,Test documentation link,2019-04-24 16:36:34,2019-04-24 16:36:37,2.107s,FAILED
callTestCase,Chrome 73.0.3683.103,,2019-04-24 16:36:35,2019-04-24 16:36:37,1.905s,FAILED
