Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
welcomeMessages,Chrome 73.0.3683.75,,2019-03-27 12:59:21,2019-03-27 13:03:24,4m - 2.355s,FAILED
,,,,,,
Test Cases/Welcome messages/TC1034,Chrome 73.0.3683.75,Welcome message documentation link,2019-03-27 12:59:22,2019-03-27 13:00:10,48.075s,FAILED
"callTestCase(findTestCase(""Setting testcases/TC1014""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-27 12:59:22,2019-03-27 13:00:10,47.836s,FAILED
,,,,,,
Test Cases/Welcome messages/TC1035,Chrome 73.0.3683.75,Welcome message video tutorial,2019-03-27 13:00:10,2019-03-27 13:00:49,39.662s,FAILED
"callTestCase(findTestCase(""Setting testcases/TC1014""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-27 13:00:10,2019-03-27 13:00:49,39.504s,FAILED
,,,,,,
Test Cases/Welcome messages/TC1036,Chrome 73.0.3683.75,Welcome messages list,2019-03-27 13:00:49,2019-03-27 13:01:25,35.391s,FAILED
"callTestCase(findTestCase(""Setting testcases/TC1014""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-27 13:00:49,2019-03-27 13:01:25,35.298s,FAILED
,,,,,,
Test Cases/Welcome messages/TC1037,Chrome 73.0.3683.75,View welcome message,2019-03-27 13:01:25,2019-03-27 13:01:59,34.216s,FAILED
"callTestCase(findTestCase(""Setting testcases/TC1036""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-27 13:01:25,2019-03-27 13:01:59,34.148s,FAILED
,,,,,,
Test Cases/Welcome messages/TC1038,Chrome 73.0.3683.75,Edit Welcome message,2019-03-27 13:01:59,2019-03-27 13:02:41,41.605s,FAILED
"callTestCase(findTestCase(""Setting testcases/TC1036""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-27 13:01:59,2019-03-27 13:02:41,41.553s,FAILED
,,,,,,
Test Cases/Welcome messages/TC1039,Chrome 73.0.3683.75,Test back button,2019-03-27 13:02:41,2019-03-27 13:03:24,43.122s,FAILED
"callTestCase(findTestCase(""Setting testcases/TC1038""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-03-27 13:02:41,2019-03-27 13:03:24,43.006s,FAILED
